date,gender,cases,recovered,deaths
2020-02-26,male,,,
2020-02-27,male,2.0,0.0,0.0
2020-02-28,male,4.0,0.0,0.0
2020-02-29,male,0.0,0.0,0.0
2020-03-01,male,4.0,0.0,0.0
2020-03-02,male,4.0,0.0,0.0
2020-03-03,male,0.0,0.0,0.0
2020-03-04,male,10.0,0.0,0.0
2020-03-05,male,6.0,2.0,0.0
2020-03-06,male,32.0,0.0,0.0
2020-03-07,male,30.0,0.0,0.0
2020-03-08,male,32.0,0.0,0.0
2020-03-09,male,18.0,0.0,0.0
2020-03-10,male,58.0,0.0,0.0
2020-03-11,male,136.0,2.0,0.0
2020-03-12,male,110.0,4.0,2.0
2020-03-13,male,204.0,0.0,0.0
2020-03-14,male,238.0,2.0,2.0
2020-03-15,male,258.0,0.0,2.0
2020-03-16,male,232.0,12.0,0.0
2020-03-17,male,390.0,2.0,4.0
2020-03-18,male,388.0,0.0,6.0
2020-03-19,male,522.0,6.0,2.0
2020-03-20,male,590.0,14.0,8.0
2020-03-21,male,572.0,12.0,8.0
2020-03-22,male,660.0,16.0,8.0
2020-03-23,male,716.0,66.0,16.0
2020-03-24,male,756.0,96.0,12.0
2020-03-25,male,688.0,112.0,16.0
2020-03-26,male,1054.0,204.0,20.0
2020-03-27,male,760.0,242.0,22.0
2020-03-28,male,570.0,230.0,26.0
2020-03-29,male,520.0,294.0,16.0
2020-03-30,male,642.0,418.0,22.0
2020-03-31,male,480.0,426.0,14.0
2020-04-01,male,500.0,376.0,12.0
2020-04-02,male,390.0,406.0,18.0
2020-04-03,male,376.0,494.0,20.0
2020-04-04,male,198.0,572.0,28.0
2020-04-05,male,174.0,346.0,32.0
2020-04-06,male,294.0,722.0,34.0
2020-04-07,male,264.0,494.0,34.0
2020-04-08,male,234.0,594.0,20.0
2020-04-09,male,250.0,592.0,26.0
2020-04-10,male,314.0,602.0,24.0
2020-04-11,male,188.0,376.0,18.0
2020-04-12,male,94.0,314.0,16.0
2020-04-13,male,62.0,288.0,16.0
2020-04-14,male,116.0,540.0,14.0
2020-04-15,male,86.0,404.0,10.0
2020-04-16,male,92.0,440.0,26.0
2020-04-17,male,86.0,406.0,14.0
2020-04-18,male,50.0,244.0,20.0
2020-04-19,male,38.0,168.0,16.0
2020-04-20,male,52.0,314.0,6.0
2020-04-21,male,62.0,424.0,22.0
2020-04-22,male,66.0,250.0,8.0
2020-04-23,male,56.0,230.0,4.0
2020-04-24,male,48.0,220.0,8.0
2020-04-25,male,62.0,130.0,20.0
2020-04-26,male,26.0,90.0,8.0
2020-04-27,male,54.0,142.0,4.0
2020-04-28,male,50.0,154.0,16.0
2020-04-29,male,40.0,136.0,6.0
2020-04-30,male,68.0,166.0,8.0
2020-05-01,male,44.0,94.0,2.0
2020-05-02,male,22.0,64.0,2.0
2020-05-03,male,14.0,42.0,4.0
2020-05-04,male,34.0,112.0,4.0
2020-05-05,male,76.0,106.0,2.0
2020-05-06,male,58.0,92.0,4.0
2020-05-07,male,54.0,84.0,2.0
2020-05-08,male,72.0,128.0,8.0
2020-05-09,male,26.0,64.0,0.0
2020-05-10,male,16.0,42.0,2.0
2020-05-11,male,104.0,70.0,2.0
2020-05-12,male,46.0,74.0,2.0
2020-05-13,male,76.0,78.0,2.0
2020-05-14,male,68.0,72.0,4.0
2020-05-15,male,86.0,78.0,0.0
2020-05-16,male,14.0,38.0,2.0
2020-05-17,male,30.0,32.0,2.0
2020-05-18,male,64.0,58.0,4.0
2020-05-19,male,66.0,80.0,2.0
2020-05-20,male,28.0,48.0,2.0
2020-05-21,male,32.0,74.0,2.0
2020-05-22,male,36.0,60.0,2.0
2020-05-23,male,26.0,60.0,2.0
2020-05-24,male,40.0,56.0,0.0
2020-05-25,male,22.0,74.0,0.0
2020-05-26,male,22.0,126.0,2.0
2020-05-27,male,54.0,76.0,0.0
2020-05-28,male,24.0,88.0,0.0
2020-05-29,male,40.0,72.0,0.0
2020-05-30,male,40.0,30.0,0.0
2020-05-31,male,4.0,50.0,0.0
2020-06-01,male,16.0,36.0,2.0
2020-06-02,male,10.0,72.0,0.0
2020-06-03,male,66.0,32.0,0.0
2020-06-04,male,14.0,46.0,4.0
2020-06-05,male,56.0,30.0,2.0
2020-06-06,male,32.0,20.0,0.0
2020-06-07,male,22.0,28.0,0.0
2020-06-08,male,22.0,44.0,2.0
2020-06-09,male,14.0,40.0,0.0
2020-06-10,male,36.0,48.0,4.0
2020-06-11,male,14.0,26.0,0.0
2020-06-12,male,30.0,32.0,0.0
2020-06-13,male,24.0,26.0,0.0
2020-06-14,male,14.0,12.0,2.0
2020-06-15,male,58.0,26.0,6.0
2020-06-16,male,14.0,32.0,0.0
2020-06-17,male,36.0,38.0,0.0
2020-06-18,male,38.0,32.0,0.0
2020-06-19,male,66.0,40.0,2.0
2020-06-20,male,32.0,16.0,2.0
2020-06-21,male,38.0,8.0,0.0
2020-06-22,male,36.0,36.0,2.0
2020-06-23,male,58.0,34.0,4.0
2020-06-24,male,38.0,20.0,4.0
2020-06-25,male,48.0,34.0,0.0
2020-06-26,male,72.0,28.0,0.0
2020-06-27,male,48.0,38.0,4.0
2020-06-28,male,60.0,18.0,2.0
2020-06-29,male,48.0,48.0,2.0
2020-06-30,male,134.0,22.0,0.0
2020-07-01,male,92.0,30.0,0.0
2020-07-02,male,88.0,46.0,0.0
2020-07-03,male,140.0,44.0,2.0
2020-07-04,male,118.0,28.0,0.0
2020-07-05,male,90.0,32.0,0.0
2020-07-06,male,72.0,48.0,0.0
2020-07-07,male,108.0,56.0,0.0
2020-07-08,male,114.0,42.0,0.0
2020-07-09,male,82.0,56.0,0.0
