date,gender,cases
2020-03-01,female,7
2020-03-02,female,8
2020-03-03,female,19
2020-03-04,female,26
2020-03-05,female,37
2020-03-06,female,48
2020-03-07,female,15
2020-03-08,female,30
2020-03-09,female,47
2020-03-10,female,45
2020-03-11,female,79
2020-03-12,female,121
2020-03-13,female,188
2020-03-14,female,76
2020-03-15,female,106
2020-03-16,female,202
2020-03-17,female,217
2020-03-18,female,277
2020-03-19,female,360
2020-03-20,female,343
2020-03-21,female,230
2020-03-22,female,227
2020-03-23,female,702
2020-03-24,female,643
2020-03-25,female,634
2020-03-26,female,740
2020-03-27,female,847
2020-03-28,female,424
2020-03-29,female,359
2020-03-30,female,1034
2020-03-31,female,1034
2020-04-01,female,878
2020-04-02,female,888
2020-04-03,female,1061
2020-04-04,female,541
2020-04-05,female,360
2020-04-06,female,1266
2020-04-07,female,971
2020-04-08,female,1084
2020-04-09,female,1611
2020-04-10,female,1702
2020-04-11,female,730
2020-04-12,female,329
2020-04-13,female,339
2020-04-14,female,1088
2020-04-15,female,1170
2020-04-16,female,1203
2020-04-17,female,1017
2020-04-18,female,511
2020-04-19,female,326
2020-04-20,female,917
2020-04-21,female,914
2020-04-22,female,558
2020-04-23,female,683
2020-04-24,female,562
2020-04-25,female,280
2020-04-26,female,133
2020-04-27,female,511
2020-04-28,female,406
2020-04-29,female,350
2020-04-30,female,426
2020-05-01,female,164
2020-05-02,female,196
2020-05-03,female,88
2020-05-04,female,415
2020-05-05,female,349
2020-05-06,female,351
2020-05-07,female,290
2020-05-08,female,280
2020-05-09,female,142
2020-05-10,female,73
2020-05-11,female,290
2020-05-12,female,247
2020-05-13,female,188
2020-05-14,female,178
2020-05-15,female,214
2020-05-16,female,73
2020-05-17,female,42
2020-05-18,female,191
2020-05-19,female,179
2020-05-20,female,255
2020-05-21,female,37
2020-05-22,female,145
2020-05-23,female,68
2020-05-24,female,44
2020-05-25,female,195
2020-05-26,female,109
2020-05-27,female,110
2020-05-28,female,105
2020-05-29,female,85
2020-05-30,female,45
2020-05-31,female,27
2020-06-01,female,33
2020-06-02,female,106
2020-06-03,female,90
2020-06-04,female,100
2020-06-05,female,82
2020-06-06,female,44
2020-06-07,female,27
2020-06-08,female,84
2020-06-09,female,80
2020-06-10,female,65
2020-06-11,female,65
2020-06-12,female,46
2020-06-13,female,20
2020-06-14,female,13
2020-06-15,female,89
2020-06-16,female,60
2020-06-17,female,62
2020-06-18,female,58
2020-06-19,female,64
2020-06-20,female,28
2020-06-21,female,11
2020-06-22,female,82
2020-06-23,female,68
2020-06-24,female,51
2020-06-25,female,45
2020-06-26,female,70
2020-06-27,female,22
2020-06-28,female,10
2020-06-29,female,81
2020-06-30,female,56
2020-07-01,female,64
2020-07-02,female,48
2020-07-03,female,39
2020-07-04,female,27
2020-07-05,female,16
2020-07-06,female,66
2020-07-07,female,44
2020-07-08,female,67
2020-07-09,female,68
2020-07-10,female,60
2020-07-11,female,34
2020-07-12,female,17
2020-07-13,female,113
2020-07-14,female,98
2020-07-15,female,112
2020-07-16,female,120
2020-07-17,female,135
2020-07-18,female,67
2020-07-19,female,27
2020-07-20,female,211
2020-07-21,female,70
2020-07-22,female,283
2020-07-23,female,229
2020-07-24,female,259
2020-07-25,female,114
2020-07-26,female,81
2020-07-27,female,279
2020-07-28,female,331
2020-07-29,female,372
2020-07-30,female,314
2020-07-31,female,335
2020-08-01,female,150
2020-08-02,female,67
2020-08-03,female,401
2020-08-04,female,412
2020-08-05,female,364
2020-08-06,female,383
2020-08-07,female,389
2020-08-08,female,162
2020-08-09,female,63
2020-08-10,female,422
2020-08-11,female,356
2020-08-12,female,310
2020-08-13,female,338
2020-08-14,female,302
2020-08-15,female,79
2020-08-16,female,63
2020-08-17,female,363
2020-08-18,female,366
2020-08-19,female,318
2020-08-20,female,290
2020-08-21,female,260
2020-08-22,female,96
2020-08-23,female,38
2020-08-24,female,293
2020-08-25,female,245
2020-08-26,female,271
2020-08-27,female,262
2020-08-28,female,295
2020-08-29,female,81
2020-08-30,female,60
2020-08-31,female,319
2020-09-01,female,291
2020-09-02,female,292
2020-09-03,female,380
