date,cases,gender
2020-03-25,,male
2020-03-26,381.0,male
2020-03-27,675.0,male
2020-03-28,471.0,male
2020-03-29,528.0,male
2020-03-30,500.0,male
2020-03-31,311.0,male
2020-04-01,432.0,male
2020-04-02,544.0,male
2020-04-03,489.0,male
2020-04-04,441.0,male
2020-04-05,361.0,male
2020-04-06,220.0,male
2020-04-07,316.0,male
2020-04-08,232.0,male
2020-04-09,475.0,male
2020-04-10,313.0,male
2020-04-11,245.0,male
2020-04-12,182.0,male
2020-04-13,117.0,male
2020-04-14,88.0,male
2020-04-15,232.0,male
2020-04-16,155.0,male
2020-04-17,132.0,male
2020-04-18,136.0,male
2020-04-19,119.0,male
2020-04-20,0.0,male
2020-04-21,131.0,male
2020-04-22,90.0,male
2020-04-23,101.0,male
2020-04-24,83.0,male
2020-04-25,100.0,male
2020-04-26,72.0,male
2020-04-27,44.0,male
2020-04-28,51.0,male
2020-04-29,62.0,male
2020-04-30,72.0,male
2020-05-01,63.0,male
2020-05-02,41.0,male
2020-05-03,42.0,male
2020-05-04,29.0,male
2020-05-05,10.0,male
2020-05-06,22.0,male
2020-05-07,31.0,male
2020-05-08,38.0,male
2020-05-09,19.0,male
2020-05-10,25.0,male
2020-05-11,19.0,male
2020-05-12,14.0,male
2020-05-13,14.0,male
2020-05-14,19.0,male
2020-05-15,29.0,male
2020-05-16,32.0,male
2020-05-17,7.0,male
2020-05-18,12.0,male
2020-05-19,11.0,male
2020-05-20,17.0,male
2020-05-21,19.0,male
2020-05-22,5.0,male
2020-05-23,6.0,male
2020-05-24,4.0,male
2020-05-25,4.0,male
2020-05-26,7.0,male
2020-05-27,10.0,male
2020-05-28,14.0,male
2020-05-29,11.0,male
2020-05-30,4.0,male
2020-05-31,7.0,male
2020-06-01,4.0,male
2020-06-02,0.0,male
2020-06-03,9.0,male
2020-06-04,10.0,male
2020-06-05,15.0,male
2020-06-06,10.0,male
2020-06-07,4.0,male
2020-06-08,1.0,male
2020-06-09,10.0,male
2020-06-10,11.0,male
2020-06-11,15.0,male
2020-06-12,14.0,male
2020-06-13,20.0,male
2020-06-14,10.0,male
2020-06-15,9.0,male
2020-06-16,8.0,male
2020-06-17,16.0,male
2020-06-18,5.0,male
2020-06-19,11.0,male
2020-06-20,10.0,male
2020-06-21,27.0,male
2020-06-22,10.0,male
2020-06-23,12.0,male
2020-06-24,21.0,male
2020-06-25,26.0,male
2020-06-26,30.0,male
2020-06-27,44.0,male
2020-06-28,38.0,male
2020-06-29,21.0,male
2020-06-30,26.0,male
2020-07-01,67.0,male
2020-07-02,67.0,male
2020-07-03,78.0,male
2020-07-04,53.0,male
2020-07-05,36.0,male
2020-07-06,27.0,male
2020-07-07,36.0,male
2020-07-08,77.0,male
2020-07-09,50.0,male
2020-07-10,54.0,male
2020-07-11,58.0,male
2020-07-12,45.0,male
2020-07-13,35.0,male
2020-07-14,37.0,male
2020-07-15,65.0,male
2020-07-16,82.0,male
2020-07-17,56.0,male
2020-07-18,57.0,male
2020-07-19,50.0,male
2020-07-20,23.0,male
2020-07-21,53.0,male
2020-07-22,66.0,male
2020-07-23,59.0,male
2020-07-24,75.0,male
2020-07-25,67.0,male
2020-07-26,59.0,male
2020-07-27,36.0,male
2020-07-28,68.0,male
2020-07-29,98.0,male
2020-07-30,114.0,male
2020-07-31,105.0,male
2020-08-01,101.0,male
2020-08-02,77.0,male
2020-08-03,35.0,male
2020-08-04,59.0,male
2020-08-05,92.0,male
2020-08-06,95.0,male
2020-08-07,87.0,male
2020-08-08,94.0,male
2020-08-09,80.0,male
2020-08-10,53.0,male
2020-08-11,95.0,male
2020-08-12,140.0,male
2020-08-13,127.0,male
2020-08-14,149.0,male
2020-08-15,126.0,male
2020-08-16,100.0,male
2020-08-17,61.0,male
2020-08-18,100.0,male
2020-08-19,173.0,male
2020-08-20,152.0,male
2020-08-21,180.0,male
2020-08-22,145.0,male
2020-08-23,147.0,male
2020-08-24,78.0,male
2020-08-25,100.0,male
2020-08-26,204.0,male
2020-08-27,173.0,male
2020-08-28,184.0,male
2020-08-29,191.0,male
2020-08-30,151.0,male
2020-08-31,81.0,male
2020-09-01,117.0,male
2020-09-02,192.0,male
2020-09-03,188.0,male
2020-09-04,216.0,male
2020-09-05,229.0,male
2020-09-06,221.0,male
2020-09-07,96.0,male
2020-09-08,127.0,male
2020-09-09,227.0,male
2020-09-10,193.0,male
2020-09-11,259.0,male
2020-09-12,232.0,male
2020-09-13,229.0,male
2020-09-14,125.0,male
2020-09-15,165.0,male
2020-09-16,277.0,male
2020-09-17,289.0,male
2020-09-18,232.0,male
2020-09-19,0.0,male
2020-09-20,0.0,male
2020-09-21,554.0,male
2020-09-22,147.0,male
2020-09-23,224.0,male
2020-09-24,182.0,male
2020-09-25,200.0,male
2020-09-26,0.0,male
2020-09-27,0.0,male
2020-09-28,370.0,male
2020-09-29,122.0,male
2020-09-30,224.0,male
2020-10-01,265.0,male
2020-10-02,297.0,male
2020-10-03,0.0,male
2020-10-04,0.0,male
2020-10-05,836.0,male
2020-10-06,365.0,male
2020-10-07,585.0,male
2020-10-08,617.0,male
2020-10-09,773.0,male
2020-10-10,0.0,male
2020-10-11,0.0,male
2020-10-12,2080.0,male
2020-10-13,755.0,male
2020-10-14,1443.0,male
2020-10-15,1364.0,male
2020-10-16,1554.0,male
2020-10-17,0.0,male
2020-10-18,0.0,male
2020-10-19,4361.0,male
2020-10-20,1520.0,male
2020-10-21,2831.0,male
2020-10-22,2607.0,male
2020-10-23,3357.0,male
2020-10-24,0.0,male
2020-10-25,0.0,male
2020-10-26,8620.0,male
2020-10-27,2910.0,male
2020-10-28,4275.0,male
2020-10-29,4603.0,male
2020-10-30,4448.0,male
2020-10-31,0.0,male
2020-11-01,0.0,male
2020-11-02,10453.0,male
2020-11-03,2910.0,male
2020-11-04,4918.0,male
2020-11-05,4857.0,male
2020-11-06,4464.0,male
2020-11-07,0.0,male
2020-11-08,0.0,male
2020-11-09,8104.0,male
2020-11-10,2821.0,male
2020-11-11,3920.0,male
2020-11-12,3266.0,male
2020-11-13,3132.0,male
2020-11-14,0.0,male
2020-11-15,0.0,male
2020-11-16,5773.0,male
2020-11-17,2140.0,male
2020-11-18,2859.0,male
2020-11-19,2361.0,male
2020-11-20,2262.0,male
2020-11-21,0.0,male
2020-11-22,0.0,male
2020-11-23,4479.0,male
2020-11-24,1993.0,male
2020-11-25,2244.0,male
2020-11-26,2099.0,male
2020-11-27,2006.0,male
2020-11-28,0.0,male
2020-11-29,0.0,male
2020-11-30,4028.0,male
2020-12-01,1757.0,male
2020-12-02,2224.0,male
2020-12-03,2018.0,male
2020-12-04,2011.0,male
2020-12-05,0.0,male
2020-12-06,0.0,male
2020-12-07,4466.0,male
2020-12-08,2027.0,male
2020-12-09,2390.0,male
2020-12-10,2311.0,male
2020-12-11,2375.0,male
2020-12-12,0.0,male
2020-12-13,0.0,male
2020-12-14,4921.0,male
2020-12-15,2059.0,male
2020-12-16,2640.0,male
2020-12-17,2360.0,male
2020-12-18,2000.0,male
2020-12-19,0.0,male
2020-12-20,0.0,male
2020-12-21,4625.0,male
2020-12-22,1952.0,male
2020-12-23,2262.0,male
2020-12-24,2267.0,male
2020-12-25,0.0,male
2020-12-26,0.0,male
2020-12-27,0.0,male
2020-12-28,4698.0,male
2020-12-29,0.0,male
2020-12-30,4268.0,male
2020-12-31,2032.0,male
2021-01-01,0.0,male
2021-01-02,0.0,male
2021-01-03,0.0,male
2021-01-04,4482.0,male
2021-01-05,1891.0,male
2021-01-06,2126.0,male
2021-01-07,1797.0,male
2021-01-08,1448.0,male
2021-01-09,0.0,male
2021-01-10,0.0,male
2021-01-11,3011.0,male
2021-01-12,1307.0,male
2021-01-13,1409.0,male
2021-01-14,1178.0,male
2021-01-15,1105.0,male
2021-01-16,0.0,male
2021-01-17,0.0,male
2021-01-18,2211.0,male
2021-01-19,1035.0,male
2021-01-20,1291.0,male
2021-01-21,1072.0,male
2021-01-22,1044.0,male
2021-01-23,0.0,male
2021-01-24,0.0,male
2021-01-25,1985.0,male
2021-01-26,879.0,male
2021-01-27,0.0,male
2021-01-28,1836.0,male
2021-01-29,874.0,male
2021-01-30,0.0,male
2021-01-31,0.0,male
2021-02-01,1758.0,male
2021-02-02,776.0,male
2021-02-03,901.0,male
2021-02-04,852.0,male
2021-02-05,737.0,male
2021-02-06,0.0,male
2021-02-07,0.0,male
2021-02-08,0.0,male
2021-02-09,2238.0,male
2021-02-10,777.0,male
2021-02-11,656.0,male
2021-02-12,632.0,male
2021-02-13,0.0,male
2021-02-14,0.0,male
2021-02-15,1184.0,male
2021-02-16,533.0,male
2021-02-17,593.0,male
2021-02-18,596.0,male
2021-02-19,477.0,male
2021-02-20,0.0,male
2021-02-21,0.0,male
2021-02-22,1204.0,male
2021-02-23,535.0,male
2021-02-24,658.0,male
2021-02-25,596.0,male
2021-02-26,573.0,male
2021-02-27,0.0,male
2021-02-28,0.0,male
2021-03-01,1306.0,male
2021-03-02,0.0,male
2021-03-03,1153.0,male
2021-03-04,588.0,male
2021-03-05,640.0,male
2021-03-06,0.0,male
2021-03-07,0.0,male
2021-03-08,1352.0,male
2021-03-09,697.0,male
2021-03-10,723.0,male
2021-03-11,700.0,male
2021-03-12,636.0,male
2021-03-13,0.0,male
2021-03-14,0.0,male
2021-03-15,1569.0,male
2021-03-16,713.0,male
2021-03-17,906.0,male
2021-03-18,0.0,male
2021-03-19,872.0,male
2021-03-20,0.0,male
2021-03-21,0.0,male
2021-03-22,2661.0,male
2021-03-23,956.0,male
2021-03-24,1004.0,male
2021-03-25,0.0,male
2021-03-26,0.0,male
2021-03-27,0.0,male
2021-03-28,0.0,male
2021-03-29,4343.0,male
2021-03-30,968.0,male
2021-03-31,0.0,male
2021-04-01,2191.0,male
2021-04-02,0.0,male
2021-04-03,0.0,male
2021-04-04,0.0,male
2021-04-05,0.0,male
2021-04-06,3523.0,male
2021-04-07,1153.0,male
2021-04-08,1226.0,male
2021-04-09,0.0,male
2021-04-10,0.0,male
2021-04-11,0.0,male
2021-04-12,4006.0,male
2021-04-13,1184.0,male
2021-04-14,1364.0,male
2021-04-15,1142.0,male
