date,gender,cases
2020-03-01,female,1
2020-03-03,female,1
2020-03-05,female,2
2020-03-06,female,7
2020-03-07,female,4
2020-03-08,female,2
2020-03-09,female,3
2020-03-10,female,10
2020-03-11,female,15
2020-03-12,female,11
2020-03-13,female,10
2020-03-14,female,20
2020-03-15,female,43
2020-03-16,female,31
2020-03-17,female,34
2020-03-18,female,51
2020-03-19,female,78
2020-03-20,female,60
2020-03-21,female,62
2020-03-22,female,48
2020-03-23,female,60
2020-03-24,female,90
2020-03-25,female,144
2020-03-26,female,130
2020-03-27,female,185
2020-03-28,female,152
2020-03-29,female,82
2020-03-30,female,90
2020-03-31,female,166
2020-04-01,female,140
2020-04-02,female,139
2020-04-03,female,197
2020-04-04,female,171
2020-04-05,female,54
2020-04-06,female,129
2020-04-07,female,110
2020-04-08,female,161
2020-04-09,female,128
2020-04-10,female,86
2020-04-11,female,91
2020-04-12,female,60
2020-04-13,female,36
2020-04-14,female,43
2020-04-15,female,78
2020-04-16,female,72
2020-04-17,female,67
2020-04-18,female,70
2020-04-19,female,53
2020-04-20,female,83
2020-04-21,female,68
2020-04-22,female,40
2020-04-23,female,30
2020-04-24,female,43
2020-04-25,female,51
2020-04-26,female,22
2020-04-27,female,31
2020-04-28,female,26
2020-04-29,female,34
2020-04-30,female,36
2020-05-01,female,26
2020-05-02,female,9
2020-05-03,female,15
2020-05-04,female,17
2020-05-05,female,46
2020-05-06,female,40
2020-05-07,female,24
2020-05-08,female,27
2020-05-09,female,12
2020-05-10,female,15
2020-05-11,female,28
2020-05-12,female,13
2020-05-13,female,20
2020-05-14,female,32
2020-05-15,female,19
2020-05-16,female,16
2020-05-17,female,4
2020-05-18,female,29
2020-05-19,female,10
2020-05-20,female,16
2020-05-21,female,16
2020-05-22,female,22
2020-05-23,female,24
2020-05-24,female,7
2020-05-25,female,20
2020-05-26,female,17
2020-05-27,female,7
2020-05-28,female,21
2020-05-29,female,20
2020-05-30,female,11
2020-05-31,female,20
2020-06-01,female,16
2020-06-02,female,29
2020-06-03,female,23
2020-06-04,female,23
2020-06-05,female,10
2020-06-06,female,20
2020-06-07,female,27
2020-06-08,female,23
2020-06-09,female,21
2020-06-10,female,41
2020-06-11,female,21
2020-06-12,female,27
2020-06-13,female,17
2020-06-14,female,16
2020-06-15,female,17
2020-06-16,female,21
2020-06-17,female,19
2020-06-18,female,44
2020-06-19,female,58
2020-06-20,female,15
2020-06-21,female,20
2020-06-22,female,19
2020-06-23,female,36
2020-06-24,female,50
2020-06-25,female,33
2020-06-26,female,37
2020-06-27,female,38
2020-06-28,female,19
2020-06-29,female,19
2020-06-30,female,48
2020-07-01,female,48
2020-07-02,female,66
2020-07-03,female,64
2020-07-04,female,59
2020-07-05,female,35
2020-07-06,female,30
2020-07-07,female,68
2020-07-08,female,58
2020-07-09,female,47
2020-07-10,female,57
2020-07-11,female,16
2020-07-12,female,29
2020-07-13,female,27
2020-07-14,female,52
2020-07-15,female,55
2020-07-16,female,62
2020-07-17,female,53
2020-07-18,female,50
2020-07-19,female,36
2020-07-20,female,47
2020-07-21,female,65
2020-07-22,female,81
2020-07-23,female,89
2020-07-24,female,133
2020-07-25,female,67
2020-07-26,female,51
2020-07-27,female,83
2020-07-28,female,129
2020-07-29,female,101
2020-07-30,female,108
2020-07-31,female,101
2020-08-01,female,55
2020-08-02,female,42
2020-08-03,female,71
2020-08-04,female,146
2020-08-05,female,95
2020-08-06,female,78
2020-08-07,female,145
2020-08-08,female,73
2020-08-09,female,53
2020-08-10,female,55
2020-08-11,female,115
2020-08-12,female,122
2020-08-13,female,131
2020-08-14,female,141
2020-08-15,female,97
2020-08-16,female,52
2020-08-17,female,95
2020-08-18,female,120
2020-08-19,female,146
2020-08-20,female,110
2020-08-21,female,232
2020-08-22,female,110
2020-08-23,female,66
2020-08-24,female,102
2020-08-25,female,164
2020-08-26,female,177
2020-08-27,female,160
2020-08-28,female,200
2020-08-29,female,146
2020-08-30,female,122
2020-08-31,female,122
2020-09-01,female,207
2020-09-02,female,281
2020-09-03,female,301
2020-09-04,female,361
2020-09-05,female,231
2020-09-06,female,181
2020-09-07,female,274
2020-09-08,female,514
2020-09-09,female,500
2020-09-10,female,646
2020-09-11,female,636
2020-09-12,female,688
2020-09-13,female,353
2020-09-14,female,476
2020-09-15,female,769
2020-09-16,female,1024
2020-09-17,female,1383
2020-09-18,female,935
2020-09-19,female,850
2020-09-20,female,429
2020-09-21,female,688
2020-09-22,female,1127
2020-09-23,female,1015
2020-09-24,female,1297
2020-09-25,female,1407
2020-09-26,female,965
2020-09-27,female,623
2020-09-28,female,615
2020-09-29,female,965
2020-09-30,female,1416
2020-10-01,female,1821
2020-10-02,female,1917
2020-10-03,female,1255
2020-10-04,female,908
2020-10-05,female,1569
2020-10-06,female,2164
2020-10-07,female,2632
2020-10-08,female,2665
2020-10-09,female,4339
2020-10-10,female,2230
2020-10-11,female,1549
2020-10-12,female,2147
2020-10-13,female,4292
2020-10-14,female,4814
2020-10-15,female,4910
2020-10-16,female,5640
2020-10-17,female,4514
2020-10-18,female,2580
2020-10-19,female,4248
2020-10-20,female,6286
2020-10-21,female,7932
2020-10-22,female,7433
2020-10-23,female,7894
2020-10-24,female,6530
2020-10-25,female,3837
2020-10-26,female,5341
2020-10-27,female,8244
2020-10-28,female,6710
2020-10-29,female,6883
2020-10-30,female,7102
2020-10-31,female,6036
2020-11-01,female,3469
2020-11-02,female,4787
2020-11-03,female,6362
2020-11-04,female,8367
2020-11-05,female,7135
2020-11-06,female,6172
2020-11-07,female,4103
2020-11-08,female,1854
2020-11-09,female,3195
2020-11-10,female,4724
2020-11-11,female,4793
2020-11-12,female,4202
2020-11-13,female,3910
2020-11-14,female,2182
2020-11-15,female,997
2020-11-16,female,2828
2020-11-17,female,2224
2020-11-18,female,2977
2020-11-19,female,3235
2020-11-20,female,3016
2020-11-21,female,1679
2020-11-22,female,754
2020-11-23,female,2348
2020-11-24,female,3185
2020-11-25,female,2638
2020-11-26,female,2176
2020-11-27,female,2345
2020-11-28,female,1348
2020-11-29,female,542
2020-11-30,female,1874
2020-12-01,female,2684
2020-12-02,female,2452
2020-12-03,female,2425
2020-12-04,female,2526
2020-12-05,female,1725
2020-12-06,female,571
2020-12-07,female,2318
2020-12-08,female,3093
2020-12-09,female,3334
2020-12-10,female,3024
2020-12-11,female,3186
2020-12-12,female,1803
2020-12-13,female,1025
2020-12-14,female,2739
2020-12-15,female,4108
2020-12-16,female,4248
2020-12-17,female,3765
2020-12-18,female,4450
2020-12-19,female,2677
2020-12-20,female,1704
2020-12-21,female,4026
2020-12-22,female,5633
2020-12-23,female,7132
2020-12-24,female,2214
2020-12-25,female,1308
2020-12-26,female,1562
2020-12-27,female,1948
2020-12-28,female,5716
2020-12-29,female,8714
2020-12-30,female,8996
2020-12-31,female,7051
2021-01-01,female,1827
2021-01-02,female,2646
2021-01-03,female,3298
2021-01-04,female,6853
2021-01-05,female,9118
2021-01-06,female,9384
2021-01-07,female,7775
2021-01-08,female,6948
2021-01-09,female,4424
2021-01-10,female,2200
2021-01-11,female,4913
2021-01-12,female,5574
2021-01-13,female,5708
2021-01-14,female,4249
2021-01-15,female,4867
2021-01-16,female,2724
2021-01-17,female,1373
2021-01-18,female,3949
2021-01-19,female,4915
2021-01-20,female,4311
2021-01-21,female,3912
2021-01-22,female,4445
2021-01-23,female,2226
2021-01-24,female,1208
2021-01-25,female,3533
2021-01-26,female,4568
2021-01-27,female,4298
2021-01-28,female,4068
2021-01-29,female,4098
2021-01-30,female,2022
2021-01-31,female,1343
2021-02-01,female,3629
2021-02-02,female,4585
2021-02-03,female,4734
2021-02-04,female,4164
2021-02-05,female,4400
2021-02-06,female,2393
2021-02-07,female,1220
2021-02-08,female,3872
2021-02-09,female,5128
2021-02-10,female,4808
2021-02-11,female,4609
2021-02-12,female,4488
2021-02-13,female,2620
2021-02-14,female,1447
2021-02-15,female,4418
2021-02-16,female,6291
2021-02-17,female,5575
2021-02-18,female,5900
2021-02-19,female,5666
2021-02-20,female,3455
2021-02-21,female,2005
2021-02-22,female,5780
2021-02-23,female,7888
2021-02-24,female,6967
2021-02-25,female,7372
2021-02-26,female,7476
2021-02-27,female,4002
2021-02-28,female,2306
2021-03-01,female,6102
2021-03-02,female,8329
2021-03-03,female,7618
2021-03-04,female,7391
2021-03-05,female,6560
2021-03-06,female,4531
2021-03-07,female,1965
2021-03-08,female,5244
2021-03-09,female,7436
2021-03-10,female,7187
2021-03-11,female,5479
2021-03-12,female,7139
2021-03-13,female,3455
2021-03-14,female,1625
2021-03-15,female,5103
2021-03-16,female,6892
2021-03-17,female,5924
2021-03-18,female,5245
2021-03-19,female,4767
2021-03-20,female,2724
2021-03-21,female,1176
2021-03-22,female,4061
2021-03-23,female,5379
2021-03-24,female,4267
2021-03-25,female,3869
2021-03-26,female,3764
2021-03-27,female,1931
2021-03-28,female,856
2021-03-29,female,3328
2021-03-30,female,4209
2021-03-31,female,3526
2021-04-01,female,3094
2021-04-02,female,1859
2021-04-03,female,1080
2021-04-04,female,946
2021-04-05,female,698
2021-04-06,female,2695
2021-04-07,female,3409
2021-04-08,female,2659
2021-04-09,female,2325
2021-04-10,female,1106
2021-04-11,female,493
2021-04-12,female,1850
2021-04-13,female,2486
2021-04-14,female,1842
2021-04-15,female,1619
2021-04-16,female,1599
2021-04-17,female,781
2021-04-18,female,372
2021-04-19,female,1612
2021-04-20,female,1877
2021-04-21,female,1476
2021-04-22,female,1256
2021-04-23,female,1327
2021-04-24,female,653
2021-04-25,female,401
2021-04-26,female,1264
2021-04-27,female,1585
2021-04-28,female,1188
2021-04-29,female,1083
2021-04-30,female,1092
2021-05-01,female,597
2021-05-02,female,258
2021-05-03,female,1100
2021-05-04,female,1222
2021-05-05,female,928
2021-05-06,female,737
2021-05-07,female,834
2021-05-08,female,364
2021-05-09,female,190
2021-05-10,female,767
2021-05-11,female,831
2021-05-12,female,612
2021-05-13,female,621
2021-05-14,female,533
2021-05-15,female,313
2021-05-16,female,123
2021-05-17,female,547
2021-05-18,female,579
2021-05-19,female,412
2021-05-20,female,342
2021-05-21,female,314
2021-05-22,female,161
2021-05-23,female,88
2021-05-24,female,363
2021-05-25,female,318
2021-05-26,female,275
2021-05-27,female,248
2021-05-28,female,218
2021-05-29,female,118
2021-05-30,female,54
2021-05-31,female,244
2021-06-01,female,240
2021-06-02,female,151
2021-06-03,female,228
2021-06-04,female,151
2021-06-05,female,72
2021-06-06,female,54
2021-06-07,female,155
2021-06-08,female,205
2021-06-09,female,115
2021-06-10,female,103
2021-06-11,female,82
2021-06-12,female,40
2021-06-13,female,20
2021-06-14,female,85
2021-06-15,female,98
2021-06-16,female,62
2021-06-17,female,73
2021-06-18,female,71
2021-06-19,female,31
2021-06-20,female,26
2021-06-21,female,50
2021-06-22,female,53
2021-06-23,female,39
2021-06-24,female,44
2021-06-25,female,49
2021-06-26,female,27
2021-06-27,female,23
2021-06-28,female,75
2021-06-29,female,81
2021-06-30,female,63
2021-07-01,female,78
2021-07-02,female,81
2021-07-03,female,46
2021-07-04,female,47
2021-07-05,female,62
2021-07-06,female,49
2021-07-07,female,110
2021-07-08,female,110
2021-07-09,female,121
2021-07-10,female,79
2021-07-11,female,76
2021-07-12,female,123
2021-07-13,female,150
2021-07-14,female,121
2021-07-15,female,111
2021-07-16,female,106
2021-07-17,female,89
2021-07-18,female,65
2021-07-19,female,109
2021-07-20,female,137
2021-07-21,female,114
2021-07-22,female,102
2021-07-23,female,91
2021-07-24,female,65
2021-07-25,female,36
2021-07-26,female,94
2021-07-27,female,139
2021-07-28,female,99
2021-07-29,female,104
2021-07-30,female,69
2021-07-31,female,61
2021-08-01,female,37
2021-08-02,female,81
2021-08-03,female,116
2021-08-04,female,104
2021-08-05,female,73
2021-08-06,female,75
2021-08-07,female,66
2021-08-08,female,51
2021-08-09,female,90
2021-08-10,female,109
2021-08-11,female,106
2021-08-12,female,98
2021-08-13,female,114
2021-08-14,female,66
2021-08-15,female,38
2021-08-16,female,103
2021-08-17,female,165
2021-08-18,female,112
2021-08-19,female,84
2021-08-20,female,85
2021-08-21,female,66
2021-08-22,female,53
2021-08-23,female,111
2021-08-24,female,125
2021-08-25,female,123
2021-08-26,female,103
2021-08-27,female,94
2021-08-28,female,68
2021-08-29,female,35
2021-08-30,female,120
2021-08-31,female,137
2021-09-01,female,134
2021-09-02,female,161
2021-09-03,female,143
2021-09-04,female,94
2021-09-05,female,70
2021-09-06,female,198
2021-09-07,female,291
2021-09-08,female,180
2021-09-09,female,221
2021-09-10,female,228
2021-09-11,female,108
2021-09-12,female,66
2021-09-13,female,255
2021-09-14,female,265
2021-09-15,female,248
2021-09-16,female,259
2021-09-17,female,232
2021-09-18,female,162
2021-09-19,female,96
2021-09-20,female,246
2021-09-21,female,322
2021-09-22,female,265
2021-09-23,female,246
2021-09-24,female,267
2021-09-25,female,198
2021-09-26,female,128
2021-09-27,female,343
2021-09-28,female,242
2021-09-29,female,365
2021-09-30,female,467
2021-10-01,female,438
2021-10-02,female,281
2021-10-03,female,171
2021-10-04,female,400
2021-10-05,female,584
2021-10-06,female,531
2021-10-07,female,463
2021-10-08,female,514
2021-10-09,female,347
2021-10-10,female,167
2021-10-11,female,695
2021-10-12,female,764
2021-10-13,female,773
2021-10-14,female,812
2021-10-15,female,948
2021-10-16,female,601
2021-10-17,female,393
2021-10-18,female,1355
2021-10-19,female,1675
2021-10-20,female,1739
2021-10-21,female,1853
2020-03-01,male,2
2020-03-05,male,1
2020-03-06,male,4
2020-03-07,male,3
2020-03-08,male,4
2020-03-09,male,3
2020-03-10,male,15
2020-03-11,male,16
2020-03-12,male,11
2020-03-13,male,15
2020-03-14,male,27
2020-03-15,male,64
2020-03-16,male,50
2020-03-17,male,31
2020-03-18,male,58
2020-03-19,male,123
2020-03-20,male,61
2020-03-21,male,93
2020-03-22,male,67
2020-03-23,male,65
2020-03-24,male,95
2020-03-25,male,143
2020-03-26,male,128
2020-03-27,male,188
2020-03-28,male,110
2020-03-29,male,77
2020-03-30,male,94
2020-03-31,male,136
2020-04-01,male,142
2020-04-02,male,125
2020-04-03,male,133
2020-04-04,male,102
2020-04-05,male,62
2020-04-06,male,104
2020-04-07,male,79
2020-04-08,male,126
2020-04-09,male,126
2020-04-10,male,73
2020-04-11,male,78
2020-04-12,male,28
2020-04-13,male,27
2020-04-14,male,36
2020-04-15,male,80
2020-04-16,male,55
2020-04-17,male,44
2020-04-18,male,35
2020-04-19,male,39
2020-04-20,male,63
2020-04-21,male,64
2020-04-22,male,57
2020-04-23,male,23
2020-04-24,male,37
2020-04-25,male,28
2020-04-26,male,28
2020-04-27,male,10
2020-04-28,male,33
2020-04-29,male,25
2020-04-30,male,40
2020-05-01,male,27
2020-05-02,male,8
2020-05-03,male,11
2020-05-04,male,14
2020-05-05,male,27
2020-05-06,male,36
2020-05-07,male,30
2020-05-08,male,18
2020-05-09,male,6
2020-05-10,male,13
2020-05-11,male,24
2020-05-12,male,25
2020-05-13,male,26
2020-05-14,male,47
2020-05-15,male,35
2020-05-16,male,25
2020-05-17,male,14
2020-05-18,male,79
2020-05-19,male,41
2020-05-20,male,51
2020-05-21,male,18
2020-05-22,male,31
2020-05-23,male,52
2020-05-24,male,55
2020-05-25,male,24
2020-05-26,male,30
2020-05-27,male,23
2020-05-28,male,29
2020-05-29,male,31
2020-05-30,male,18
2020-05-31,male,6
2020-06-01,male,10
2020-06-02,male,28
2020-06-03,male,39
2020-06-04,male,30
2020-06-05,male,15
2020-06-06,male,17
2020-06-07,male,30
2020-06-08,male,45
2020-06-09,male,31
2020-06-10,male,26
2020-06-11,male,30
2020-06-12,male,20
2020-06-13,male,33
2020-06-14,male,15
2020-06-15,male,19
2020-06-16,male,20
2020-06-17,male,28
2020-06-18,male,64
2020-06-19,male,58
2020-06-20,male,24
2020-06-21,male,28
2020-06-22,male,38
2020-06-23,male,51
2020-06-24,male,73
2020-06-25,male,51
2020-06-26,male,110
2020-06-27,male,164
2020-06-28,male,224
2020-06-29,male,159
2020-06-30,male,78
2020-07-01,male,35
2020-07-02,male,58
2020-07-03,male,63
2020-07-04,male,59
2020-07-05,male,38
2020-07-06,male,20
2020-07-07,male,47
2020-07-08,male,48
2020-07-09,male,48
2020-07-10,male,60
2020-07-11,male,36
2020-07-12,male,26
2020-07-13,male,34
2020-07-14,male,47
2020-07-15,male,69
2020-07-16,male,72
2020-07-17,male,67
2020-07-18,male,49
2020-07-19,male,49
2020-07-20,male,106
2020-07-21,male,130
2020-07-22,male,144
2020-07-23,male,128
2020-07-24,male,130
2020-07-25,male,58
2020-07-26,male,54
2020-07-27,male,99
2020-07-28,male,134
2020-07-29,male,164
2020-07-30,male,141
2020-07-31,male,114
2020-08-01,male,60
2020-08-02,male,57
2020-08-03,male,120
2020-08-04,male,124
2020-08-05,male,137
2020-08-06,male,126
2020-08-07,male,157
2020-08-08,male,91
2020-08-09,male,62
2020-08-10,male,78
2020-08-11,male,158
2020-08-12,male,145
2020-08-13,male,181
2020-08-14,male,130
2020-08-15,male,74
2020-08-16,male,57
2020-08-17,male,83
2020-08-18,male,140
2020-08-19,male,148
2020-08-20,male,122
2020-08-21,male,240
2020-08-22,male,108
2020-08-23,male,56
2020-08-24,male,140
2020-08-25,male,186
2020-08-26,male,189
2020-08-27,male,172
2020-08-28,male,265
2020-08-29,male,165
2020-08-30,male,132
2020-08-31,male,115
2020-09-01,male,270
2020-09-02,male,336
2020-09-03,male,336
2020-09-04,male,388
2020-09-05,male,244
2020-09-06,male,200
2020-09-07,male,265
2020-09-08,male,576
2020-09-09,male,562
2020-09-10,male,648
2020-09-11,male,700
2020-09-12,male,740
2020-09-13,male,391
2020-09-14,male,484
2020-09-15,male,805
2020-09-16,male,965
2020-09-17,male,1428
2020-09-18,male,947
2020-09-19,male,926
2020-09-20,male,428
2020-09-21,male,639
2020-09-22,male,1038
2020-09-23,male,1030
2020-09-24,male,1240
2020-09-25,male,1455
2020-09-26,male,968
2020-09-27,male,651
2020-09-28,male,635
2020-09-29,male,955
2020-09-30,male,1437
2020-10-01,male,1623
2020-10-02,male,1815
2020-10-03,male,1255
2020-10-04,male,875
2020-10-05,male,1458
2020-10-06,male,2177
2020-10-07,male,2515
2020-10-08,male,2559
