date,gender,age_group,cases,deaths
2021-04-01,female,00-04,289,0
2021-04-01,female,05-14,603,0
2021-04-01,female,15-34,2044,2
2021-04-01,female,35-59,2413,5
2021-04-01,female,60-79,800,22
2021-04-01,female,80+,227,21
2021-04-01,female,total,6382,50
2021-04-01,male,00-04,293,0
2021-04-01,male,05-14,676,0
2021-04-01,male,15-34,2238,1
2021-04-01,male,35-59,2621,12
2021-04-01,male,60-79,800,39
2021-04-01,male,80+,148,28
2021-04-01,male,total,6779,80
2021-04-01,total,00-04,586,0
2021-04-01,total,05-14,1292,0
2021-04-01,total,15-34,4299,3
2021-04-01,total,35-59,5046,17
2021-04-01,total,60-79,1604,61
2021-04-01,total,80+,375,49
2021-04-01,total,total,13219,130
2021-04-02,female,00-04,233,0
2021-04-02,female,05-14,465,0
2021-04-02,female,15-34,1531,1
2021-04-02,female,35-59,1844,3
2021-04-02,female,60-79,571,14
2021-04-02,female,80+,163,28
2021-04-02,female,total,4809,46
2021-04-02,male,00-04,262,0
2021-04-02,male,05-14,512,0
2021-04-02,male,15-34,1624,0
2021-04-02,male,35-59,1880,11
2021-04-02,male,60-79,596,32
2021-04-02,male,80+,94,20
2021-04-02,male,total,4977,63
2021-04-02,total,00-04,502,0
2021-04-02,total,05-14,983,0
2021-04-02,total,15-34,3168,1
2021-04-02,total,35-59,3738,14
2021-04-02,total,60-79,1172,46
2021-04-02,total,80+,257,48
2021-04-02,total,total,9833,109
2021-04-03,female,00-04,174,0
2021-04-03,female,05-14,310,0
2021-04-03,female,15-34,995,1
2021-04-03,female,35-59,1066,0
2021-04-03,female,60-79,395,16
2021-04-03,female,80+,115,25
2021-04-03,female,total,3056,42
2021-04-03,male,00-04,149,0
2021-04-03,male,05-14,351,0
2021-04-03,male,15-34,1072,0
2021-04-03,male,35-59,1148,8
2021-04-03,male,60-79,406,24
2021-04-03,male,80+,86,13
2021-04-03,male,total,3214,45
2021-04-03,total,00-04,323,0
2021-04-03,total,05-14,669,0
2021-04-03,total,15-34,2075,1
2021-04-03,total,35-59,2219,8
2021-04-03,total,60-79,803,40
2021-04-03,total,80+,201,38
2021-04-03,total,total,6294,87
2021-04-04,female,00-04,80,0
2021-04-04,female,05-14,210,0
2021-04-04,female,15-34,711,0
2021-04-04,female,35-59,817,2
2021-04-04,female,60-79,258,7
2021-04-04,female,80+,76,20
2021-04-04,female,total,2152,29
2021-04-04,male,00-04,82,0
2021-04-04,male,05-14,214,0
2021-04-04,male,15-34,709,0
2021-04-04,male,35-59,829,4
2021-04-04,male,60-79,261,18
2021-04-04,male,80+,58,18
2021-04-04,male,total,2154,40
2021-04-04,total,00-04,162,0
2021-04-04,total,05-14,426,0
2021-04-04,total,15-34,1428,0
2021-04-04,total,35-59,1651,6
2021-04-04,total,60-79,519,25
2021-04-04,total,80+,134,38
2021-04-04,total,total,4321,69
2021-04-05,female,00-04,99,0
2021-04-05,female,05-14,205,0
2021-04-05,female,15-34,740,0
2021-04-05,female,35-59,824,2
2021-04-05,female,60-79,295,18
2021-04-05,female,80+,89,22
2021-04-05,female,total,2252,42
2021-04-05,male,00-04,95,0
2021-04-05,male,05-14,245,0
2021-04-05,male,15-34,720,1
2021-04-05,male,35-59,908,3
2021-04-05,male,60-79,307,26
2021-04-05,male,80+,59,18
2021-04-05,male,total,2338,48
2021-04-05,total,00-04,195,0
2021-04-05,total,05-14,453,0
2021-04-05,total,15-34,1465,1
2021-04-05,total,35-59,1741,5
2021-04-05,total,60-79,606,44
2021-04-05,total,80+,148,40
2021-04-05,total,total,4614,90
2021-04-06,female,00-04,139,0
2021-04-06,female,05-14,277,0
2021-04-06,female,15-34,1034,0
2021-04-06,female,35-59,1172,4
2021-04-06,female,60-79,421,22
2021-04-06,female,80+,156,30
2021-04-06,female,total,3201,56
2021-04-06,male,00-04,135,0
2021-04-06,male,05-14,292,0
2021-04-06,male,15-34,1074,2
2021-04-06,male,35-59,1421,11
2021-04-06,male,60-79,473,40
2021-04-06,male,80+,117,31
2021-04-06,male,total,3514,84
2021-04-06,total,00-04,275,0
2021-04-06,total,05-14,574,0
2021-04-06,total,15-34,2125,2
2021-04-06,total,35-59,2605,15
2021-04-06,total,60-79,896,63
2021-04-06,total,80+,273,61
2021-04-06,total,total,6752,141
2021-04-07,female,00-04,192,0
2021-04-07,female,05-14,551,0
2021-04-07,female,15-34,2204,1
2021-04-07,female,35-59,2750,1
2021-04-07,female,60-79,802,21
2021-04-07,female,80+,193,26
2021-04-07,female,total,6695,49
2021-04-07,male,00-04,242,0
2021-04-07,male,05-14,562,0
2021-04-07,male,15-34,2338,0
2021-04-07,male,35-59,3059,15
2021-04-07,male,60-79,969,48
2021-04-07,male,80+,137,42
2021-04-07,male,total,7311,105
2021-04-07,total,00-04,436,0
2021-04-07,total,05-14,1122,0
2021-04-07,total,15-34,4556,1
2021-04-07,total,35-59,5820,16
2021-04-07,total,60-79,1776,69
2021-04-07,total,80+,331,68
2021-04-07,total,total,14055,154
2021-04-08,female,00-04,261,0
2021-04-08,female,05-14,604,0
2021-04-08,female,15-34,2421,0
2021-04-08,female,35-59,2929,8
2021-04-08,female,60-79,902,15
2021-04-08,female,80+,251,35
2021-04-08,female,total,7370,58
2021-04-08,male,00-04,245,0
2021-04-08,male,05-14,664,0
2021-04-08,male,15-34,2642,1
2021-04-08,male,35-59,3160,8
2021-04-08,male,60-79,965,48
2021-04-08,male,80+,154,37
2021-04-08,male,total,7830,94
2021-04-08,total,00-04,511,0
2021-04-08,total,05-14,1284,0
2021-04-08,total,15-34,5079,1
2021-04-08,total,35-59,6111,16
2021-04-08,total,60-79,1868,63
2021-04-08,total,80+,405,72
2021-04-08,total,total,15263,152
2021-04-09,female,00-04,249,0
2021-04-09,female,05-14,575,0
2021-04-09,female,15-34,2321,0
2021-04-09,female,35-59,2654,10
2021-04-09,female,60-79,876,22
2021-04-09,female,80+,211,11
2021-04-09,female,total,6888,43
2021-04-09,male,00-04,294,0
2021-04-09,male,05-14,631,0
2021-04-09,male,15-34,2501,2
2021-04-09,male,35-59,2768,11
2021-04-09,male,60-79,869,37
2021-04-09,male,80+,141,34
2021-04-09,male,total,7206,84
2021-04-09,total,00-04,547,0
2021-04-09,total,05-14,1226,0
2021-04-09,total,15-34,4833,2
2021-04-09,total,35-59,5428,21
2021-04-09,total,60-79,1748,59
2021-04-09,total,80+,352,45
2021-04-09,total,total,14141,127
2021-04-10,female,00-04,203,0
2021-04-10,female,05-14,533,0
2021-04-10,female,15-34,1922,0
2021-04-10,female,35-59,2168,3
2021-04-10,female,60-79,712,14
2021-04-10,female,80+,165,24
2021-04-10,female,total,5709,41
2021-04-10,male,00-04,241,0
2021-04-10,male,05-14,619,0
2021-04-10,male,15-34,2006,0
2021-04-10,male,35-59,2146,10
2021-04-10,male,60-79,670,53
2021-04-10,male,80+,111,26
2021-04-10,male,total,5798,89
2021-04-10,total,00-04,454,0
2021-04-10,total,05-14,1170,0
2021-04-10,total,15-34,3953,0
2021-04-10,total,35-59,4326,13
2021-04-10,total,60-79,1384,67
2021-04-10,total,80+,276,50
2021-04-10,total,total,11587,130
2021-04-11,female,00-04,118,0
2021-04-11,female,05-14,295,0
2021-04-11,female,15-34,940,0
2021-04-11,female,35-59,1029,0
2021-04-11,female,60-79,319,11
2021-04-11,female,80+,65,8
2021-04-11,female,total,2767,19
2021-04-11,male,00-04,130,0
2021-04-11,male,05-14,286,0
2021-04-11,male,15-34,928,0
2021-04-11,male,35-59,1064,9
2021-04-11,male,60-79,296,18
2021-04-11,male,80+,59,11
2021-04-11,male,total,2764,38
2021-04-11,total,00-04,251,0
2021-04-11,total,05-14,585,0
2021-04-11,total,15-34,1874,0
2021-04-11,total,35-59,2095,9
2021-04-11,total,60-79,616,29
2021-04-11,total,80+,124,19
2021-04-11,total,total,5547,57
2021-04-12,female,00-04,124,0
2021-04-12,female,05-14,318,0
2021-04-12,female,15-34,1188,0
2021-04-12,female,35-59,1333,8
2021-04-12,female,60-79,462,19
2021-04-12,female,80+,123,17
2021-04-12,female,total,3551,44
2021-04-12,male,00-04,128,0
2021-04-12,male,05-14,334,0
2021-04-12,male,15-34,1358,2
2021-04-12,male,35-59,1472,6
2021-04-12,male,60-79,507,32
2021-04-12,male,80+,94,26
2021-04-12,male,total,3897,66
2021-04-12,total,00-04,256,0
2021-04-12,total,05-14,654,0
2021-04-12,total,15-34,2562,2
2021-04-12,total,35-59,2815,14
2021-04-12,total,60-79,971,51
2021-04-12,total,80+,217,43
2021-04-12,total,total,7482,110
2021-04-13,female,00-04,285,0
2021-04-13,female,05-14,711,0
2021-04-13,female,15-34,2569,0
2021-04-13,female,35-59,2981,2
2021-04-13,female,60-79,955,24
2021-04-13,female,80+,231,31
2021-04-13,female,total,7736,57
2021-04-13,male,00-04,265,0
2021-04-13,male,05-14,809,0
2021-04-13,male,15-34,2711,0
2021-04-13,male,35-59,3335,14
2021-04-13,male,60-79,960,52
2021-04-13,male,80+,163,35
2021-04-13,male,total,8247,101
2021-04-13,total,00-04,554,0
2021-04-13,total,05-14,1538,0
2021-04-13,total,15-34,5303,0
2021-04-13,total,35-59,6347,16
2021-04-13,total,60-79,1920,76
2021-04-13,total,80+,394,66
2021-04-13,total,total,16066,158
2021-04-14,female,00-04,305,0
2021-04-14,female,05-14,837,0
2021-04-14,female,15-34,2730,0
2021-04-14,female,35-59,3007,4
2021-04-14,female,60-79,994,23
2021-04-14,female,80+,226,30
2021-04-14,female,total,8100,57
2021-04-14,male,00-04,335,0
2021-04-14,male,05-14,916,0
2021-04-14,male,15-34,3088,1
2021-04-14,male,35-59,3340,13
2021-04-14,male,60-79,997,56
2021-04-14,male,80+,146,36
2021-04-14,male,total,8825,106
2021-04-14,total,00-04,649,0
2021-04-14,total,05-14,1772,0
2021-04-14,total,15-34,5842,1
2021-04-14,total,35-59,6366,17
2021-04-14,total,60-79,1997,79
2021-04-14,total,80+,373,66
2021-04-14,total,total,17004,163
2021-04-15,female,00-04,304,0
2021-04-15,female,05-14,832,0
2021-04-15,female,15-34,2482,0
2021-04-15,female,35-59,2722,2
2021-04-15,female,60-79,868,21
2021-04-15,female,80+,225,33
2021-04-15,female,total,7433,56
2021-04-15,male,00-04,301,0
2021-04-15,male,05-14,950,0
2021-04-15,male,15-34,2791,0
2021-04-15,male,35-59,2918,11
2021-04-15,male,60-79,864,43
2021-04-15,male,80+,151,32
2021-04-15,male,total,7979,86
2021-04-15,total,00-04,609,0
2021-04-15,total,05-14,1793,0
2021-04-15,total,15-34,5293,0
2021-04-15,total,35-59,5665,13
2021-04-15,total,60-79,1739,64
2021-04-15,total,80+,378,65
2021-04-15,total,total,15484,142
2021-04-16,female,00-04,292,0
2021-04-16,female,05-14,766,0
2021-04-16,female,15-34,2401,1
2021-04-16,female,35-59,2580,6
2021-04-16,female,60-79,804,25
2021-04-16,female,80+,230,25
2021-04-16,female,total,7076,57
2021-04-16,male,00-04,317,0
2021-04-16,male,05-14,850,0
2021-04-16,male,15-34,2518,2
2021-04-16,male,35-59,2842,20
2021-04-16,male,60-79,797,43
2021-04-16,male,80+,139,28
2021-04-16,male,total,7468,93
2021-04-16,total,00-04,612,0
2021-04-16,total,05-14,1632,0
2021-04-16,total,15-34,4943,3
2021-04-16,total,35-59,5445,26
2021-04-16,total,60-79,1610,68
2021-04-16,total,80+,371,53
2021-04-16,total,total,14623,150
2021-04-17,female,00-04,254,0
2021-04-17,female,05-14,583,0
2021-04-17,female,15-34,1859,0
2021-04-17,female,35-59,2144,7
2021-04-17,female,60-79,693,25
2021-04-17,female,80+,174,28
2021-04-17,female,total,5708,60
2021-04-17,male,00-04,288,0
2021-04-17,male,05-14,712,0
2021-04-17,male,15-34,1941,1
2021-04-17,male,35-59,2239,13
2021-04-17,male,60-79,697,33
2021-04-17,male,80+,114,21
2021-04-17,male,total,5992,68
2021-04-17,total,00-04,553,0
2021-04-17,total,05-14,1304,0
2021-04-17,total,15-34,3815,1
2021-04-17,total,35-59,4397,20
2021-04-17,total,60-79,1391,58
2021-04-17,total,80+,288,49
2021-04-17,total,total,11750,128
2021-04-18,female,00-04,129,0
2021-04-18,female,05-14,323,0
2021-04-18,female,15-34,905,0
2021-04-18,female,35-59,1017,1
2021-04-18,female,60-79,320,14
2021-04-18,female,80+,101,16
2021-04-18,female,total,2796,31
2021-04-18,male,00-04,122,0
2021-04-18,male,05-14,366,0
2021-04-18,male,15-34,961,0
2021-04-18,male,35-59,1095,5
2021-04-18,male,60-79,354,28
2021-04-18,male,80+,68,14
2021-04-18,male,total,2967,47
2021-04-18,total,00-04,252,0
2021-04-18,total,05-14,695,0
2021-04-18,total,15-34,1885,0
2021-04-18,total,35-59,2130,6
2021-04-18,total,60-79,676,42
2021-04-18,total,80+,171,30
2021-04-18,total,total,5811,78
2021-04-19,female,00-04,137,0
2021-04-19,female,05-14,421,0
2021-04-19,female,15-34,1126,0
2021-04-19,female,35-59,1311,5
2021-04-19,female,60-79,436,17
2021-04-19,female,80+,146,28
2021-04-19,female,total,3580,50
2021-04-19,male,00-04,130,0
2021-04-19,male,05-14,461,0
