date,gender,age_group,cases,deaths
2021-04-01,female,00-04,414,0
2021-04-01,female,05-14,899,0
2021-04-01,female,15-34,3082,2
2021-04-01,female,35-59,4041,8
2021-04-01,female,60-79,1494,44
2021-04-01,female,80+,417,49
2021-04-01,female,total,10353,103
2021-04-01,male,00-04,458,0
2021-04-01,male,05-14,1035,0
2021-04-01,male,15-34,3388,1
2021-04-01,male,35-59,4313,14
2021-04-01,male,60-79,1511,76
2021-04-01,male,80+,274,56
2021-04-01,male,total,10982,147
2021-04-01,total,00-04,878,0
2021-04-01,total,05-14,1955,0
2021-04-01,total,15-34,6504,3
2021-04-01,total,35-59,8384,22
2021-04-01,total,60-79,3011,120
2021-04-01,total,80+,692,105
2021-04-01,total,total,21441,250
2021-04-02,female,00-04,324,0
2021-04-02,female,05-14,693,0
2021-04-02,female,15-34,2245,1
2021-04-02,female,35-59,2981,4
2021-04-02,female,60-79,1066,32
2021-04-02,female,80+,331,49
2021-04-02,female,total,7642,86
2021-04-02,male,00-04,398,0
2021-04-02,male,05-14,786,0
2021-04-02,male,15-34,2372,0
2021-04-02,male,35-59,2960,13
2021-04-02,male,60-79,1088,58
2021-04-02,male,80+,172,41
2021-04-02,male,total,7785,112
2021-04-02,total,00-04,729,0
2021-04-02,total,05-14,1489,0
2021-04-02,total,15-34,4636,1
2021-04-02,total,35-59,5963,17
2021-04-02,total,60-79,2161,90
2021-04-02,total,80+,503,90
2021-04-02,total,total,15494,198
2021-04-03,female,00-04,249,0
2021-04-03,female,05-14,481,0
2021-04-03,female,15-34,1633,1
2021-04-03,female,35-59,1889,2
2021-04-03,female,60-79,731,37
2021-04-03,female,80+,232,43
2021-04-03,female,total,5216,83
2021-04-03,male,00-04,232,0
2021-04-03,male,05-14,525,0
2021-04-03,male,15-34,1668,0
2021-04-03,male,35-59,2028,11
2021-04-03,male,60-79,767,50
2021-04-03,male,80+,154,31
2021-04-03,male,total,5376,92
2021-04-03,total,00-04,483,0
2021-04-03,total,05-14,1017,0
2021-04-03,total,15-34,3315,1
2021-04-03,total,35-59,3930,13
2021-04-03,total,60-79,1500,87
2021-04-03,total,80+,386,74
2021-04-03,total,total,10635,175
2021-04-04,female,00-04,131,0
2021-04-04,female,05-14,326,0
2021-04-04,female,15-34,1112,0
2021-04-04,female,35-59,1395,3
2021-04-04,female,60-79,458,23
2021-04-04,female,80+,133,32
2021-04-04,female,total,3555,58
2021-04-04,male,00-04,126,0
2021-04-04,male,05-14,343,0
2021-04-04,male,15-34,1087,0
2021-04-04,male,35-59,1408,9
2021-04-04,male,60-79,504,31
2021-04-04,male,80+,100,27
2021-04-04,male,total,3569,67
2021-04-04,total,00-04,257,0
2021-04-04,total,05-14,673,0
2021-04-04,total,15-34,2213,0
2021-04-04,total,35-59,2810,12
2021-04-04,total,60-79,962,54
2021-04-04,total,80+,233,59
2021-04-04,total,total,7149,125
2021-04-05,female,00-04,127,0
2021-04-05,female,05-14,289,0
2021-04-05,female,15-34,1070,0
2021-04-05,female,35-59,1271,5
2021-04-05,female,60-79,511,23
2021-04-05,female,80+,167,40
2021-04-05,female,total,3435,68
2021-04-05,male,00-04,139,0
2021-04-05,male,05-14,347,0
2021-04-05,male,15-34,1043,1
2021-04-05,male,35-59,1398,6
2021-04-05,male,60-79,536,50
2021-04-05,male,80+,109,38
2021-04-05,male,total,3576,95
2021-04-05,total,00-04,267,0
2021-04-05,total,05-14,641,0
2021-04-05,total,15-34,2122,1
2021-04-05,total,35-59,2681,11
2021-04-05,total,60-79,1053,73
2021-04-05,total,80+,277,78
2021-04-05,total,total,7047,163
2021-04-06,female,00-04,183,0
2021-04-06,female,05-14,439,0
2021-04-06,female,15-34,1685,1
2021-04-06,female,35-59,2169,6
