date,gender,age_group,cases,deaths
2021-04-01,female,00-09,1207,
2021-04-01,female,10-19,3123,
2021-04-01,female,20-29,3256,
2021-04-01,female,30-39,3520,
2021-04-01,female,40-49,3274,
2021-04-01,female,50-59,2676,
2021-04-01,female,60-69,1737,
2021-04-01,female,70-79,942,
2021-04-01,female,80-89,597,
2021-04-01,female,90+,312,
2021-04-01,female,total,20651,
2021-04-01,male,00-09,1238,
2021-04-01,male,10-19,3194,
2021-04-01,male,20-29,3064,
2021-04-01,male,30-39,2866,
2021-04-01,male,40-49,2909,
2021-04-01,male,50-59,2481,
2021-04-01,male,60-69,1516,
2021-04-01,male,70-79,844,
2021-04-01,male,80-89,360,
2021-04-01,male,90+,123,
2021-04-01,male,total,18602,
2021-04-01,total,00-09,2511,
2021-04-01,total,10-19,6420,
2021-04-01,total,20-29,6343,
2021-04-01,total,30-39,6400,
2021-04-01,total,40-49,6201,
2021-04-01,total,50-59,5170,
2021-04-01,total,60-69,3262,
2021-04-01,total,70-79,1790,
2021-04-01,total,80-89,960,
2021-04-01,total,90+,435,
2021-04-01,total,total,39506,
2021-04-02,female,00-09,1163,
2021-04-02,female,10-19,3080,
2021-04-02,female,20-29,3136,
2021-04-02,female,30-39,3328,
2021-04-02,female,40-49,3292,
2021-04-02,female,50-59,2624,
2021-04-02,female,60-69,1751,
2021-04-02,female,70-79,961,
2021-04-02,female,80-89,639,
2021-04-02,female,90+,264,
2021-04-02,female,total,20241,
2021-04-02,male,00-09,1189,
2021-04-02,male,10-19,3149,
2021-04-02,male,20-29,2978,
2021-04-02,male,30-39,2750,
2021-04-02,male,40-49,2920,
2021-04-02,male,50-59,2392,
2021-04-02,male,60-69,1491,
2021-04-02,male,70-79,804,
2021-04-02,male,80-89,377,
2021-04-02,male,90+,116,
2021-04-02,male,total,18178,
2021-04-02,total,00-09,2413,
2021-04-02,total,10-19,6343,
2021-04-02,total,20-29,6137,
2021-04-02,total,30-39,6103,
2021-04-02,total,40-49,6231,
2021-04-02,total,50-59,5032,
2021-04-02,total,60-69,3253,
2021-04-02,total,70-79,1768,
2021-04-02,total,80-89,1018,
2021-04-02,total,90+,380,
2021-04-02,total,total,38693,
2021-04-03,female,00-09,637,
2021-04-03,female,10-19,1884,
2021-04-03,female,20-29,2029,
2021-04-03,female,30-39,2116,
2021-04-03,female,40-49,2155,
2021-04-03,female,50-59,1779,
2021-04-03,female,60-69,1075,
2021-04-03,female,70-79,546,
2021-04-03,female,80-89,362,
2021-04-03,female,90+,158,
2021-04-03,female,total,12748,
2021-04-03,male,00-09,630,
2021-04-03,male,10-19,1861,
2021-04-03,male,20-29,1779,
2021-04-03,male,30-39,1782,
2021-04-03,male,40-49,1857,
2021-04-03,male,50-59,1662,
2021-04-03,male,60-69,1009,
2021-04-03,male,70-79,519,
2021-04-03,male,80-89,225,
2021-04-03,male,90+,64,
2021-04-03,male,total,11393,
2021-04-03,total,00-09,1304,
2021-04-03,total,10-19,3830,
2021-04-03,total,20-29,3819,
2021-04-03,total,30-39,3912,
2021-04-03,total,40-49,4024,
2021-04-03,total,50-59,3452,
2021-04-03,total,60-69,2090,
2021-04-03,total,70-79,1066,
2021-04-03,total,80-89,589,
2021-04-03,total,90+,222,
2021-04-03,total,total,24320,
2021-04-04,female,00-09,143,
2021-04-04,female,10-19,294,
2021-04-04,female,20-29,417,
2021-04-04,female,30-39,443,
2021-04-04,female,40-49,395,
2021-04-04,female,50-59,325,
2021-04-04,female,60-69,209,
