date,gender,age_group,cases,deaths
2021-05-01,female,00-04,,
2021-05-01,female,05-09,,
2021-05-01,female,10-14,,
2021-05-01,female,15-19,,
2021-05-01,female,20-24,,
2021-05-01,female,25-29,,
2021-05-01,female,30-34,,
2021-05-01,female,35-39,,
2021-05-01,female,40-44,,
2021-05-01,female,45-49,,
2021-05-01,female,50-54,,
2021-05-01,female,55-59,,
2021-05-01,female,60-64,,
2021-05-01,female,65-69,,
2021-05-01,female,70-74,,
2021-05-01,female,75-79,,
2021-05-01,female,80-84,,
2021-05-01,female,85-89,,
2021-05-01,female,90+,,
2021-05-01,female,total,,
2021-05-01,male,00-04,,
2021-05-01,male,05-09,,
2021-05-01,male,10-14,,
2021-05-01,male,15-19,,
2021-05-01,male,20-24,,
2021-05-01,male,25-29,,
2021-05-01,male,30-34,,
2021-05-01,male,35-39,,
2021-05-01,male,40-44,,
2021-05-01,male,45-49,,
2021-05-01,male,50-54,,
2021-05-01,male,55-59,,
2021-05-01,male,60-64,,
2021-05-01,male,65-69,,
2021-05-01,male,70-74,,
2021-05-01,male,75-79,,
2021-05-01,male,80-84,,
2021-05-01,male,85-89,,
2021-05-01,male,90+,,
2021-05-01,male,total,,
2021-05-01,total,00-04,,
2021-05-01,total,05-09,,
2021-05-01,total,10-14,,
2021-05-01,total,15-19,,
2021-05-01,total,20-24,,
2021-05-01,total,25-29,,
2021-05-01,total,30-34,,
2021-05-01,total,35-39,,
2021-05-01,total,40-44,,
2021-05-01,total,45-49,,
2021-05-01,total,50-54,,
2021-05-01,total,55-59,,
2021-05-01,total,60-64,,
2021-05-01,total,65-69,,
2021-05-01,total,70-74,,
2021-05-01,total,75-79,,
2021-05-01,total,80-84,,
2021-05-01,total,85-89,,
2021-05-01,total,90+,,
2021-05-01,total,total,,
2021-05-02,female,00-04,20.0,
2021-05-02,female,05-09,28.0,
2021-05-02,female,10-14,127.0,
2021-05-02,female,15-19,64.0,
2021-05-02,female,20-24,59.0,
2021-05-02,female,25-29,42.0,
2021-05-02,female,30-34,50.0,
2021-05-02,female,35-39,61.0,
2021-05-02,female,40-44,47.0,
2021-05-02,female,45-49,42.0,
2021-05-02,female,50-54,34.0,
2021-05-02,female,55-59,26.0,
2021-05-02,female,60-64,23.0,
2021-05-02,female,65-69,16.0,
2021-05-02,female,70-74,4.0,
2021-05-02,female,75-79,3.0,
2021-05-02,female,80-84,4.0,
2021-05-02,female,85-89,6.0,
2021-05-02,female,90+,1.0,
2021-05-02,female,total,657.0,
2021-05-02,male,00-04,14.0,
2021-05-02,male,05-09,20.0,
2021-05-02,male,10-14,99.0,
2021-05-02,male,15-19,76.0,
2021-05-02,male,20-24,37.0,
2021-05-02,male,25-29,53.0,
2021-05-02,male,30-34,40.0,
2021-05-02,male,35-39,58.0,
2021-05-02,male,40-44,38.0,
2021-05-02,male,45-49,24.0,
2021-05-02,male,50-54,28.0,
2021-05-02,male,55-59,21.0,
2021-05-02,male,60-64,14.0,
2021-05-02,male,65-69,11.0,
2021-05-02,male,70-74,9.0,
2021-05-02,male,75-79,3.0,
2021-05-02,male,80-84,5.0,
2021-05-02,male,85-89,0.0,
2021-05-02,male,90+,0.0,
2021-05-02,male,total,550.0,
2021-05-02,total,00-04,34.0,
2021-05-02,total,05-09,48.0,
2021-05-02,total,10-14,226.0,
2021-05-02,total,15-19,140.0,
2021-05-02,total,20-24,96.0,
2021-05-02,total,25-29,95.0,
2021-05-02,total,30-34,90.0,
2021-05-02,total,35-39,119.0,
2021-05-02,total,40-44,85.0,
2021-05-02,total,45-49,66.0,
2021-05-02,total,50-54,62.0,
2021-05-02,total,55-59,47.0,
2021-05-02,total,60-64,37.0,
2021-05-02,total,65-69,27.0,
2021-05-02,total,70-74,13.0,
2021-05-02,total,75-79,6.0,
2021-05-02,total,80-84,9.0,
2021-05-02,total,85-89,6.0,
2021-05-02,total,90+,1.0,
2021-05-02,total,total,1207.0,
2021-05-03,female,00-04,18.0,
2021-05-03,female,05-09,41.0,
2021-05-03,female,10-14,147.0,
2021-05-03,female,15-19,122.0,
2021-05-03,female,20-24,52.0,
2021-05-03,female,25-29,74.0,
2021-05-03,female,30-34,67.0,
2021-05-03,female,35-39,69.0,
2021-05-03,female,40-44,82.0,
2021-05-03,female,45-49,66.0,
2021-05-03,female,50-54,45.0,
2021-05-03,female,55-59,42.0,
2021-05-03,female,60-64,36.0,
2021-05-03,female,65-69,22.0,
2021-05-03,female,70-74,15.0,
2021-05-03,female,75-79,2.0,
2021-05-03,female,80-84,3.0,
2021-05-03,female,85-89,3.0,
2021-05-03,female,90+,1.0,
2021-05-03,female,total,907.0,
2021-05-03,male,00-04,18.0,
2021-05-03,male,05-09,34.0,
2021-05-03,male,10-14,126.0,
2021-05-03,male,15-19,93.0,
2021-05-03,male,20-24,64.0,
2021-05-03,male,25-29,82.0,
2021-05-03,male,30-34,65.0,
2021-05-03,male,35-39,74.0,
2021-05-03,male,40-44,64.0,
2021-05-03,male,45-49,49.0,
2021-05-03,male,50-54,37.0,
2021-05-03,male,55-59,26.0,
2021-05-03,male,60-64,22.0,
2021-05-03,male,65-69,13.0,
2021-05-03,male,70-74,6.0,
2021-05-03,male,75-79,5.0,
2021-05-03,male,80-84,1.0,
2021-05-03,male,85-89,1.0,
2021-05-03,male,90+,0.0,
2021-05-03,male,total,780.0,
2021-05-03,total,00-04,36.0,
2021-05-03,total,05-09,75.0,
2021-05-03,total,10-14,273.0,
2021-05-03,total,15-19,215.0,
2021-05-03,total,20-24,116.0,
2021-05-03,total,25-29,156.0,
2021-05-03,total,30-34,132.0,
2021-05-03,total,35-39,143.0,
2021-05-03,total,40-44,146.0,
2021-05-03,total,45-49,115.0,
2021-05-03,total,50-54,82.0,
2021-05-03,total,55-59,68.0,
2021-05-03,total,60-64,58.0,
2021-05-03,total,65-69,35.0,
2021-05-03,total,70-74,21.0,
2021-05-03,total,75-79,7.0,
2021-05-03,total,80-84,4.0,
2021-05-03,total,85-89,4.0,
2021-05-03,total,90+,1.0,
2021-05-03,total,total,1687.0,
2021-05-04,female,00-04,25.0,
2021-05-04,female,05-09,66.0,
2021-05-04,female,10-14,130.0,
2021-05-04,female,15-19,119.0,
2021-05-04,female,20-24,94.0,
2021-05-04,female,25-29,75.0,
2021-05-04,female,30-34,113.0,
2021-05-04,female,35-39,106.0,
2021-05-04,female,40-44,80.0,
2021-05-04,female,45-49,66.0,
2021-05-04,female,50-54,55.0,
2021-05-04,female,55-59,58.0,
2021-05-04,female,60-64,26.0,
2021-05-04,female,65-69,21.0,
2021-05-04,female,70-74,10.0,
2021-05-04,female,75-79,13.0,
2021-05-04,female,80-84,4.0,
2021-05-04,female,85-89,6.0,
2021-05-04,female,90+,3.0,
