date,gender,age_group,cases,deaths
2021-05-01,female,00-14,24,0
2021-05-01,female,15-19,4,0
2021-05-01,female,20-24,4,0
2021-05-01,female,25-44,19,0
2021-05-01,female,45-64,8,0
2021-05-01,female,65-74,1,0
2021-05-01,female,75-84,0,0
2021-05-01,female,85+,0,0
2021-05-01,female,total,60,0
2021-05-01,male,00-14,24,0
2021-05-01,male,15-19,2,0
2021-05-01,male,20-24,3,0
2021-05-01,male,25-44,20,0
2021-05-01,male,45-64,15,0
2021-05-01,male,65-74,0,0
2021-05-01,male,75-84,1,0
2021-05-01,male,85+,0,0
2021-05-01,male,total,65,0
2021-05-01,total,00-14,48,0
2021-05-01,total,15-19,6,0
2021-05-01,total,20-24,7,0
2021-05-01,total,25-44,40,0
2021-05-01,total,45-64,23,0
2021-05-01,total,65-74,1,0
2021-05-01,total,75-84,1,0
2021-05-01,total,85+,0,0
2021-05-01,total,total,126,0
2021-05-02,female,00-14,17,0
2021-05-02,female,15-19,1,0
2021-05-02,female,20-24,3,0
2021-05-02,female,25-44,21,0
2021-05-02,female,45-64,11,0
2021-05-02,female,65-74,2,0
2021-05-02,female,75-84,0,0
2021-05-02,female,85+,0,0
2021-05-02,female,total,55,0
2021-05-02,male,00-14,12,0
2021-05-02,male,15-19,6,0
2021-05-02,male,20-24,7,0
2021-05-02,male,25-44,22,0
2021-05-02,male,45-64,16,0
2021-05-02,male,65-74,2,0
2021-05-02,male,75-84,1,1
2021-05-02,male,85+,0,0
2021-05-02,male,total,66,1
2021-05-02,total,00-14,29,0
2021-05-02,total,15-19,7,0
2021-05-02,total,20-24,10,0
2021-05-02,total,25-44,43,0
2021-05-02,total,45-64,27,0
2021-05-02,total,65-74,4,0
2021-05-02,total,75-84,1,1
2021-05-02,total,85+,0,0
2021-05-02,total,total,121,1
2021-05-03,female,00-14,10,0
2021-05-03,female,15-19,10,0
2021-05-03,female,20-24,10,0
2021-05-03,female,25-44,33,0
2021-05-03,female,45-64,16,0
2021-05-03,female,65-74,3,0
2021-05-03,female,75-84,1,0
2021-05-03,female,85+,0,0
2021-05-03,female,total,83,0
2021-05-03,male,00-14,12,0
2021-05-03,male,15-19,11,0
2021-05-03,male,20-24,5,0
2021-05-03,male,25-44,28,0
2021-05-03,male,45-64,19,0
2021-05-03,male,65-74,3,0
2021-05-03,male,75-84,1,0
2021-05-03,male,85+,0,0
2021-05-03,male,total,79,0
2021-05-03,total,00-14,22,0
2021-05-03,total,15-19,21,0
2021-05-03,total,20-24,15,0
2021-05-03,total,25-44,61,0
2021-05-03,total,45-64,35,0
2021-05-03,total,65-74,6,0
2021-05-03,total,75-84,2,0
2021-05-03,total,85+,0,0
2021-05-03,total,total,162,0
2021-05-04,female,00-14,24,0
2021-05-04,female,15-19,12,0
2021-05-04,female,20-24,9,0
2021-05-04,female,25-44,34,0
2021-05-04,female,45-64,16,0
2021-05-04,female,65-74,1,0
2021-05-04,female,75-84,2,0
2021-05-04,female,85+,0,0
2021-05-04,female,total,98,0
2021-05-04,male,00-14,19,0
2021-05-04,male,15-19,8,0
2021-05-04,male,20-24,13,0
2021-05-04,male,25-44,43,0
2021-05-04,male,45-64,13,0
2021-05-04,male,65-74,1,0
2021-05-04,male,75-84,1,0
2021-05-04,male,85+,0,0
2021-05-04,male,total,98,0
2021-05-04,total,00-14,43,0
2021-05-04,total,15-19,20,0
2021-05-04,total,20-24,22,0
2021-05-04,total,25-44,77,0
2021-05-04,total,45-64,29,0
2021-05-04,total,65-74,2,0
2021-05-04,total,75-84,3,0
2021-05-04,total,85+,0,0
2021-05-04,total,total,196,0
2021-05-05,female,00-14,21,0
2021-05-05,female,15-19,10,0
2021-05-05,female,20-24,11,0
2021-05-05,female,25-44,41,0
2021-05-05,female,45-64,23,0
2021-05-05,female,65-74,0,0
2021-05-05,female,75-84,0,0
2021-05-05,female,85+,0,0
2021-05-05,female,total,106,0
2021-05-05,male,00-14,22,0
