date,cases,gender
2020-04-15,,male
2020-04-16,,male
2020-04-17,,male
2020-04-18,,male
2020-04-19,,male
2020-04-20,,male
2020-04-21,,male
2020-04-22,,male
2020-04-23,,male
2020-04-24,,male
2020-04-25,,male
2020-04-26,,male
2020-04-27,,male
2020-04-28,,male
2020-04-29,,male
2020-04-30,,male
2020-05-01,,male
2020-05-02,,male
2020-05-03,,male
2020-05-04,,male
2020-05-05,,male
2020-05-06,,male
2020-05-07,,male
2020-05-08,,male
2020-05-09,,male
2020-05-10,,male
2020-05-11,,male
2020-05-12,,male
2020-05-13,,male
2020-05-14,,male
2020-05-15,,male
2020-05-16,,male
2020-05-17,,male
2020-05-18,,male
2020-05-19,,male
2020-05-20,,male
2020-05-21,,male
2020-05-22,,male
2020-05-23,,male
2020-05-24,,male
2020-05-25,,male
2020-05-26,,male
2020-05-27,,male
2020-05-28,,male
2020-05-29,,male
2020-05-30,,male
2020-05-31,,male
2020-06-01,,male
2020-06-02,,male
2020-06-03,,male
2020-06-04,,male
2020-06-05,,male
2020-06-06,,male
2020-06-07,,male
2020-06-08,,male
2020-06-09,,male
2020-06-10,,male
2020-06-11,,male
2020-06-12,,male
2020-06-13,,male
2020-06-14,,male
2020-06-15,,male
2020-06-16,,male
2020-06-17,,male
2020-06-18,,male
2020-06-19,,male
2020-06-20,,male
2020-06-21,,male
2020-06-22,,male
2020-06-23,,male
2020-06-24,,male
2020-06-25,,male
2020-06-26,,male
2020-06-27,,male
2020-06-28,,male
2020-06-29,,male
2020-06-30,,male
2020-07-01,,male
2020-07-02,,male
2020-07-03,,male
2020-07-04,,male
2020-07-05,,male
2020-07-06,,male
2020-07-07,,male
2020-07-08,,male
2020-07-09,,male
2020-07-10,,male
2020-07-11,,male
2020-07-12,,male
2020-07-13,,male
2020-07-14,,male
2020-07-15,,male
2020-07-16,,male
2020-07-17,,male
2020-07-18,,male
2020-07-19,,male
2020-07-20,,male
2020-07-21,,male
2020-07-22,,male
2020-07-23,,male
2020-07-24,,male
2020-07-25,,male
2020-07-26,,male
2020-07-27,,male
2020-07-28,,male
2020-07-29,,male
2020-07-30,,male
2020-07-31,,male
2020-08-01,,male
2020-08-02,,male
2020-08-03,,male
2020-08-04,,male
2020-08-05,,male
2020-08-06,,male
2020-08-07,,male
2020-08-08,,male
2020-08-09,,male
2020-08-10,,male
2020-08-11,,male
2020-08-12,,male
2020-08-13,,male
2020-08-14,,male
2020-08-15,,male
2020-08-16,,male
2020-08-17,,male
2020-08-18,,male
2020-08-19,,male
2020-08-20,,male
2020-08-21,,male
2020-08-22,,male
2020-08-23,,male
2020-08-24,,male
2020-08-25,,male
2020-08-26,,male
2020-08-27,,male
2020-08-28,,male
2020-08-29,,male
2020-08-30,,male
2020-08-31,,male
2020-09-01,,male
2020-09-02,,male
2020-09-03,,male
2020-09-04,,male
2020-09-05,,male
2020-09-06,,male
2020-09-07,,male
2020-09-08,,male
2020-09-09,,male
2020-09-10,,male
