date,gender,age_group,cases,deaths
2020-02-26,female,total,,
2020-02-26,male,total,,
2020-02-26,total,total,,
2020-02-27,female,total,,
2020-02-27,male,total,,
2020-02-27,total,total,0.0,0.0
2020-02-28,female,total,,
2020-02-28,male,total,,
2020-02-28,total,total,0.0,0.0
2020-02-29,female,total,,
2020-02-29,male,total,,
2020-02-29,total,total,0.0,0.0
2020-03-01,female,total,,
2020-03-01,male,total,,
2020-03-01,total,total,0.0,0.0
2020-03-02,female,total,,
2020-03-02,male,total,,
2020-03-02,total,total,2.0,0.0
2020-03-03,female,total,,
2020-03-03,male,total,,
2020-03-03,total,total,2.0,0.0
2020-03-04,female,total,,
2020-03-04,male,total,,
2020-03-04,total,total,2.0,0.0
2020-03-05,female,total,,
2020-03-05,male,total,,
2020-03-05,total,total,3.0,0.0
2020-03-06,female,total,,
2020-03-06,male,total,,
2020-03-06,total,total,4.0,0.0
2020-03-07,female,total,,
2020-03-07,male,total,,
2020-03-07,total,total,8.0,0.0
2020-03-08,female,total,,
2020-03-08,male,total,,
2020-03-08,total,total,9.0,0.0
2020-03-09,female,total,,
2020-03-09,male,total,,
2020-03-09,total,total,9.0,0.0
2020-03-10,female,total,,
2020-03-10,male,total,,
2020-03-10,total,total,2.0,0.0
2020-03-11,female,total,,
2020-03-11,male,total,,
2020-03-11,total,total,18.0,0.0
2020-03-12,female,total,,
2020-03-12,male,total,,
2020-03-12,total,total,19.0,0.0
2020-03-13,female,total,,
2020-03-13,male,total,,
2020-03-13,total,total,34.0,0.0
2020-03-14,female,total,,
2020-03-14,male,total,,
2020-03-14,total,total,57.0,0.0
2020-03-15,female,total,,
2020-03-15,male,total,,
2020-03-15,total,total,76.0,0.0
2020-03-16,female,total,,
2020-03-16,male,total,,
2020-03-16,total,total,86.0,0.0
2020-03-17,female,total,,
2020-03-17,male,total,,
2020-03-17,total,total,117.0,1.0
2020-03-18,female,total,,
2020-03-18,male,total,,
2020-03-18,total,total,194.0,0.0
2020-03-19,female,total,,
2020-03-19,male,total,,
2020-03-19,total,total,143.0,2.0
2020-03-20,female,total,116.0,
2020-03-20,male,total,119.0,
2020-03-20,total,total,235.0,3.0
2020-03-21,female,total,143.0,
2020-03-21,male,total,117.0,
2020-03-21,total,total,260.0,6.0
2020-03-22,female,total,172.0,
2020-03-22,male,total,148.0,
2020-03-22,total,total,320.0,2.0
2020-03-23,female,total,259.0,
2020-03-23,male,total,201.0,
2020-03-23,total,total,460.0,9.0
2020-03-24,female,total,154.0,
2020-03-24,male,total,148.0,
2020-03-24,total,total,302.0,10.0
2020-03-25,female,total,352.0,3.0
