date,cases,gender
2020-03-04,,male
2020-03-05,4.0,male
2020-03-06,3.0,male
2020-03-07,2.0,male
2020-03-08,2.0,male
2020-03-09,5.0,male
2020-03-10,7.0,male
2020-03-11,16.0,male
2020-03-12,30.0,male
2020-03-13,20.0,male
2020-03-14,17.0,male
2020-03-15,21.0,male
2020-03-16,13.0,male
2020-03-17,6.0,male
2020-03-18,12.0,male
2020-03-19,14.0,male
2020-03-20,15.0,male
2020-03-21,18.0,male
2020-03-22,15.0,male
2020-03-23,17.0,male
2020-03-24,18.0,male
2020-03-25,25.0,male
2020-03-26,27.0,male
2020-03-27,24.0,male
2020-03-28,24.0,male
2020-03-29,11.0,male
2020-03-30,21.0,male
2020-03-31,13.0,male
2020-04-01,24.0,male
2020-04-02,13.0,male
2020-04-03,15.0,male
2020-04-04,9.0,male
2020-04-05,6.0,male
2020-04-06,12.0,male
2020-04-07,17.0,male
2020-04-08,13.0,male
2020-04-09,11.0,male
2020-04-10,10.0,male
2020-04-11,10.0,male
2020-04-12,2.0,male
2020-04-13,5.0,male
2020-04-14,9.0,male
2020-04-15,9.0,male
2020-04-16,16.0,male
2020-04-17,3.0,male
2020-04-18,5.0,male
2020-04-19,3.0,male
2020-04-20,4.0,male
2020-04-21,4.0,male
2020-04-22,5.0,male
2020-04-23,2.0,male
2020-04-24,6.0,male
2020-04-25,4.0,male
2020-04-26,4.0,male
2020-04-27,2.0,male
2020-04-28,3.0,male
2020-04-29,6.0,male
2020-04-30,3.0,male
2020-05-01,1.0,male
2020-05-02,0.0,male
2020-05-03,0.0,male
2020-05-04,0.0,male
2020-05-05,1.0,male
2020-05-06,0.0,male
2020-05-07,0.0,male
2020-05-08,3.0,male
2020-05-09,1.0,male
2020-05-10,2.0,male
2020-05-11,0.0,male
2020-05-12,1.0,male
2020-05-13,1.0,male
2020-05-14,1.0,male
2020-05-15,0.0,male
2020-05-16,0.0,male
2020-05-17,0.0,male
2020-05-18,1.0,male
2020-05-19,0.0,male
2020-05-20,0.0,male
2020-05-21,0.0,male
2020-05-22,0.0,male
2020-05-23,0.0,male
2020-05-24,0.0,male
2020-05-25,0.0,male
2020-05-26,2.0,male
2020-05-27,0.0,male
2020-05-28,0.0,male
2020-05-29,0.0,male
2020-05-30,0.0,male
2020-05-31,0.0,male
2020-06-01,0.0,male
2020-06-02,1.0,male
2020-06-03,0.0,male
2020-06-04,1.0,male
2020-06-05,2.0,male
2020-06-06,1.0,male
2020-06-07,0.0,male
2020-06-08,1.0,male
2020-06-09,0.0,male
2020-06-10,0.0,male
2020-06-11,0.0,male
2020-06-12,1.0,male
2020-06-13,3.0,male
2020-06-14,1.0,male
2020-06-15,3.0,male
2020-06-16,2.0,male
2020-06-17,7.0,male
2020-06-18,2.0,male
2020-06-19,2.0,male
2020-06-20,0.0,male
2020-06-21,1.0,male
2020-06-22,7.0,male
2020-06-23,5.0,male
2020-06-24,5.0,male
2020-06-25,8.0,male
2020-06-26,6.0,male
2020-06-27,8.0,male
2020-06-28,2.0,male
2020-06-29,10.0,male
2020-06-30,9.0,male
2020-07-01,11.0,male
2020-07-02,7.0,male
2020-07-03,17.0,male
2020-07-04,6.0,male
2020-07-05,3.0,male
2020-07-06,8.0,male
2020-07-07,17.0,male
2020-07-08,10.0,male
2020-07-09,8.0,male
2020-07-10,19.0,male
2020-07-11,9.0,male
2020-07-12,4.0,male
2020-07-13,3.0,male
2020-07-14,8.0,male
2020-07-15,10.0,male
2020-07-16,15.0,male
2020-07-17,17.0,male
2020-07-18,1.0,male
2020-07-19,6.0,male
2020-07-20,9.0,male
2020-07-21,12.0,male
2020-07-22,11.0,male
2020-07-23,10.0,male
2020-07-24,7.0,male
2020-07-25,5.0,male
2020-07-26,2.0,male
2020-07-27,7.0,male
2020-07-28,10.0,male
2020-07-29,9.0,male
2020-07-30,7.0,male
