Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Andorra la Vella,05/16/2021,51.9,71.3,60.0,48.2,66.59,,13.9,32.2,221.63,,0.96,29.17,,10.5,45.4,1011.8,"Drizzle, Rain, Light Rain",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/17/2021,46.4,67.6,54.7,40.1,59.3,,15.8,28.9,223.88,44.7,0.0,0.0,0.0,11.0,23.0,1018.8,Rain,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Clear
Andorra la Vella,05/18/2021,41.1,65.4,52.4,41.9,69.06,,11.7,22.6,188.5,39.5,1.59,8.33,,12.1,40.9,1019.2,Light Rain,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/19/2021,41.8,61.1,51.7,40.3,66.35,,13.9,25.3,206.79,42.3,0.0,0.0,,12.3,23.7,1025.3,,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Clear
Andorra la Vella,05/20/2021,38.2,73.1,54.4,41.5,65.02,,11.9,18.0,160.96,49.2,0.39,4.17,0.0,10.6,12.5,1023.8,,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Rain
Andorra la Vella,05/21/2021,46.4,72.6,58.1,44.8,63.61,,10.2,20.6,198.58,45.9,0.55,12.5,,10.5,25.7,1016.8,"Light Drizzle, Light Rain",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/22/2021,47.8,65.1,54.9,43.5,67.82,,10.7,20.4,223.7,45.5,0.42,12.5,,10.5,32.2,1016.6,"Mist, Rain, Light Rain",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/23/2021,42.5,57.1,48.9,40.0,71.99,,6.7,11.4,182.75,39.5,0.02,16.67,0.0,10.6,45.3,1020.2,"Rain, Rain Showers, Light Rain",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/24/2021,42.3,66.5,53.5,41.0,65.27,,18.1,23.0,209.08,41.2,0.81,8.33,,10.5,25.4,1018.5,Light Rain,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/25/2021,39.8,63.1,51.1,39.0,65.22,,12.8,18.7,185.17,40.4,0.0,0.0,,11.4,27.9,1026.5,,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Partially cloudy
Andorra la Vella,05/26/2021,42.4,66.8,52.7,42.9,71.28,,8.9,18.7,164.36,45.2,0.82,8.33,,12.0,12.0,1022.0,Rain Showers,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Rain
Andorra la Vella,05/27/2021,42.6,78.4,57.9,44.6,65.72,,7.5,12.9,160.75,40.7,0.31,8.33,0.39,10.7,10.2,1019.0,Rain,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,Rain
Andorra la Vella,05/28/2021,50.4,76.4,61.3,48.5,66.53,,7.6,14.3,145.04,,2.36,4.17,,10.6,29.0,1017.6,,42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/29/2021,49.7,72.8,59.7,49.5,70.84,,12.2,18.3,187.96,,0.73,20.83,,10.6,32.2,1020.5,"Rain, Rain Showers",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
Andorra la Vella,05/30/2021,51.0,71.0,58.7,52.7,82.04,,16.8,20.4,198.22,,0.54,41.67,0.39,10.0,34.2,1019.2,"Rain, Fog, Rain Showers, Light Rain",42.5051,1.52605,"Andorra la Vella, Andorra","Andorra la Vella, Andorra",,"Rain, Partially cloudy"
