Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Tirana,05/16/2021,59.0,75.0,65.5,54.4,69.64,,9.2,,180.41,,0.0,0.0,,6.8,68.7,1012.1,Drizzle,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/17/2021,60.8,78.5,69.6,53.4,58.62,,15.0,,191.45,,0.0,0.0,,6.7,88.8,1009.5,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Overcast
Tirana,05/18/2021,57.2,76.5,67.6,55.2,68.47,,8.2,21.9,207.3,,0.08,4.17,,6.3,45.9,1012.7,"Mist, Rain, Light Rain",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,05/19/2021,50.0,76.7,65.4,48.8,58.6,,13.7,21.9,191.1,,0.0,0.0,,7.3,32.0,1012.8,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/20/2021,55.4,68.0,62.1,51.7,70.68,,15.8,19.7,214.48,,0.83,16.67,,6.2,75.8,1011.9,"Lightning Without Thunder, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Overcast"
Tirana,05/21/2021,46.4,73.3,60.9,47.6,65.32,,12.6,,223.67,,0.01,4.17,,7.2,7.8,1017.6,Sky Coverage Decreasing,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Rain
Tirana,05/22/2021,50.0,78.8,65.2,46.7,56.39,,12.6,,191.67,,0.0,0.0,,7.4,11.3,1018.9,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/23/2021,50.0,81.9,67.4,49.9,56.85,80.6,9.2,,236.16,,0.0,0.0,,7.2,9.0,1018.7,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/24/2021,55.4,88.3,72.4,55.7,59.25,89.6,10.3,,194.58,,0.0,0.0,,7.3,2.1,1018.2,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/25/2021,59.0,86.7,74.2,56.3,59.1,84.4,11.3,,231.43,,0.0,0.0,,7.4,6.2,1017.0,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
