Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Tirana,05/16/2020,59.0,90.1,73.8,59.5,64.08,91.1,9.2,,189.77,,0.0,0.0,,6.5,31.8,1013.0,Smoke Or Haze,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/17/2020,60.8,94.5,76.6,58.4,58.62,90.8,13.9,,198.41,,0.0,0.0,,6.9,29.6,1012.5,Smoke Or Haze,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/18/2020,62.6,84.3,74.2,61.3,65.68,87.5,9.1,,202.81,,0.0,0.0,,6.0,68.8,1011.9,Smoke Or Haze,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/19/2020,64.4,88.3,76.1,63.7,67.42,91.0,8.1,,212.29,,0.0,0.0,,6.0,36.6,1009.1,Smoke Or Haze,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/20/2020,68.0,79.6,73.9,62.9,69.1,,13.7,,186.95,,0.0,0.0,,6.0,58.9,1004.2,"Mist, Light Rain, Smoke Or Haze",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/21/2020,61.2,75.3,66.9,55.0,69.73,,15.8,25.3,236.09,,0.75,8.33,,6.0,64.5,1005.4,"Mist, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,05/22/2020,50.0,78.5,66.0,43.2,49.68,,19.7,,261.79,,0.0,0.0,,7.3,2.0,1014.6,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/23/2020,50.0,79.4,66.7,48.7,55.58,,9.2,,216.24,,0.0,0.0,,6.8,4.0,1019.4,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/24/2020,55.4,82.2,69.9,54.7,60.83,81.0,9.0,,201.18,,0.0,0.0,,7.2,42.3,1018.4,Lightning Without Thunder,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/25/2020,55.4,79.3,67.9,50.9,60.75,,20.8,,257.05,,0.0,0.0,,7.4,21.2,1016.7,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/26/2020,50.0,72.7,61.2,48.2,65.27,,10.3,,198.9,,0.1,8.33,,6.7,46.7,1015.9,"Rain, Thunderstorm, Light Rain, Sky Coverage Decreasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,05/27/2020,48.2,75.3,63.1,45.2,56.86,,17.2,,252.45,47.3,0.0,0.0,,6.7,19.0,1016.6,"Thunderstorm Without Precipitation, Sky Coverage Decreasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,05/28/2020,51.8,75.3,63.9,48.8,60.86,,17.2,,216.82,,0.0,0.0,,6.9,31.0,1016.1,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
Tirana,05/29/2020,51.8,76.1,64.9,49.5,60.63,,12.8,,233.14,,0.31,4.17,,6.6,43.8,1014.2,"Light Rain, Sky Coverage Decreasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,05/30/2020,51.8,71.6,63.2,51.7,67.31,,10.3,,233.32,,0.03,4.17,,6.7,48.4,1012.7,"Lightning Without Thunder, Thunderstorm, Light Rain, Sky Coverage Increasing, Sky Unchanged",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,05/31/2020,55.4,69.7,61.8,54.9,79.44,,9.2,,161.33,,0.53,16.67,,6.6,77.0,1011.1,"Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Overcast"
Tirana,06/01/2020,55.4,70.0,62.7,52.1,71.35,,12.8,,226.86,,0.32,12.5,,6.1,53.8,1010.0,"Mist, Rain, Light Rain, Sky Unchanged",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,06/02/2020,50.0,75.3,64.5,50.8,64.81,,10.3,,188.0,,0.0,0.0,,6.6,8.5,1007.7,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,06/03/2020,53.6,76.6,66.5,50.3,60.46,,10.3,,243.48,,0.0,0.0,,7.2,19.8,1006.1,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,06/04/2020,53.6,82.0,69.4,49.7,52.77,80.3,13.9,19.7,186.38,,0.0,0.0,,7.1,17.8,1007.3,,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Clear
Tirana,06/05/2020,55.4,78.8,67.1,53.0,63.69,,13.6,,196.91,,0.05,8.33,,6.7,65.0,1005.1,"Rain, Light Rain, Sky Coverage Increasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,06/06/2020,60.8,78.5,67.6,58.5,74.55,,19.7,31.1,197.86,,0.99,12.5,,6.2,73.2,1002.5,"Lightning Without Thunder, Light Drizzle, Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,06/07/2020,59.0,80.5,69.8,58.4,69.84,80.1,12.8,,204.96,,0.01,4.17,,7.1,43.0,1006.9,"Light Rain, Sky Coverage Decreasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,06/08/2020,59.0,82.8,69.5,60.5,75.13,82.4,5.8,,180.35,,0.01,4.17,,6.5,39.8,1007.2,"Mist, Rain, Sky Coverage Decreasing",41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,"Rain, Partially cloudy"
Tirana,06/09/2020,59.0,82.7,71.8,59.2,67.61,83.0,8.1,,197.16,,0.0,0.0,,6.8,28.8,1005.8,Mist,41.3223,19.8252,"Tiranë, Shqipëria","Tiranë, Shqipëria",,Partially cloudy
