Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Vienna,05/16/2021,52.8,71.7,60.3,45.6,61.1,,17.9,38.0,233.79,,0.17,29.17,,24.7,3.6,1006.1,"Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/17/2021,54.2,60.2,56.2,48.5,75.6,,15.7,35.8,262.58,,0.72,62.5,,12.4,4.4,1005.4,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/18/2021,52.4,61.4,56.8,45.7,66.69,,17.9,35.8,277.08,,0.18,25.0,,21.7,0.1,1011.5,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/19/2021,53.0,61.1,55.9,45.2,67.66,,15.6,31.0,289.17,,0.2,29.17,,17.8,0.3,1013.4,"Precipitation In Vicinity, Rain, Thunderstorm, Rain Showers, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/20/2021,51.5,61.8,56.5,44.7,65.16,,17.9,33.6,290.83,,0.5,33.33,,19.3,0.2,1017.5,"Lightning Without Thunder, Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/21/2021,49.2,72.8,62.0,42.3,51.29,,13.4,,205.0,47.0,0.02,4.17,,28.7,0.2,1014.1,Sky Coverage Increasing,48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/22/2021,52.4,61.8,57.7,45.6,64.24,,15.7,35.8,232.08,,0.08,20.83,,20.8,0.2,1011.4,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/23/2021,53.0,58.2,54.8,46.1,72.57,,15.6,29.1,250.42,,0.42,37.5,,17.3,0.2,1016.7,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/24/2021,46.5,62.0,53.8,46.1,76.23,,15.7,33.6,165.96,45.1,0.63,29.17,,15.9,0.3,1019.5,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/25/2021,51.0,57.8,55.7,43.5,65.05,,17.9,35.8,246.29,,0.29,37.5,,20.4,0.2,1017.7,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/26/2021,43.4,70.4,59.1,38.8,51.11,,20.1,35.8,201.63,39.4,0.0,0.0,,26.7,0.1,1018.1,,48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Clear
Vienna,05/27/2021,51.9,62.0,57.9,45.1,62.39,,11.2,31.3,273.09,,0.04,16.67,,19.6,0.3,1017.6,"Rain, Rain Showers, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/28/2021,52.1,64.5,58.2,44.2,60.34,,13.4,,290.38,,0.0,0.0,,24.2,3.7,1020.3,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Clear
Vienna,05/29/2021,54.2,65.0,59.1,42.2,54.45,,13.4,,305.04,,0.08,8.33,,27.2,0.1,1020.8,"Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/30/2021,53.0,59.1,55.8,42.5,61.0,,13.4,,310.83,,0.03,12.5,,17.5,0.2,1022.6,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Unchanged",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,05/31/2021,53.0,66.3,60.1,41.8,51.99,,13.4,,305.42,,0.01,8.33,,21.6,0.2,1021.0,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Rain
Vienna,06/01/2021,55.5,69.0,62.8,37.5,40.02,,8.9,,234.58,,0.0,0.0,,32.9,0.1,1018.8,,48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Clear
Vienna,06/02/2021,53.7,75.5,65.1,42.0,45.35,,11.2,,147.04,,0.0,0.0,,26.6,0.1,1019.3,"Rain, Rain Showers",48.2026,16.3684,"Wien, Österreich","Wien, Österreich",,Clear
