Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"40.379610,49.843607",05/16/2021,53.6,89.6,71.1,51.8,59.94,85.8,15.0,,142.05,,0.0,0.0,,5.9,3.3,1011.7,"Mist, Fog",40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/17/2021,59.0,80.6,69.8,57.2,67.96,80.8,20.8,,159.04,,0.0,0.0,,6.4,0.2,1007.9,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/18/2021,57.2,80.6,69.7,57.5,67.1,81.1,31.1,42.5,292.41,,0.0,0.0,,6.4,9.1,1006.6,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/19/2021,62.6,82.4,73.6,57.5,58.55,82.9,25.3,,240.21,,0.0,0.0,,6.4,0.2,1008.6,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/20/2021,64.4,75.3,70.2,52.4,54.6,,27.7,39.1,233.27,,0.0,0.0,,6.0,9.1,1014.9,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/21/2021,60.8,80.7,69.6,57.0,66.1,80.5,20.8,,158.21,,0.0,0.0,,6.4,0.1,1012.7,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/22/2021,62.6,92.4,77.5,59.3,58.32,91.4,11.4,,165.79,,0.0,0.0,,6.4,0.1,1008.2,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/23/2021,64.4,78.8,72.2,59.5,64.85,,20.8,,325.42,,0.0,0.0,,6.4,21.1,1006.6,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/24/2021,66.2,77.0,71.5,62.5,73.77,,30.0,41.4,326.75,,0.0,0.0,,6.4,23.1,1011.8,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/25/2021,62.6,80.9,70.0,60.9,74.35,81.2,30.7,41.4,320.79,,0.0,0.0,,6.4,25.9,1012.4,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Partially cloudy
