Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"40.379610,49.843607",05/16/2020,60.3,75.2,65.8,59.7,81.51,,24.2,35.8,168.04,,0.0,0.0,,6.3,32.2,1012.2,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Partially cloudy
"40.379610,49.843607",05/17/2020,55.2,68.0,60.8,52.5,74.18,,46.1,57.5,316.75,,0.31,4.17,,6.3,55.1,1018.3,"Rain Showers, Light Rain, Sky Coverage Increasing",40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,"Rain, Partially cloudy"
"40.379610,49.843607",05/18/2020,50.0,66.2,59.8,49.7,70.36,,27.1,39.1,206.41,,0.0,0.0,,6.4,23.8,1018.3,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/19/2020,53.6,75.2,65.0,49.0,58.6,,11.4,,160.63,,0.0,0.0,,6.4,9.9,1018.4,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/20/2020,59.0,75.2,66.9,52.0,60.9,,20.8,,171.04,,0.0,0.0,,6.4,1.1,1017.5,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/21/2020,62.2,79.3,69.1,60.8,76.5,,25.3,,176.92,,0.0,0.0,,6.1,22.0,1010.2,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/22/2020,62.4,84.0,72.9,56.3,60.99,82.2,25.3,,181.46,,0.0,0.0,,5.5,16.9,1006.6,Mist,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/23/2020,57.2,89.5,69.6,57.1,66.99,86.6,40.3,63.3,240.21,,3.91,4.17,,6.3,26.1,1007.0,"Lightning Without Thunder, Thunderstorm, Sky Coverage Increasing",40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,"Rain, Partially cloudy"
"40.379610,49.843607",05/24/2020,57.1,65.7,60.5,49.5,67.71,,39.1,55.3,330.17,,0.0,0.0,,6.4,27.5,1018.5,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Partially cloudy
"40.379610,49.843607",05/25/2020,56.9,69.8,63.3,49.5,61.54,,30.0,36.9,289.63,,0.0,0.0,,6.4,18.8,1019.5,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/26/2020,58.9,72.2,65.2,52.8,65.26,,27.7,38.0,289.04,,0.0,0.0,,6.4,1.6,1016.5,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/27/2020,58.6,80.6,69.8,53.9,60.25,79.9,13.9,,191.79,,0.0,0.0,,6.4,0.0,1020.4,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/28/2020,59.0,78.8,69.0,57.0,68.79,,18.3,,153.08,,0.0,0.0,,6.3,4.3,1015.1,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/29/2020,63.4,79.5,71.0,60.2,71.11,,20.8,,165.21,,0.0,0.0,,6.4,11.5,1008.9,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/30/2020,65.9,75.2,70.7,58.6,66.62,,40.3,55.3,269.04,,0.0,0.0,,6.4,7.9,1008.8,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",05/31/2020,66.2,75.4,71.5,55.6,57.69,,35.8,48.3,328.21,,0.0,0.0,,6.4,4.4,1013.0,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/01/2020,62.6,84.2,72.4,53.2,52.58,83.1,20.8,,263.17,,0.0,0.0,,6.4,0.3,1010.4,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/02/2020,64.4,80.6,73.1,58.6,62.02,80.8,20.8,,175.04,,0.0,0.0,,6.4,1.8,1005.9,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/03/2020,64.4,93.2,76.7,58.9,56.43,95.2,23.0,,247.43,,0.0,0.0,,6.4,14.2,1001.9,Thunderstorm Without Precipitation,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/04/2020,64.4,77.0,70.8,59.9,69.2,,35.8,47.2,330.25,,0.0,0.0,,6.3,0.2,1009.8,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/05/2020,62.6,78.8,70.7,59.2,68.26,,36.7,48.3,321.13,,0.0,0.0,,6.4,0.3,1013.3,,40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,Clear
"40.379610,49.843607",06/06/2020,67.9,80.8,73.0,57.8,60.03,80.8,27.7,39.1,321.17,,4.0,8.33,,6.3,26.1,1018.3,"Thunderstorm, Rain Showers, Sky Coverage Increasing",40.37961,49.843607,"40.379610,49.843607","40.379610,49.843607",,"Rain, Partially cloudy"
