Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Sarajevo,05/16/2021,51.5,67.3,58.7,46.7,67.9,,6.7,,222.61,,0.13,12.5,19.29,10.6,57.4,1008.5,"Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/17/2021,53.7,72.2,60.4,46.9,63.66,,9.0,,225.0,,0.55,12.5,17.72,10.1,56.6,1005.5,"Rain, Thunderstorm, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/18/2021,43.8,70.9,58.0,39.8,55.72,,9.0,,230.42,43.6,0.0,0.0,13.78,10.2,22.5,1011.7,"Mist, Fog",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Clear
Sarajevo,05/19/2021,47.9,66.8,55.1,45.5,72.35,,11.2,,175.33,46.1,0.21,12.5,10.63,10.2,57.5,1009.9,"Rain, Thunderstorm, Thunderstorm Without Precipitation, Fog, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/20/2021,45.7,49.7,47.5,42.8,83.92,,6.8,,275.0,44.4,0.55,16.67,10.24,7.0,66.2,1014.0,"Light Snow, Rain, Fog, Light Rain, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/21/2021,41.3,73.6,56.8,38.5,59.33,,23.5,,212.38,32.3,0.07,8.33,9.84,9.8,22.9,1018.0,"Mist, Fog, Light Rain, Sky Coverage Decreasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Rain
Sarajevo,05/22/2021,47.5,75.2,61.8,37.0,44.14,,11.2,,187.79,45.6,0.0,0.0,7.87,10.5,52.9,1014.6,,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Partially cloudy
Sarajevo,05/23/2021,50.1,81.2,67.8,40.6,41.1,79.5,11.2,,243.48,,0.0,0.0,7.09,11.0,28.3,1013.8,,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Partially cloudy
Sarajevo,05/24/2021,55.7,87.1,69.3,50.4,54.74,84.6,11.2,,198.33,,0.03,4.17,6.3,11.1,47.1,1016.8,"Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/25/2021,64.5,83.0,74.4,48.3,42.03,81.2,6.8,,260.0,,0.0,0.0,5.91,10.0,14.6,1012.5,"Rain, Fog",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Clear
Sarajevo,05/26/2021,51.5,78.1,63.4,43.0,49.42,,11.2,,208.42,,0.05,4.17,5.51,11.0,36.3,1016.8,,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/27/2021,51.5,80.3,63.9,48.6,60.85,79.4,15.7,,185.54,,0.24,4.17,5.12,10.7,47.5,1012.4,"Thunderstorm, Thunderstorm Without Precipitation, Fog, Sky Coverage Decreasing, Sky Unchanged",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/28/2021,49.4,62.8,55.0,47.0,76.3,,8.9,,230.0,48.2,0.32,12.5,4.72,9.1,62.8,1017.6,"Light Drizzle, Rain, Thunderstorm Without Precipitation, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/29/2021,42.9,71.6,59.0,42.6,59.23,,23.6,,143.22,39.5,0.0,0.0,3.94,9.7,37.5,1016.9,Fog,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Partially cloudy
Sarajevo,05/30/2021,47.0,57.5,52.2,45.3,77.96,,20.4,,216.33,41.5,0.16,12.5,4.33,8.4,64.1,1019.1,"Light Snow, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,05/31/2021,46.7,60.5,51.6,45.2,80.39,,4.5,,270.58,45.7,3.19,16.67,,9.5,63.6,1017.8,"Mist, Light Snow, Rain, Thunderstorm, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,06/01/2021,45.8,63.5,52.5,43.6,74.86,,11.0,,229.08,40.8,0.34,12.5,4.33,8.3,48.3,1017.0,"Mist, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
Sarajevo,06/02/2021,41.2,73.0,57.4,39.4,57.93,,6.7,,188.96,37.7,0.0,0.0,4.33,10.4,13.8,1019.2,Sky Coverage Increasing,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Clear
Sarajevo,06/03/2021,45.2,76.3,60.9,43.5,57.57,,11.1,,194.83,41.6,0.0,0.0,3.15,10.3,19.8,1022.0,,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Clear
Sarajevo,06/04/2021,46.5,80.2,63.6,44.5,55.11,79.2,8.9,,181.38,43.1,0.0,0.0,2.36,10.4,14.1,1022.8,,43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Clear
Sarajevo,06/05/2021,50.2,83.8,65.4,49.8,62.01,81.7,11.1,,182.88,,0.21,8.33,2.36,10.2,22.9,1019.3,"Lightning Without Thunder, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,Rain
Sarajevo,06/06/2021,53.3,78.9,64.3,55.0,75.76,,11.1,,185.67,,0.36,12.5,,8.4,52.0,1016.3,"Mist, Thunderstorm, Rain, Thunderstorm Without Precipitation, Fog, Heavy Rain, Light Rain",43.8595,18.4358,"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina","Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",,"Rain, Partially cloudy"
