Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Brussels,05/16/2021,46.7,59.4,52.3,45.3,77.57,,11.4,29.2,211.83,43.2,0.45,20.83,,14.8,66.1,1001.6,"Precipitation In Vicinity, Rain Showers, Light Rain",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/17/2021,49.4,57.9,52.0,47.0,83.74,,14.3,29.2,236.83,44.8,0.99,33.33,0.0,11.7,87.2,1004.3,"Drizzle, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/18/2021,48.7,60.9,53.5,44.8,75.09,,14.3,32.8,241.21,45.9,0.3,12.5,0.0,17.8,74.7,1013.3,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/19/2021,45.1,57.6,50.7,45.0,81.32,,9.0,33.3,230.71,41.4,0.92,25.0,0.0,21.3,71.8,1017.4,"Precipitation In Vicinity, Rain, Thunderstorm, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/20/2021,42.5,58.0,52.1,43.6,74.75,,15.2,29.0,209.38,39.8,0.0,0.0,0.0,14.4,50.2,1018.9,"Mist, Rain, Fog, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,05/21/2021,51.0,61.5,56.2,41.7,59.09,,22.5,46.9,215.71,,0.02,12.5,0.0,19.4,64.3,1005.0,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/22/2021,49.3,52.9,50.5,44.9,81.17,,22.2,44.7,220.21,42.5,0.78,29.17,,10.6,86.8,1004.3,"Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/23/2021,45.4,59.1,52.8,42.0,68.85,,15.3,31.3,212.42,39.8,0.2,8.33,,13.7,74.6,1012.7,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/24/2021,45.5,59.8,52.2,44.7,76.69,,18.4,42.1,185.67,41.7,0.92,33.33,,14.0,91.3,1008.1,"Drizzle, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/25/2021,44.7,54.4,49.5,44.1,82.05,,12.7,38.0,237.08,39.9,0.98,29.17,0.0,16.2,87.1,1013.1,"Light Drizzle, Precipitation In Vicinity, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/26/2021,46.0,56.9,51.8,43.6,74.63,,14.2,31.4,247.58,42.8,0.18,16.67,0.0,18.6,81.1,1013.6,"Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/27/2021,49.5,58.4,53.3,46.3,77.72,,13.9,22.4,288.38,46.9,0.01,8.33,0.0,16.5,83.4,1019.6,"Rain Showers, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/28/2021,43.1,64.9,54.3,43.8,70.45,,6.8,15.7,82.17,40.9,0.0,0.0,0.0,12.1,56.8,1024.0,"Mist, Duststorm, Fog",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,05/29/2021,49.8,67.9,59.7,43.8,57.39,,10.7,20.1,51.75,47.4,0.0,0.0,,18.9,23.3,1025.3,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/30/2021,48.7,70.6,60.5,45.6,62.02,,9.1,20.1,57.5,46.0,0.0,0.0,,14.0,7.5,1026.2,"Mist, Fog",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/31/2021,52.0,73.2,64.2,45.1,52.11,,9.0,22.3,80.38,,0.0,0.0,0.0,18.4,3.5,1021.6,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,06/01/2021,52.8,76.7,66.2,44.8,49.21,,10.9,25.1,100.42,,0.0,0.0,0.0,12.9,0.1,1016.1,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,06/02/2021,52.6,81.4,68.7,49.2,52.01,80.5,9.3,22.0,120.92,,0.0,0.0,,12.9,29.2,1013.8,"Thunderstorm, Thunderstorm Without Precipitation, Light Rain",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,06/03/2021,62.0,76.4,69.2,59.4,72.07,,8.5,15.9,212.92,,0.21,8.33,0.0,9.7,64.6,1018.6,"Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/04/2021,59.4,76.2,66.3,58.0,75.65,,13.5,29.2,113.92,,2.12,29.17,0.0,8.3,60.1,1020.5,"Mist, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/05/2021,56.0,62.3,58.1,55.3,90.39,,9.4,17.9,288.63,,0.17,12.5,,4.2,95.3,1022.3,"Drizzle, Mist, Light Drizzle, Fog, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,06/06/2021,50.1,70.2,60.9,49.4,68.74,,8.9,15.7,281.92,,0.0,0.0,,9.0,25.1,1024.5,Mist,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,06/07/2021,52.9,71.7,63.3,49.3,61.63,,8.2,17.8,70.5,,0.0,0.0,0.0,12.8,9.9,1023.8,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,06/08/2021,54.8,75.7,66.4,53.2,64.87,,7.6,15.6,134.92,,0.0,0.0,0.0,13.0,29.3,1023.0,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,06/09/2021,55.1,76.2,66.8,51.9,61.16,,6.6,15.8,275.83,,0.02,4.17,0.0,9.1,18.2,1022.3,Mist,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,06/10/2021,57.1,76.9,67.9,53.2,61.14,,7.8,15.7,223.83,,0.02,4.17,0.0,10.3,15.5,1021.5,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,06/11/2021,57.1,75.8,67.6,57.5,71.56,,8.3,17.9,245.88,,0.02,4.17,0.0,15.2,17.7,1020.4,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,06/12/2021,58.3,70.4,63.6,54.3,73.52,,11.1,22.4,269.79,,0.04,8.33,,12.5,60.1,1022.3,"Drizzle, Mist, Light Drizzle, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/13/2021,50.4,73.3,62.9,46.5,57.19,,6.2,20.1,113.42,,0.02,4.17,,13.9,1.5,1027.2,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,06/14/2021,54.9,81.1,69.6,50.0,52.42,80.3,8.4,17.9,211.75,,0.01,4.17,0.0,13.1,4.3,1021.3,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,06/15/2021,60.7,76.6,69.2,55.6,63.01,,7.9,17.8,70.08,,0.02,4.17,0.0,11.3,52.1,1020.0,Mist,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/16/2021,61.4,84.0,73.5,56.2,56.04,83.7,7.3,15.7,145.13,,0.0,0.0,0.0,13.1,26.2,1014.0,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Partially cloudy
Brussels,06/17/2021,69.7,82.2,76.2,61.4,60.67,83.1,14.6,26.8,198.21,,0.02,4.17,,13.7,51.1,1010.5,"Precipitation In Vicinity, Rain Showers",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/18/2021,66.3,84.9,75.2,64.0,70.52,85.6,15.1,28.9,143.63,,0.78,20.83,0.39,9.9,49.7,1011.9,"Lightning Without Thunder, Mist, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/19/2021,62.9,71.8,66.8,59.5,77.52,,10.7,24.7,198.38,,0.03,4.17,,11.6,70.2,1013.5,"Rain Showers, Light Rain, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,06/20/2021,61.8,74.3,67.9,58.6,74.01,,11.0,22.4,212.0,,0.48,12.5,,9.0,73.2,1008.1,"Mist, Rain Showers, Light Rain, Sky Coverage Decreasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
