Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Brussels,05/16/2020,40.8,61.8,52.1,37.7,60.52,,12.0,22.3,216.17,38.3,0.01,8.33,,24.8,23.0,1023.2,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,05/17/2020,40.4,66.9,55.0,38.7,57.93,,8.4,20.1,250.88,37.7,0.01,8.33,,27.3,13.3,1024.0,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Rain
Brussels,05/18/2020,48.1,73.4,60.3,41.3,53.93,,9.3,20.1,234.46,45.3,0.0,0.0,,27.1,16.1,1023.5,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/19/2020,48.5,74.0,61.6,42.8,51.01,,10.8,17.9,269.46,46.5,0.0,0.0,,24.2,14.3,1022.4,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/20/2020,51.9,74.9,64.4,50.3,62.3,,10.2,17.9,60.42,,0.0,0.0,0.0,17.5,10.2,1022.2,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/21/2020,53.2,80.9,68.2,50.6,56.49,80.0,4.5,13.4,158.67,,0.0,0.0,,13.9,19.8,1020.2,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,Clear
Brussels,05/22/2020,60.3,75.6,67.1,53.1,61.59,,14.3,29.1,210.17,,0.04,16.67,,17.6,78.6,1017.9,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Overcast"
Brussels,05/23/2020,54.8,65.2,59.3,40.0,49.99,,17.0,38.0,245.71,,0.04,8.33,,14.9,62.7,1023.2,"Rain Showers, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/24/2020,49.0,63.4,56.5,46.6,70.35,,11.7,31.3,260.17,46.2,0.02,12.5,,15.3,66.9,1029.4,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
Brussels,05/25/2020,52.9,71.0,62.2,48.7,63.73,,10.7,17.9,281.29,,0.01,8.33,0.0,15.4,42.8,1033.5,,50.8444,4.35609,"Brussels, Belgium","Brussels, Belgium",,"Rain, Partially cloudy"
