Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Sofia,05/16/2021,51.4,64.4,55.2,51.2,86.99,,27.7,,189.0,,0.46,16.67,,6.5,79.9,1009.5,"Snow Showers, Light Snow, Thunderstorm, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,05/17/2021,43.7,60.8,53.1,50.6,91.5,,7.2,58.8,143.83,41.5,0.2,8.33,,5.8,71.1,1009.2,"Mist, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/18/2021,50.0,66.2,57.3,44.7,66.68,,18.3,44.7,282.25,,0.13,8.33,,7.1,47.9,1011.2,"Snow Showers, Mist, Precipitation In Vicinity, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/19/2021,42.8,77.0,58.9,41.8,58.84,,9.3,,152.45,40.0,0.0,0.0,,8.0,15.9,1011.6,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Clear
Sofia,05/20/2021,51.8,62.6,56.1,45.7,69.15,,16.1,,287.0,,0.25,13.64,,7.1,84.1,1009.3,"Lightning Without Thunder, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,05/21/2021,47.6,62.6,53.7,45.0,73.64,,16.1,,268.92,42.9,0.09,12.5,,6.6,75.4,1016.2,"Light Snow, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,05/22/2021,42.8,73.4,57.8,44.5,66.08,,6.9,,158.3,40.0,0.0,0.0,,7.5,16.3,1018.4,"Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Clear
Sofia,05/23/2021,48.2,84.2,65.2,48.5,58.55,82.5,18.6,89.5,139.95,,0.0,0.0,,8.2,14.0,1017.2,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Clear
Sofia,05/24/2021,57.2,80.6,68.0,51.7,58.14,79.7,12.2,,193.06,,0.0,0.0,,7.7,14.7,1021.0,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Clear
Sofia,05/25/2021,59.0,77.0,67.6,56.3,67.59,,23.0,76.1,110.38,,0.0,0.0,,7.3,20.5,1019.7,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",42.6972,23.3243,"София, България","София, България",,Clear
Sofia,05/26/2021,57.2,75.2,65.1,57.0,76.47,,12.8,,207.55,,0.52,12.5,,6.4,63.2,1017.1,"Hail Showers, Mist, Thunderstorm, Thunderstorm Without Precipitation, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/27/2021,59.0,77.0,64.4,56.2,76.06,,20.0,,124.5,,0.58,12.5,,6.7,57.9,1014.0,"Hail Showers, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/28/2021,53.6,64.4,57.0,51.7,83.04,,22.0,44.7,256.71,,0.29,16.67,0.0,6.5,66.3,1014.8,"Snow Showers, Precipitation In Vicinity, Thunderstorm, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/29/2021,52.1,71.6,61.1,45.7,58.7,,15.0,44.7,280.17,,0.0,0.0,,7.6,41.6,1016.3,"Fog, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Partially cloudy
Sofia,05/30/2021,49.8,66.2,57.0,45.0,65.59,,16.1,,288.04,45.9,0.03,4.17,,7.3,60.3,1016.7,"Snow Showers, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,05/31/2021,48.2,60.8,53.6,45.4,75.48,,9.2,,286.7,44.6,0.35,12.5,0.0,6.8,87.5,1014.9,"Snow Showers, Mist, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,06/01/2021,46.4,59.0,50.9,44.8,79.92,,18.3,,287.83,42.4,0.37,12.5,,6.5,83.9,1013.8,"Snow Showers, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,06/02/2021,46.4,64.4,55.2,46.6,74.47,,22.2,,275.76,43.3,0.33,8.33,,6.7,81.0,1018.6,"Snow Showers, Light Drizzle, Fog, Light Rain, Sky Coverage Decreasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Overcast"
Sofia,06/03/2021,41.0,68.0,56.4,43.6,65.67,,16.5,,275.9,37.6,0.0,0.0,,7.5,45.5,1021.9,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Partially cloudy
Sofia,06/04/2021,53.5,71.6,61.3,46.9,60.58,,15.0,,186.67,,0.0,0.0,,7.6,72.6,1023.9,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Partially cloudy
Sofia,06/05/2021,47.3,77.0,62.8,47.7,62.84,,9.9,,140.0,,0.0,0.0,,7.9,28.6,1021.7,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,Partially cloudy
Sofia,06/06/2021,49.6,78.8,64.8,51.6,65.3,,11.4,,175.77,48.0,0.02,8.33,,7.4,37.2,1017.2,"Precipitation In Vicinity, Thunderstorm, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/07/2021,59.0,69.8,63.8,57.2,80.11,,6.9,,184.4,,0.6,12.5,,6.5,57.0,1017.4,"Precipitation In Vicinity, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/08/2021,52.9,75.2,62.5,54.9,78.73,,12.8,,194.0,,0.41,12.5,0.0,5.4,59.7,1016.4,"Hail Showers, Mist, Precipitation In Vicinity, Thunderstorm, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/09/2021,52.8,77.0,62.9,54.4,76.59,,10.3,,201.16,,0.08,8.33,,5.8,51.2,1015.2,"Mist, Thunderstorm Without Precipitation, Rain Showers, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/10/2021,51.2,75.2,63.2,54.0,74.35,,10.3,,193.0,,0.14,12.5,,7.4,35.6,1014.7,"Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/11/2021,49.7,75.2,61.8,52.7,74.14,,11.4,,194.42,,0.06,8.33,,7.5,40.0,1015.2,"Snow Showers, Mist, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/12/2021,51.1,73.4,62.3,53.2,74.26,,13.9,,267.79,,0.2,12.5,,7.3,50.3,1016.1,"Snow Showers, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/13/2021,50.7,67.0,59.1,53.4,82.5,,21.9,33.3,206.41,,0.05,8.33,,5.9,59.2,1015.9,"Mist, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/14/2021,53.6,64.4,57.4,46.6,67.55,,12.8,62.6,265.17,,0.36,16.67,,6.9,67.5,1015.3,"Snow Showers, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain, Snow",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
Sofia,06/15/2021,48.2,68.0,58.1,47.2,68.91,,13.9,,284.42,44.1,0.14,8.33,,7.1,69.1,1015.6,"Rain Showers, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",42.6972,23.3243,"София, България","София, България",,"Rain, Partially cloudy"
