Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Bern,05/16/2020,41.7,62.6,52.0,44.4,77.11,,11.4,21.0,33.13,40.5,0.0,0.0,,4.3,0.2,1020.2,"Fog, Smoke Or Haze",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/17/2020,40.9,68.2,56.2,44.0,67.61,,11.7,22.9,39.58,41.8,0.0,0.0,,8.7,0.1,1020.4,"Mist, Smoke Or Haze",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/18/2020,44.7,72.4,59.1,44.3,61.77,,9.9,19.1,54.92,46.6,0.0,0.0,,9.9,0.0,1022.1,Mist,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/19/2020,48.9,73.2,60.9,48.2,65.78,,12.1,27.3,33.83,47.3,0.08,8.33,,9.5,0.1,1019.3,"Mist, Rain",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain
Bern,05/20/2020,50.2,73.4,62.7,48.4,62.68,,12.5,26.4,39.42,,0.0,0.0,,11.2,0.1,1018.5,Sky Coverage Increasing,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/21/2020,47.5,76.1,63.6,47.9,60.5,,11.7,21.2,45.0,,0.0,0.0,,11.8,0.0,1019.9,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/22/2020,50.2,78.9,64.4,51.7,65.73,,7.4,14.3,188.88,,0.0,0.0,,10.8,0.2,1022.3,Mist,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/23/2020,47.6,72.4,58.6,52.3,80.41,,12.0,35.4,206.57,,0.5,47.83,,5.0,0.3,1025.3,"Mist, Precipitation In Vicinity, Light Rain",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain
Bern,05/24/2020,41.6,64.4,53.3,42.5,70.85,,6.0,13.2,149.33,42.1,0.0,0.0,,11.6,0.2,1032.3,Sky Coverage Decreasing,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/25/2020,45.0,67.2,56.8,44.7,65.99,,12.6,26.0,43.92,42.1,0.0,0.0,,10.6,0.1,1031.1,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/26/2020,47.8,68.9,59.0,43.7,59.2,,13.8,26.9,39.17,45.3,0.0,0.0,,10.1,0.1,1030.6,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/27/2020,46.5,69.3,58.5,41.3,56.03,,12.3,21.1,34.92,42.6,0.0,0.0,,10.6,0.0,1030.1,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/28/2020,44.2,70.9,59.2,43.4,59.06,,11.6,24.5,33.92,,0.0,0.0,,9.3,0.1,1026.6,Smoke Or Haze,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/29/2020,46.5,66.3,58.0,40.4,53.64,,14.9,33.5,49.13,42.6,0.0,0.0,,9.3,0.0,1021.5,Mist,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/30/2020,47.1,66.9,57.3,42.0,58.5,,12.4,22.7,61.63,44.4,0.0,0.0,,8.5,0.1,1018.3,"Mist, Smoke Or Haze",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,05/31/2020,43.9,69.1,57.8,41.5,56.86,,11.0,22.0,43.38,42.3,0.0,0.0,,11.2,0.0,1017.0,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,06/01/2020,42.7,74.4,60.5,43.9,57.2,,9.4,21.0,97.33,45.2,0.0,0.0,,12.4,0.0,1017.4,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,06/02/2020,48.3,76.2,63.3,45.3,56.45,,8.4,17.2,110.46,,0.0,0.0,,11.5,0.1,1015.3,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Clear
Bern,06/03/2020,49.4,77.2,61.5,48.4,65.05,,13.2,32.4,228.0,,0.08,25.0,,8.1,0.2,1007.7,Light Rain,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain
