Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Nicosia,05/16/2021,55.5,85.2,70.7,49.1,50.32,82.5,15.9,,239.04,,0.0,0.0,0.0,6.2,28.9,1010.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,05/17/2021,61.8,83.8,71.9,53.3,57.49,81.7,12.7,,231.08,,0.0,0.0,0.0,6.2,11.3,1010.7,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/18/2021,54.5,87.6,72.1,54.7,58.6,86.1,13.7,,191.83,,0.0,0.0,,6.2,9.3,1014.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/19/2021,62.0,89.9,74.7,57.4,59.7,87.3,11.1,,213.75,,0.0,0.0,0.0,6.2,6.3,1014.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/20/2021,62.4,95.9,76.0,53.2,55.35,91.7,10.6,,220.79,,0.0,0.0,,5.6,10.1,1012.5,"Mist, Fog, Sky Coverage Decreasing",35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/21/2021,63.6,89.4,74.5,51.9,53.15,85.8,18.0,,244.04,,0.0,0.0,0.0,6.1,8.2,1011.4,Mist,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/22/2021,62.1,80.3,71.7,51.2,50.52,80.2,21.6,,258.67,,0.0,0.0,0.0,6.2,8.7,1011.7,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/23/2021,58.4,82.7,73.0,43.9,38.49,80.3,16.2,,279.17,,0.0,0.0,,6.2,5.4,1013.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/24/2021,66.9,89.6,78.4,44.9,34.35,85.7,15.7,,228.96,,0.0,0.0,0.0,6.2,3.6,1013.8,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/25/2021,69.7,95.3,82.4,45.1,31.85,90.8,14.8,,247.29,,0.0,0.0,,6.2,14.4,1013.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/26/2021,68.6,97.7,82.5,44.6,30.86,93.5,12.9,,223.38,,0.0,0.0,0.0,6.2,0.4,1011.1,Fog,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/27/2021,58.8,95.3,77.8,55.0,52.2,90.9,14.6,,185.29,,0.0,0.0,0.0,6.2,2.6,1010.3,"Mist, Fog, Sky Coverage Decreasing",35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/28/2021,59.8,89.3,74.7,60.1,63.78,88.1,19.1,,215.29,,0.0,0.0,0.0,6.2,19.4,1010.3,"Mist, Fog",35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/29/2021,59.2,87.2,74.5,55.7,55.03,85.1,15.0,,222.71,,0.0,0.0,0.0,6.2,19.0,1011.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/30/2021,58.7,88.3,74.4,57.8,59.6,86.3,14.3,,186.25,,0.0,0.0,0.0,6.2,19.7,1014.1,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/31/2021,66.3,89.9,75.5,57.2,60.04,86.6,18.1,,138.83,,0.0,0.0,0.0,6.1,23.8,1010.4,Mist,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/01/2021,63.1,86.6,74.6,51.9,49.12,83.7,21.4,,260.5,,0.0,0.0,0.0,6.2,17.3,1008.8,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/02/2021,59.1,83.6,72.7,52.7,52.75,81.2,20.3,,245.17,,0.0,0.0,,6.2,11.2,1012.2,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/03/2021,62.1,84.4,73.2,53.8,53.37,82.8,16.0,,195.38,,0.0,0.0,0.0,6.2,18.8,1014.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/04/2021,61.7,86.3,74.4,54.3,54.66,83.6,14.8,,202.67,,0.0,0.0,0.0,6.2,14.9,1014.2,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/05/2021,62.7,90.3,76.6,49.2,44.2,86.5,10.7,,227.79,,0.0,0.0,0.0,6.2,12.0,1012.3,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/06/2021,63.8,89.2,76.7,47.9,43.36,85.5,11.8,,243.63,,0.0,0.0,0.0,6.2,1.8,1012.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/07/2021,64.0,92.5,76.8,46.2,40.13,88.2,14.8,,237.46,,0.0,0.0,0.0,6.2,9.3,1013.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/08/2021,59.0,93.9,78.2,47.2,37.13,90.1,11.0,,244.75,,0.0,0.0,0.0,6.2,0.0,1011.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/09/2021,64.0,90.0,79.8,49.1,36.57,86.9,11.5,,209.17,,0.0,0.0,0.0,6.2,13.3,1009.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/10/2021,58.6,85.7,74.9,55.4,53.01,83.9,16.0,,239.13,,0.0,0.0,,6.2,36.5,1008.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,06/11/2021,67.0,87.1,75.6,57.8,57.19,84.9,19.1,,265.33,,0.0,0.0,0.0,6.2,25.1,1010.3,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,06/12/2021,64.6,84.9,75.0,57.4,57.8,83.2,15.2,,257.79,,0.0,0.0,,6.2,16.2,1011.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/13/2021,64.1,90.5,76.7,57.3,55.78,87.8,15.9,,242.92,,0.0,0.0,,6.2,13.7,1010.5,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/14/2021,61.7,86.0,75.5,56.3,55.57,83.7,19.1,,248.71,,0.02,4.17,,6.2,22.2,1008.9,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Rain
Nicosia,06/15/2021,65.5,84.6,75.0,57.2,55.68,83.1,12.8,,252.75,,0.0,0.0,0.0,6.2,20.1,1010.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/16/2021,63.0,81.3,73.1,54.3,54.77,80.2,27.8,,261.79,,0.0,0.0,0.0,6.2,21.5,1010.3,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/17/2021,66.0,87.7,76.1,54.6,51.45,84.6,12.8,,252.04,,0.0,0.0,,6.2,8.6,1013.8,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/18/2021,64.3,93.1,77.7,54.9,51.83,89.2,16.8,,221.46,,0.0,0.0,0.0,6.2,16.8,1012.2,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/19/2021,67.1,90.9,78.5,55.5,48.89,88.0,16.8,,238.71,,0.0,0.0,0.0,6.2,8.7,1009.3,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/20/2021,60.1,90.8,76.7,57.9,55.73,88.2,17.9,,192.54,,0.0,0.0,0.0,6.2,16.5,1008.7,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/21/2021,67.3,86.4,75.4,62.8,67.05,85.5,13.8,,135.83,,0.08,4.17,0.0,6.2,32.8,1009.7,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,"Rain, Partially cloudy"
Nicosia,06/22/2021,65.8,90.0,77.1,61.9,63.65,88.6,11.8,,219.75,,0.0,0.0,0.0,6.2,29.6,1011.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,06/23/2021,68.7,92.9,78.8,61.4,59.07,90.6,13.5,,174.08,,0.0,0.0,0.0,6.2,14.3,1011.2,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/24/2021,63.5,95.0,80.8,58.0,50.23,93.4,14.9,,174.92,,0.0,0.0,0.0,6.2,8.8,1009.5,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/25/2021,67.1,97.2,82.8,60.3,52.08,94.7,12.7,,224.79,,0.0,0.0,,6.2,3.4,1007.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/26/2021,75.5,99.1,87.1,53.7,37.45,94.8,18.8,,244.21,,0.0,0.0,,6.2,0.4,1005.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/27/2021,76.3,100.1,88.5,55.2,33.97,98.2,12.6,,174.71,,0.0,0.0,0.0,6.2,8.9,1005.5,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/28/2021,78.5,105.1,90.6,53.7,32.76,100.9,13.5,,226.08,,0.0,0.0,0.0,6.2,8.1,1006.5,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/29/2021,81.7,81.7,81.7,70.2,68.34,85.5,8.6,,225.0,,0.0,0.0,,6.2,0.0,1007.2,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,06/30/2021,78.7,101.3,90.5,57.8,36.23,101.1,15.0,,204.29,,0.0,0.0,,6.2,38.1,1006.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,07/01/2021,78.7,105.9,91.1,56.7,35.51,103.5,19.6,27.7,224.77,,0.0,0.0,,6.2,43.3,1006.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,07/02/2021,80.2,104.0,90.6,56.7,33.35,106.7,15.1,,201.42,,0.0,0.0,,6.2,25.0,1006.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,07/03/2021,75.2,97.6,85.3,63.5,54.5,95.1,17.5,,226.32,,0.0,0.0,,5.9,30.8,1003.9,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,07/04/2021,71.6,94.3,83.5,61.4,50.33,95.0,12.7,,229.4,,0.0,0.0,,6.2,41.8,1003.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,07/05/2021,68.5,95.9,83.6,58.4,47.71,93.7,11.2,,148.63,,0.0,0.0,,6.8,6.0,1004.6,Sky Unchanged,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,07/06/2021,71.9,94.2,82.4,66.2,62.67,94.6,17.2,,165.83,,0.0,0.0,,5.5,42.5,1004.7,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,07/07/2021,71.6,94.1,82.9,66.3,60.55,94.7,13.5,,231.23,,0.0,0.0,,6.2,29.8,1006.5,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
