Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Nicosia,05/16/2020,70.6,103.2,87.1,44.8,26.47,98.4,13.7,,235.96,,0.0,0.0,0.0,6.2,0.0,1014.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/17/2020,76.9,102.3,90.5,42.8,21.59,97.2,19.6,,232.58,,0.0,0.0,0.0,5.8,0.0,1015.1,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/18/2020,72.9,103.9,89.4,40.2,20.37,98.3,20.4,,201.33,,0.0,0.0,0.0,5.8,0.0,1014.7,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/19/2020,78.3,107.7,92.0,40.9,19.84,101.2,12.6,,231.88,,0.0,0.0,0.0,5.7,0.0,1013.2,Smoke Or Haze,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/20/2020,77.0,104.2,89.3,45.7,25.24,99.4,15.5,,186.63,,0.0,0.0,0.0,6.2,5.7,1011.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/21/2020,65.0,103.3,83.7,46.8,32.51,99.0,22.0,,186.96,,0.0,0.0,0.0,6.2,12.8,1009.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/22/2020,69.3,83.0,76.2,55.5,51.17,81.3,24.8,,238.38,,0.0,0.0,0.0,6.2,48.3,1010.4,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,05/23/2020,64.8,81.2,71.4,49.7,48.86,80.0,21.6,,264.79,,0.01,4.17,0.0,6.2,35.5,1012.8,Sky Coverage Increasing,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,"Rain, Partially cloudy"
Nicosia,05/24/2020,63.9,75.6,69.7,37.5,32.83,,25.4,,279.75,,0.0,0.0,0.0,6.2,19.3,1012.6,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/25/2020,62.7,82.2,73.2,36.1,30.32,79.7,15.6,,208.71,,0.0,0.0,0.0,6.2,0.8,1015.0,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
Nicosia,05/26/2020,51.2,83.2,69.3,47.0,50.25,80.8,15.8,,133.71,,0.0,0.0,0.0,6.2,30.0,1017.8,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Partially cloudy
Nicosia,05/27/2020,61.9,87.2,72.1,54.6,60.92,83.9,16.9,,231.38,,0.0,0.0,0.0,6.2,4.9,1015.1,,35.172,33.3649,"Nicosia, Cypern","Nicosia, Cypern",,Clear
