Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Prague,05/16/2021,47.1,63.5,54.1,44.3,71.48,,11.5,29.1,226.92,44.4,0.12,41.67,0.0,22.6,66.9,1005.4,"Lightning Without Thunder, Mist, Precipitation In Vicinity, Rain, Light Drizzle/Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/17/2021,47.5,59.1,53.4,44.7,72.78,,13.6,29.4,244.58,44.8,0.09,50.0,0.0,20.0,73.7,1005.3,"Mist, Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/18/2021,47.4,61.2,54.3,43.0,67.07,,13.6,38.0,256.71,44.1,0.02,25.0,,20.3,67.7,1011.1,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/19/2021,46.4,58.2,51.4,43.4,74.84,,11.2,29.1,289.33,43.4,0.06,33.33,0.0,20.9,69.1,1014.8,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/20/2021,42.9,58.1,50.6,43.4,77.57,,8.0,26.8,251.71,41.0,0.12,33.33,0.0,19.3,56.4,1019.0,"Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/21/2021,44.8,63.5,53.9,44.0,71.51,,17.2,40.3,201.83,40.9,0.02,16.67,0.0,23.1,86.8,1012.5,"Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
Prague,05/22/2021,50.9,62.3,55.4,41.4,61.18,,15.1,39.6,226.83,,0.06,37.5,0.0,21.9,71.1,1008.8,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/23/2021,44.4,60.4,52.2,42.5,70.1,,12.7,26.8,224.38,41.8,0.12,33.33,0.0,21.1,59.0,1015.3,"Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/24/2021,41.6,65.4,54.3,44.2,70.47,,11.4,33.6,133.46,39.7,0.0,0.0,0.0,21.5,65.6,1016.5,"Mist, Precipitation In Vicinity, Light Drizzle, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/25/2021,48.7,56.4,52.4,43.6,73.24,,14.9,33.9,221.04,45.2,0.13,54.17,0.0,23.1,82.4,1015.7,"Hail Showers, Drizzle, Light Drizzle, Precipitation In Vicinity, Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
Prague,05/26/2021,43.4,55.9,50.6,41.4,70.91,,16.2,35.8,208.13,39.2,0.03,29.17,0.0,22.3,77.8,1016.3,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
Prague,05/27/2021,46.1,59.7,53.5,41.8,65.65,,16.9,31.3,244.88,43.0,0.19,33.33,0.0,21.6,70.2,1016.5,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/28/2021,48.3,58.1,53.4,43.4,69.82,,11.2,31.3,260.21,45.8,0.03,33.33,0.0,21.1,82.8,1021.0,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
