Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Prague,05/16/2020,37.6,65.0,52.6,37.4,59.55,,8.0,26.8,218.13,34.9,0.0,0.0,0.0,19.3,15.1,1021.8,"Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Clear
Prague,05/17/2020,45.2,66.8,56.6,39.1,54.51,,8.0,24.6,286.29,43.8,0.0,0.0,0.0,20.0,38.7,1020.9,"Drizzle, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/18/2020,42.1,73.4,59.4,42.3,56.87,,5.7,,218.88,40.2,0.0,0.0,0.0,18.6,25.6,1022.4,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/19/2020,49.1,75.8,63.5,46.9,57.76,,11.2,27.0,249.17,48.0,0.0,0.0,0.0,19.8,36.3,1019.3,"Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/20/2020,51.2,64.5,58.4,47.4,67.51,,6.8,,257.29,,0.0,4.17,0.0,17.9,69.8,1020.8,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/21/2020,47.3,67.3,58.6,41.1,55.4,,6.9,17.9,220.17,,0.0,0.0,0.0,20.8,34.0,1022.7,"Mist, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,Partially cloudy
Prague,05/22/2020,47.4,69.2,58.3,41.6,55.14,,7.0,26.8,106.46,46.2,0.04,29.17,0.0,19.1,62.4,1023.2,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/23/2020,51.2,63.5,57.1,54.6,91.6,,11.2,40.3,242.42,,0.49,83.33,0.39,9.9,98.2,1021.3,"Precipitation In Vicinity, Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
Prague,05/24/2020,46.4,62.3,54.0,44.4,72.07,,14.8,38.7,274.63,42.9,0.21,50.0,0.0,19.0,72.3,1026.5,"Hail Showers, Precipitation In Vicinity, Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Partially cloudy"
Prague,05/25/2020,49.2,57.2,52.1,45.5,78.53,,13.8,37.4,301.67,46.3,0.08,62.5,0.0,19.4,86.5,1028.1,"Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",50.0791,14.433,"Praha, Hlavní město Praha, Česká Republika","Praha, Hlavní město Praha, Česká Republika",,"Rain, Overcast"
