Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Berlin,05/16/2021,46.8,62.5,54.4,46.1,75.08,,8.9,,202.5,43.2,0.01,12.5,,25.8,4.9,1002.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/17/2021,46.6,64.9,55.2,46.0,73.37,,8.1,,219.63,43.4,0.03,20.83,,22.7,4.9,1003.0,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/18/2021,46.4,58.1,52.5,46.1,79.82,,13.0,,267.96,43.0,0.02,12.5,,20.6,1.2,1009.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/19/2021,44.7,61.3,53.1,42.8,70.68,,11.7,,287.42,41.7,0.01,8.33,,22.0,5.0,1014.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/20/2021,48.2,61.8,54.4,42.7,67.02,,13.1,,269.21,45.9,0.0,12.5,,26.3,7.2,1017.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/21/2021,49.5,68.5,58.2,43.6,60.5,,16.9,,208.96,46.2,0.04,29.17,,25.1,2.9,1007.0,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/22/2021,47.3,60.3,54.1,44.6,71.17,,17.9,,212.38,43.5,0.06,58.33,,24.9,4.3,1004.5,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/23/2021,46.9,60.1,53.5,45.1,73.94,,13.9,,236.04,43.6,0.02,41.67,,25.0,0.3,1012.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/24/2021,45.1,69.3,58.3,43.0,60.77,,12.5,,156.5,41.2,0.0,0.0,,26.8,1.7,1014.3,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/25/2021,48.9,59.8,54.2,45.7,73.68,,17.4,,221.42,44.6,0.16,66.67,,24.1,6.5,1011.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/26/2021,47.6,58.9,53.1,44.1,72.0,,13.3,,214.33,43.3,0.02,37.5,,17.2,,1011.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/27/2021,47.1,57.7,52.5,46.4,80.27,,14.2,,231.33,42.7,0.07,50.0,,18.0,3.3,1012.5,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/28/2021,48.9,59.1,53.3,46.5,79.27,,12.3,,293.54,45.1,0.05,54.17,,18.0,0.0,1020.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/29/2021,44.3,61.3,52.7,45.4,77.77,,14.3,,300.0,39.9,0.0,12.5,,20.5,3.3,1023.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/30/2021,43.3,66.5,56.4,40.1,58.01,,11.1,,113.5,39.8,0.0,0.0,,24.6,1.7,1026.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/31/2021,39.7,69.9,56.9,39.8,57.14,,6.7,,105.17,37.0,0.0,0.0,,28.4,0.6,1023.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/01/2021,48.4,73.3,61.6,46.5,60.88,,11.3,,255.5,46.0,0.0,0.0,,25.5,0.0,1018.8,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/02/2021,50.8,75.5,63.6,48.5,60.36,,10.1,,87.75,,0.0,4.17,,26.0,2.0,1019.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/03/2021,54.5,79.5,68.0,46.9,49.51,,10.4,,106.71,,0.0,0.0,,28.4,2.3,1022.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/04/2021,59.8,75.2,66.0,52.0,61.32,,9.5,,100.92,,0.02,16.67,,27.2,6.5,1021.3,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/05/2021,55.5,80.9,69.4,52.4,58.15,80.1,8.8,,78.75,,0.0,0.0,,26.4,2.9,1018.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/06/2021,57.0,80.4,69.7,53.3,58.38,79.9,10.4,,220.29,,0.0,0.0,,24.7,8.7,1019.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/07/2021,52.8,79.0,67.7,48.6,54.02,,9.8,,314.17,,0.0,0.0,,22.2,2.4,1020.5,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/08/2021,56.1,79.0,68.8,53.9,62.24,,9.1,,227.96,,0.0,0.0,,18.9,1.2,1020.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/09/2021,52.7,79.3,68.0,49.0,53.4,,6.4,,219.79,,0.0,0.0,,29.5,2.5,1021.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/10/2021,59.3,80.5,70.5,52.4,55.43,79.9,9.8,,224.92,,0.0,4.17,,24.9,6.5,1018.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/11/2021,60.2,79.7,71.1,53.9,56.66,,9.9,,219.88,,0.0,0.0,,27.8,4.8,1017.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
