Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Berlin,05/16/2020,44.9,58.6,52.4,37.0,57.09,,13.4,,258.54,40.4,0.0,0.0,,29.8,6.0,1020.8,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/17/2020,47.1,64.1,55.6,38.9,55.68,,12.6,,268.17,43.9,0.01,12.5,,25.3,7.0,1020.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/18/2020,50.7,69.3,59.9,42.9,54.47,,12.3,,260.88,,0.0,0.0,,25.5,6.5,1020.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/19/2020,53.0,64.9,58.6,47.9,68.58,,13.5,,296.67,,0.0,0.0,,25.1,6.5,1019.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/20/2020,48.6,67.5,58.0,41.0,57.03,,9.4,,244.5,48.1,0.0,0.0,,26.9,5.6,1021.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/21/2020,42.4,68.8,57.1,37.8,53.07,,6.7,,76.63,40.1,0.0,0.0,,28.4,3.0,1023.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/22/2020,47.6,71.2,61.0,39.3,46.49,,9.5,,126.29,44.9,0.01,12.5,,26.6,0.0,1021.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/23/2020,52.4,65.8,58.8,50.6,75.71,,14.1,,230.33,,0.14,41.67,,16.0,,1019.3,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/24/2020,47.1,59.8,53.3,46.6,78.38,,14.1,,257.21,43.8,0.25,75.0,,21.9,3.3,1023.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/25/2020,50.7,57.1,53.0,47.7,82.06,,13.3,,297.0,,0.04,62.5,,22.3,6.5,1027.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/26/2020,44.1,67.9,56.7,45.0,69.19,,8.0,,136.38,41.8,0.0,0.0,,16.1,1.6,1033.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/27/2020,44.0,70.8,59.6,43.6,58.64,,10.2,,220.0,42.4,0.0,4.17,,26.5,0.0,1032.0,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/28/2020,51.1,66.5,58.7,43.5,58.86,,13.3,,258.96,,0.01,12.5,,26.4,6.9,1029.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,05/29/2020,43.5,67.8,56.9,40.1,56.91,,9.5,,27.42,40.5,0.0,0.0,,21.4,2.2,1028.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/30/2020,45.1,64.1,55.6,39.9,57.55,,13.7,,18.46,43.4,0.0,0.0,,27.4,1.4,1024.5,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,05/31/2020,47.2,71.5,58.7,44.0,61.06,,13.5,,149.46,44.2,0.0,0.0,,24.0,1.5,1021.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/01/2020,45.9,74.7,61.3,42.8,55.43,,11.0,,26.04,43.6,0.0,0.0,,30.4,5.0,1023.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/02/2020,47.6,80.2,65.8,44.6,49.76,79.3,12.7,,241.75,45.9,0.0,0.0,,31.0,4.3,1017.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/03/2020,51.5,76.1,64.9,44.4,51.36,,6.9,,80.0,,0.0,0.0,,29.7,2.6,1006.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/04/2020,53.4,74.7,63.4,49.0,62.08,,12.2,,130.83,,0.31,33.33,,22.2,,995.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/05/2020,52.4,62.2,57.0,49.1,76.68,,13.3,,234.33,,0.14,79.17,,16.6,,994.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/06/2020,46.8,63.3,55.4,43.4,66.04,,14.2,,216.38,42.4,0.03,29.17,,28.0,5.2,1001.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/07/2020,47.3,65.1,57.0,48.0,73.43,,8.3,,186.92,44.1,0.0,16.67,,28.2,0.0,1007.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/08/2020,48.4,69.4,60.5,46.1,61.77,,7.3,,260.54,47.4,0.01,12.5,,24.3,10.3,1012.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/09/2020,51.3,70.0,62.3,47.5,60.46,,7.8,,28.46,,0.0,0.0,,26.4,13.0,1015.8,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/10/2020,50.9,69.2,61.0,48.1,64.44,,9.4,,25.04,,0.0,0.0,,24.3,,1014.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/11/2020,57.3,68.5,61.9,58.3,88.32,,6.1,,107.79,,0.17,62.5,,8.2,0.0,1010.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/12/2020,57.0,79.2,67.6,59.7,78.24,,7.7,,43.63,,0.0,4.17,,14.5,0.0,1011.0,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/13/2020,64.0,84.8,70.1,64.2,82.81,87.5,11.6,,53.83,,1.04,45.83,,14.0,4.3,1010.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/14/2020,63.5,76.5,68.5,59.4,75.32,,9.5,,78.29,,0.0,4.17,,13.0,1.4,1011.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/15/2020,56.1,75.7,66.8,51.3,60.04,,8.1,,44.29,,0.0,0.0,,31.0,4.7,1013.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/16/2020,54.6,77.7,67.9,52.4,60.33,,6.4,,187.71,,0.0,0.0,,29.4,3.5,1014.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/17/2020,57.8,82.1,71.6,53.8,57.32,81.0,7.2,,58.63,,0.0,0.0,,26.6,2.6,1011.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/18/2020,63.1,75.0,68.3,58.1,70.36,,8.7,,154.58,,0.16,16.67,,16.0,0.0,1009.4,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/19/2020,59.8,65.8,62.8,59.3,88.37,,8.8,,296.04,,0.08,50.0,,13.9,,1012.0,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/20/2020,60.6,63.6,61.8,57.3,85.44,,15.7,,295.5,,0.15,75.0,,19.4,,1016.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/21/2020,57.6,70.9,63.5,56.1,77.87,,11.2,,315.67,,0.08,58.33,,16.6,6.5,1018.3,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/22/2020,54.0,76.5,66.4,52.4,63.49,,13.3,,285.83,,0.0,0.0,,21.8,2.6,1020.8,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/23/2020,52.8,74.8,64.9,47.7,56.87,,10.5,,276.17,,0.0,0.0,,30.5,5.5,1024.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/24/2020,53.0,76.3,66.5,53.9,65.53,,8.6,,66.92,,0.0,0.0,,28.3,3.5,1024.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/25/2020,64.9,80.5,71.9,58.4,64.28,80.5,9.8,,71.54,,0.0,4.17,,24.7,2.2,1021.2,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/26/2020,62.0,81.6,70.7,61.4,73.75,82.0,8.3,,100.63,,0.18,25.0,,19.4,4.0,1015.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/27/2020,60.8,86.5,73.8,60.1,66.24,85.2,6.7,,179.17,,0.0,8.33,,21.2,3.7,1009.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,06/28/2020,64.0,79.6,70.8,62.1,74.55,,10.7,,240.0,,0.32,25.0,,28.7,6.5,1011.9,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/29/2020,57.2,71.3,64.5,53.8,69.69,,9.2,,223.54,,0.1,29.17,,24.1,1.0,1011.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,06/30/2020,56.4,72.5,64.5,48.5,58.15,,15.0,,240.88,,0.0,0.0,,31.0,6.5,1008.6,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,07/01/2020,63.1,71.9,66.4,57.1,72.65,,11.1,,234.67,,0.24,45.83,,24.2,,1007.1,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/02/2020,59.6,73.9,66.5,57.1,73.91,,8.6,,254.25,,0.01,20.83,,18.1,0.0,1009.3,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/03/2020,59.1,72.3,65.5,54.0,68.18,,11.2,,268.13,,0.01,25.0,,27.4,13.0,1014.5,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/04/2020,57.4,75.5,67.9,52.2,59.07,,14.7,,225.54,,0.0,4.17,,28.6,4.0,1014.7,,52.51600000000001,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,07/05/2020,66.3,79.4,71.5,59.7,67.08,,16.9,,230.79,,0.05,25.0,,27.1,0.0,1010.1,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/06/2020,56.0,67.3,63.2,51.5,67.32,,18.4,,257.29,,0.03,25.0,,27.3,6.8,1010.6,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/07/2020,51.4,67.2,59.3,45.9,64.26,,12.2,,263.88,,0.01,8.33,,27.5,2.2,1017.5,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/08/2020,53.6,62.6,58.1,50.1,75.47,,9.3,,245.17,,0.02,54.17,,23.8,,1015.7,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/09/2020,55.0,65.6,60.6,57.1,88.4,,9.4,,195.46,,0.33,50.0,,14.7,,1013.8,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/10/2020,55.6,74.6,64.1,59.1,84.95,,19.0,,218.46,,0.18,50.0,,17.6,,1009.8,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/11/2020,50.3,66.3,58.3,47.6,70.1,,10.2,,276.25,,0.01,12.5,,29.5,1.9,1021.5,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,07/12/2020,47.8,68.4,59.0,46.5,66.44,,10.6,,292.54,45.9,0.0,0.0,,30.4,2.7,1026.3,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,07/13/2020,51.0,74.7,63.5,48.1,60.43,,7.4,,250.08,,0.0,0.0,,30.9,1.4,1023.7,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,07/14/2020,53.6,81.8,69.0,48.2,52.39,80.0,8.4,,178.96,,0.0,0.0,,29.3,4.6,1014.7,,52.516000000000005,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
