Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Copenhagen,05/16/2020,45.3,54.8,50.4,40.5,69.37,,22.3,43.2,257.42,38.6,0.14,25.0,,24.5,74.7,1014.2,"Drizzle, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
Copenhagen,05/17/2020,44.5,59.2,51.1,42.8,74.29,,24.7,42.3,259.42,38.2,0.38,45.83,,25.6,79.9,1015.1,"Drizzle, Light Drizzle, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Overcast"
Copenhagen,05/18/2020,48.8,54.3,51.4,48.1,88.53,,13.0,25.0,251.0,44.3,0.29,58.33,,18.3,88.9,1016.4,"Drizzle, Mist, Heavy Drizzle, Light Drizzle, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Overcast"
Copenhagen,05/19/2020,47.5,57.9,53.7,44.8,73.46,,19.3,33.9,278.33,46.5,0.08,25.0,,24.6,62.6,1016.6,"Drizzle, Heavy Drizzle, Mist, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
Copenhagen,05/20/2020,41.8,60.1,51.7,41.0,69.14,,6.9,,196.71,40.2,0.0,0.0,,25.9,21.4,1022.6,"Mist, Fog",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,Clear
Copenhagen,05/21/2020,45.0,60.2,53.4,46.1,77.55,,10.5,,139.67,43.4,0.0,0.0,,23.8,21.5,1024.7,Mist,55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,Clear
Copenhagen,05/22/2020,52.2,61.6,56.4,41.8,59.31,,17.5,32.1,131.92,,0.03,12.5,,34.5,35.0,1022.0,"Drizzle, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
Copenhagen,05/23/2020,50.3,61.6,55.6,48.9,79.63,,16.2,30.2,200.46,,0.47,29.17,,12.7,61.8,1016.4,"Drizzle, Mist, Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Smoke Or Haze",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
Copenhagen,05/24/2020,48.4,57.5,53.1,47.4,81.12,,15.4,30.8,235.79,44.7,0.22,50.0,,16.2,70.0,1018.0,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
Copenhagen,05/25/2020,49.7,61.3,55.4,48.3,78.1,,13.1,21.9,230.46,44.9,0.08,29.17,,20.8,62.8,1025.6,"Drizzle, Mist, Rain, Rain Showers, Light Rain",55.6757,12.5676,"København, Hovedstaden, Danmark","København, Hovedstaden, Danmark",,"Rain, Partially cloudy"
