Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Tallinn,05/16/2021,41.0,53.3,48.4,44.5,86.65,,9.9,17.9,262.88,37.9,0.0,0.0,,6.0,21.1,1008.0,"Mist, Fog, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,Clear
Tallinn,05/17/2021,48.3,69.7,57.8,51.4,80.15,,14.9,24.6,144.54,43.9,0.56,54.17,,6.3,31.0,1005.9,"Lightning Without Thunder, Mist, Rain, Rain Showers, Fog, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/18/2021,45.1,51.8,48.9,47.8,96.15,,8.4,22.4,299.63,41.4,0.36,41.67,,3.9,59.4,1005.4,"Drizzle, Mist, Heavy Drizzle, Light Drizzle, Rain, Fog, Rain Showers, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/19/2021,48.2,51.8,50.6,49.1,94.92,,17.8,29.2,283.63,42.9,0.64,41.67,,4.8,98.2,1000.6,"Drizzle, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Overcast"
Tallinn,05/20/2021,46.4,55.7,50.2,45.0,82.95,,14.9,27.6,281.08,40.1,0.35,25.0,,6.5,53.7,1004.4,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/21/2021,46.4,57.1,50.4,44.8,82.04,,26.0,29.2,257.71,39.6,0.82,58.33,,6.4,67.3,999.4,"Drizzle, Light Drizzle, Rain, Rain Showers, Heavy Rain, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/22/2021,41.0,59.0,50.8,43.5,77.7,,12.6,25.3,232.33,36.3,0.14,20.83,,6.0,40.8,1001.9,"Lightning Without Thunder, Mist, Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/23/2021,39.3,55.4,47.0,43.9,89.74,,14.8,20.1,195.54,36.9,0.01,4.17,,4.4,43.6,1004.7,"Mist, Fog, Rain Showers, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/24/2021,46.5,58.9,52.2,45.9,79.63,,17.0,26.8,264.75,40.2,0.12,20.83,,6.4,46.0,1013.1,"Mist, Rain, Rain Showers, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/25/2021,43.7,62.5,53.6,46.5,79.21,,12.6,21.6,136.42,42.4,0.0,0.0,,5.3,30.6,1019.7,"Mist, Light Drizzle, Fog, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,Partially cloudy
Tallinn,05/26/2021,48.2,53.7,51.1,48.0,89.16,,21.7,36.3,121.75,41.9,1.73,87.5,,5.6,67.2,1009.4,"Light Drizzle, Rain, Rain Showers, Heavy Rain, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/27/2021,46.4,55.4,51.0,47.5,87.97,,12.1,26.1,158.92,41.7,0.46,45.83,,6.5,50.0,1010.5,"Light Drizzle, Rain, Rain Showers, Fog, Heavy Rain, Light Rain",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,"Rain, Partially cloudy"
Tallinn,05/28/2021,44.7,55.0,49.8,45.1,84.41,,12.6,17.9,277.63,39.1,0.0,0.0,,6.1,49.2,1014.5,"Mist, Fog",59.4364,24.7526,"Tallinn, Eesti","Tallinn, Eesti",,Partially cloudy
