Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Madrid,05/16/2021,54.9,77.3,67.0,51.7,59.92,,12.9,29.1,263.63,,0.0,0.0,,10.8,3.7,1013.2,"Drizzle, Mist, Rain, Fog, Sky Coverage Increasing, Sky Unchanged",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/17/2021,48.6,77.1,65.4,40.0,43.93,,6.6,15.2,216.79,47.0,0.0,0.0,,10.7,1.5,1015.8,"Mist, Fog, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/18/2021,50.1,80.0,65.9,42.3,43.57,,14.5,23.7,223.46,,0.0,0.0,,11.1,6.5,1016.4,"Mist, Sky Unchanged",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/19/2021,48.4,76.2,65.6,40.3,41.92,,7.5,20.4,107.0,46.3,0.0,0.0,,11.7,0.5,1019.3,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/20/2021,50.9,80.0,67.6,41.1,39.24,,6.1,12.5,156.71,,0.0,0.0,,12.0,1.4,1019.6,"Mist, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/21/2021,57.6,82.7,70.4,45.3,43.16,80.8,13.5,25.3,242.5,,0.0,0.0,,12.0,1.8,1012.3,Sky Coverage Increasing,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/22/2021,48.6,70.1,62.3,35.0,38.67,,7.7,15.2,189.04,45.9,0.0,0.0,,10.9,2.7,1012.3,"Fog, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/23/2021,44.5,64.5,57.1,39.7,53.3,,10.5,21.3,112.46,43.3,0.2,20.83,,11.7,4.9,1015.3,"Mist, Precipitation In Vicinity, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Rain,
Madrid,05/24/2021,39.5,69.0,58.2,42.8,58.69,,9.0,21.3,250.38,34.4,0.0,4.17,,10.0,4.2,1019.0,"Drizzle, Mist, Light Drizzle, Rain, Fog, Sky Coverage Decreasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
Madrid,05/25/2021,43.7,76.4,63.3,41.9,48.17,,6.6,23.0,174.83,40.7,0.0,0.0,,12.0,2.5,1019.9,"Sky Coverage Increasing, Sky Unchanged",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear,
