Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Madrid,05/16/2020,45.9,67.3,56.7,46.4,69.39,,10.1,19.5,48.25,43.3,0.13,33.33,,9.6,3.9,1016.4,"Drizzle, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Fog, Light Rain, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Rain
Madrid,05/17/2020,44.0,71.0,59.7,41.7,53.72,,7.8,25.3,79.08,42.0,0.02,4.17,,10.8,2.7,1020.3,"Drizzle, Mist, Rain, Fog, Sky Coverage Decreasing, Sky Unchanged",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Rain
Madrid,05/18/2020,47.3,80.7,65.5,39.9,41.35,79.3,7.6,14.3,106.33,46.1,0.0,0.0,,12.1,0.8,1020.2,Mist,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/19/2020,52.2,82.5,68.9,41.1,37.32,80.6,8.0,19.0,94.88,,0.0,0.0,,12.1,1.1,1017.7,,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/20/2020,56.3,87.2,71.7,38.6,31.72,83.8,7.6,16.1,166.38,,0.0,0.0,,12.0,0.7,1014.9,Mist,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/21/2020,56.9,88.1,72.9,40.6,32.24,84.7,6.0,13.2,165.29,,0.0,0.0,,12.2,0.5,1017.1,Mist,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/22/2020,59.5,88.8,74.3,46.8,39.11,85.9,8.6,20.3,219.29,,0.0,0.0,,11.7,0.9,1020.0,Mist,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/23/2020,60.1,89.0,75.9,48.3,39.12,86.1,6.5,13.0,186.5,,0.0,0.0,,11.8,1.6,1020.9,Mist,40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/24/2020,57.7,84.5,73.2,51.1,47.52,82.8,11.6,25.9,116.29,,0.0,0.0,,11.9,1.3,1021.7,"Mist, Light Rain",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Clear
Madrid,05/25/2020,61.4,85.3,71.5,54.1,55.53,84.1,9.6,18.1,139.0,,0.37,25.0,,11.9,2.9,1020.6,"Mist, Light Drizzle, Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Increasing",40.4196,-3.69196,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",,Rain
