Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Helsinki,05/16/2021,48.9,61.1,55.7,45.1,68.22,,13.2,20.2,250.13,47.2,0.0,0.0,0.0,28.0,19.5,1007.8,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/17/2021,46.3,61.6,54.4,49.8,84.95,,13.3,24.8,119.33,44.2,0.16,33.33,0.39,18.8,39.6,1007.3,"Drizzle, Mist, Precipitation In Vicinity, Rain, Thunderstorm, Heavy Rain And Snow, Rain Showers, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/18/2021,49.7,60.2,54.5,49.6,84.13,,10.8,22.0,264.0,47.2,0.05,33.33,0.0,22.2,74.6,1005.8,"Drizzle, Mist, Precipitation In Vicinity, Light Drizzle, Rain, Heavy Rain And Snow, Fog, Rain Showers, Light Rain, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/19/2021,50.8,57.6,54.2,52.6,94.28,,13.1,22.4,201.71,,0.17,62.5,0.0,10.3,96.7,999.8,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Overcast"
Helsinki,05/20/2021,49.3,61.0,54.1,48.9,83.81,,12.9,22.4,324.83,45.6,0.16,66.67,0.0,19.3,92.6,1003.5,"Drizzle, Heavy Drizzle, Mist, Light Drizzle, Rain, Heavy Rain And Snow, Rain Showers, Light Rain, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Overcast"
Helsinki,05/21/2021,48.8,55.7,51.4,46.0,82.44,,18.2,35.7,276.54,44.0,0.6,83.33,0.79,20.0,73.4,997.7,"Drizzle, Light Drizzle, Precipitation In Vicinity, Rain, Heavy Rain And Snow, Rain Showers, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/22/2021,45.0,59.5,50.8,44.0,78.41,,15.8,24.8,229.92,40.3,0.0,4.17,0.0,23.6,45.6,1001.5,"Drizzle, Mist, Rain, Heavy Rain And Snow, Rain Showers, Light Rain, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Partially cloudy
Helsinki,05/23/2021,43.6,60.2,51.7,45.8,81.97,,10.6,17.9,246.63,39.9,0.05,16.67,0.0,16.9,51.1,1004.9,"Drizzle, Mist, Precipitation In Vicinity, Rain, Heavy Rain And Snow, Duststorm, Fog, Rain Showers",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/24/2021,47.1,58.2,53.3,43.9,71.16,,15.3,22.5,253.71,43.1,0.0,0.0,0.0,27.1,23.0,1012.2,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/25/2021,46.0,56.8,51.9,42.9,72.42,,14.0,22.3,127.83,43.9,0.0,0.0,0.0,27.6,15.8,1021.0,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
