Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Helsinki,05/16/2020,38.9,47.4,41.7,37.0,83.95,,13.3,26.8,257.71,33.2,0.36,66.67,0.39,23.4,75.0,1000.7,"Drizzle, Light Drizzle, Precipitation In Vicinity, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Heavy Rain, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/17/2020,34.9,47.3,41.6,34.8,77.47,,11.0,20.3,265.38,30.2,0.01,20.83,0.39,29.1,30.4,1002.8,"Drizzle, Mist, Precipitation In Vicinity, Rain, Thunderstorm, Heavy Rain And Snow, Rain Showers, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/18/2020,36.4,54.3,44.9,35.0,69.87,,13.0,24.7,272.13,29.7,0.02,12.5,0.39,28.3,33.4,1006.6,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/19/2020,37.7,51.5,44.6,36.4,73.82,,17.0,35.9,257.67,34.1,0.15,29.17,0.39,27.8,36.4,1010.8,"Drizzle, Precipitation In Vicinity, Light Drizzle, Rain, Heavy Rain And Snow, Fog, Rain Showers, Heavy Rain, Light Rain, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
Helsinki,05/20/2020,37.0,54.2,46.5,35.2,66.78,,19.4,31.4,304.46,30.9,0.0,25.0,0.39,29.4,33.4,1015.1,"Drizzle, Precipitation In Vicinity, Rain, Heavy Rain And Snow, Rain Showers, Snow",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Partially cloudy
Helsinki,05/21/2020,42.0,60.1,51.1,29.6,46.23,,18.5,33.9,244.79,35.7,0.0,0.0,0.39,28.2,21.1,1018.1,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/22/2020,45.6,56.4,52.1,31.4,45.66,,10.9,19.9,144.88,41.9,0.0,0.0,0.39,27.3,20.2,1023.5,Mist,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/23/2020,43.2,61.3,52.9,33.8,50.93,,15.0,22.3,182.5,43.1,0.0,0.0,0.39,28.5,0.0,1022.6,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/24/2020,48.7,55.4,51.6,37.8,59.38,,12.7,22.3,143.08,45.0,0.0,0.0,0.39,28.3,38.0,1017.6,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Partially cloudy
Helsinki,05/25/2020,51.1,65.0,58.2,40.6,52.92,,10.9,20.2,223.29,,0.0,4.17,0.39,28.1,60.7,1022.4,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Partially cloudy
Helsinki,05/26/2020,48.5,69.6,61.8,40.7,49.29,,15.9,24.1,268.92,46.7,0.0,0.0,0.0,26.8,6.0,1029.4,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/27/2020,50.1,66.0,59.0,42.3,55.05,,12.2,20.5,254.5,,0.0,0.0,0.0,25.1,21.0,1024.2,,60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,Clear
Helsinki,05/28/2020,51.1,62.7,56.3,44.0,66.27,,12.8,31.3,297.54,,0.25,20.83,0.39,22.1,72.9,1022.3,"Drizzle, Precipitation In Vicinity, Rain, Heavy Rain And Snow, Rain Showers, Heavy Rain, Light Rain",60.1712,24.9327,"Helsinki, Etelä-Suomi, Suomi","Helsinki, Etelä-Suomi, Suomi",,"Rain, Partially cloudy"
