Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Paris,05/16/2021,48.3,61.4,53.9,47.1,79.05,,19.2,37.4,231.58,45.7,0.45,50.0,,12.6,22.9,1003.8,"Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/17/2021,50.8,61.0,54.8,47.1,75.97,,11.6,28.5,258.54,,0.19,50.0,,13.4,23.1,1008.5,"Mist, Precipitation In Vicinity, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/18/2021,49.9,61.4,54.7,44.4,68.89,,10.9,25.1,277.71,47.0,0.18,33.33,,14.7,20.3,1016.1,"Hail Showers, Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/19/2021,49.6,59.2,53.8,44.8,72.61,,15.8,32.7,273.46,48.4,0.32,37.5,,14.1,19.4,1019.4,"Hail Showers, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/20/2021,45.0,63.0,55.3,42.8,64.27,,17.0,36.9,229.17,43.4,0.0,0.0,,14.8,15.6,1020.4,,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/21/2021,51.8,63.2,56.9,42.4,59.4,,17.8,40.9,238.29,,0.02,12.5,,14.0,19.5,1009.0,"Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Decreasing",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/22/2021,49.9,60.4,53.8,42.8,66.81,,15.2,38.0,237.25,44.5,0.08,12.5,,13.8,16.9,1008.8,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/23/2021,47.5,63.7,55.2,42.6,64.64,,12.5,31.4,226.17,44.1,0.0,0.0,,15.4,21.0,1014.7,"Rain Showers, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/24/2021,49.1,58.0,52.9,44.1,72.74,,14.1,48.9,218.96,44.3,0.11,33.33,,12.7,22.8,1009.6,"Mist, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/25/2021,45.6,59.9,52.6,42.7,70.05,,15.2,35.5,257.63,40.8,0.22,45.83,,13.0,24.7,1018.4,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
Paris,05/26/2021,49.6,59.8,54.1,46.0,75.1,,13.0,33.5,257.46,44.6,0.46,50.0,,12.3,26.9,1016.3,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,"Rain, Partially cloudy"
Paris,05/27/2021,47.1,69.9,58.8,43.8,60.78,,4.8,13.4,215.83,47.5,0.0,0.0,,14.6,11.3,1020.5,Fog,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/28/2021,51.7,73.3,62.5,46.3,57.5,,9.7,21.6,62.04,,0.0,4.17,,14.1,9.5,1021.7,,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/29/2021,53.3,73.6,64.3,46.3,54.45,,10.5,27.5,66.92,,0.0,0.0,,14.1,8.6,1023.2,,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/30/2021,54.7,74.2,65.1,45.4,50.38,,10.4,26.1,47.46,,0.0,4.17,,14.2,3.7,1023.5,,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,05/31/2021,57.1,75.9,67.2,43.0,42.67,,11.5,27.9,86.71,,0.0,0.0,,14.1,0.3,1019.0,,48.8572,2.3414099999999998,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,06/01/2021,56.7,81.9,70.2,47.6,45.35,81.1,8.9,19.5,89.92,,0.0,0.0,,13.2,0.8,1012.8,,48.8572,2.34141,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Clear
Paris,06/02/2021,61.7,79.6,71.2,58.7,65.23,,12.0,27.2,174.38,,0.02,8.33,,12.7,9.9,1012.5,"Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing",48.8572,2.34141,"Paris, Île-de-France, France","Paris, Île-de-France, France",,Rain
