Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Tbilisi,05/16/2021,61.3,85.1,73.2,47.4,44.51,82.2,22.3,,197.63,,0.0,0.0,,31.1,17.0,1011.4,"Thunderstorm, Sky Unchanged",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Clear
Tbilisi,05/17/2021,58.6,83.8,69.2,47.6,48.41,81.9,22.1,,246.0,,0.0,0.0,0.39,31.1,40.5,1008.7,"Thunderstorm Without Precipitation, Sky Coverage Decreasing",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Partially cloudy
Tbilisi,05/18/2021,58.1,82.0,69.2,50.1,54.02,80.6,26.0,,315.0,,0.0,0.0,,31.1,33.7,1008.9,"Thunderstorm, Sky Coverage Decreasing",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Partially cloudy
Tbilisi,05/19/2021,56.1,76.7,67.3,48.9,52.47,,34.9,,303.25,,0.0,0.0,1.18,31.1,34.6,1011.8,Thunderstorm Without Precipitation,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Partially cloudy
Tbilisi,05/20/2021,57.4,85.6,72.1,50.9,50.19,82.8,23.9,,229.63,,0.0,0.0,,31.1,11.8,1014.3,Light Rain,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Clear
Tbilisi,05/21/2021,62.7,90.7,76.8,57.4,54.03,89.5,19.6,,203.0,,0.0,0.0,,31.1,15.5,1011.8,,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Clear
Tbilisi,05/22/2021,67.2,92.3,77.0,59.9,57.66,93.4,17.5,,195.25,,0.0,12.5,,26.0,55.5,1008.5,"Thunderstorm Without Precipitation, Sky Coverage Decreasing",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Partially cloudy
Tbilisi,05/23/2021,63.9,77.1,68.6,55.4,63.25,,28.0,,265.63,,0.0,0.0,,31.1,87.1,1009.0,,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Overcast
Tbilisi,05/24/2021,60.8,81.9,69.3,52.9,57.08,81.3,28.2,,182.0,,0.08,25.0,,31.1,53.5,1014.3,,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,"Rain, Partially cloudy"
Tbilisi,05/25/2021,61.2,78.0,67.8,52.3,59.12,,32.8,,272.25,,0.28,12.5,,31.1,65.7,1014.9,"Rain Showers, Sky Coverage Increasing",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,"Rain, Partially cloudy"
Tbilisi,05/26/2021,58.2,75.7,64.6,51.2,64.25,,26.2,,283.13,,0.29,25.0,,31.1,75.8,1014.6,"Rain, Rain Showers, Sky Coverage Decreasing",41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,"Rain, Overcast"
Tbilisi,05/27/2021,55.3,79.4,67.3,51.8,60.53,,17.5,,226.5,,0.0,0.0,0.39,31.1,36.4,1014.9,,41.7091,44.7961,"თბილისი, Georgia","თბილისი, Georgia",,Partially cloudy
