Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Athens,05/16/2021,54.4,77.6,67.0,49.4,56.08,,12.7,19.2,201.36,,0.0,0.0,,6.2,21.7,1009.5,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/17/2021,57.5,80.6,70.4,51.0,53.02,79.6,18.0,23.5,216.43,,0.0,0.0,,6.2,4.6,1010.4,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/18/2021,64.4,87.8,76.6,48.2,39.16,84.7,19.6,25.8,250.04,,0.0,0.0,,6.2,5.1,1010.3,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/19/2021,58.4,82.9,71.7,51.6,50.96,81.8,15.4,16.9,192.26,,0.0,0.0,,6.2,0.9,1011.9,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/20/2021,66.1,81.3,73.9,44.6,36.14,79.9,15.3,29.4,246.74,,0.0,0.0,,5.6,19.9,1008.5,Smoke Or Haze,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/21/2021,61.4,74.0,67.8,41.6,39.12,,17.3,33.3,273.04,,0.0,0.0,,6.2,28.3,1013.6,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,05/22/2021,51.9,77.2,66.5,47.1,52.52,,13.1,16.4,191.5,,0.0,0.0,,6.2,20.5,1019.4,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/23/2021,53.5,82.6,69.5,48.4,49.59,81.0,9.2,14.5,191.87,,0.0,0.0,,6.2,2.8,1018.2,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/24/2021,59.6,86.0,74.0,50.2,45.56,83.4,12.0,16.9,188.91,,0.0,0.0,,6.2,0.0,1018.5,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/25/2021,64.4,88.8,77.0,52.0,43.54,85.9,18.2,25.6,109.35,,0.0,0.0,,6.2,0.2,1017.0,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/26/2021,65.6,86.8,75.8,53.9,47.63,85.3,12.7,16.8,168.29,,0.0,0.0,,6.2,3.9,1013.3,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/27/2021,62.5,84.0,73.3,51.2,48.11,82.0,12.7,16.0,183.14,,0.0,0.0,,6.2,4.4,1010.6,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/28/2021,59.1,83.0,72.7,52.8,51.84,81.7,13.8,16.6,196.67,,0.0,0.0,,6.2,15.2,1011.0,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,05/29/2021,65.5,77.6,71.4,55.4,58.04,,12.2,18.6,126.24,,0.0,0.0,,6.2,27.9,1014.5,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,05/30/2021,63.5,77.7,69.9,54.5,58.79,,9.6,14.5,187.81,,0.03,4.17,,6.2,53.3,1013.6,Drizzle,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,05/31/2021,59.9,78.4,70.0,56.0,62.79,,11.9,18.2,178.33,,0.0,0.0,,6.2,44.8,1011.6,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/01/2021,60.6,76.7,68.8,50.1,53.25,,17.9,24.3,201.17,,0.01,4.17,,6.2,45.4,1011.4,"Rain, Light Rain",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/02/2021,55.8,76.2,66.7,49.0,55.07,,13.3,28.7,174.43,,0.0,0.0,,6.2,28.5,1017.4,Sky Coverage Decreasing,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/03/2021,56.1,79.1,68.3,51.4,58.06,,10.8,16.4,170.35,,0.0,0.0,,6.2,28.9,1019.9,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/04/2021,59.4,79.9,70.2,50.3,50.73,,15.3,26.3,108.35,,0.0,0.0,,6.2,20.8,1021.3,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/05/2021,60.2,78.6,70.4,50.6,50.46,,10.6,20.1,155.43,,0.0,0.0,,6.2,17.9,1020.7,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/06/2021,59.7,82.7,72.4,54.1,54.41,82.0,12.7,20.3,183.5,,0.0,0.0,,6.2,13.6,1016.7,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/07/2021,65.9,85.3,76.3,55.7,50.4,84.6,12.7,21.5,174.1,,0.0,0.0,,6.2,25.6,1014.8,Thunderstorm Without Precipitation,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/08/2021,67.2,82.4,74.9,58.8,58.4,82.8,13.7,20.5,132.78,,0.0,0.0,,6.2,31.7,1013.0,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/09/2021,67.2,81.4,72.8,58.3,61.84,80.9,15.0,27.7,144.29,,0.11,4.17,,6.2,51.6,1011.5,"Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/10/2021,67.0,82.5,74.8,55.8,53.74,81.7,13.1,28.9,209.63,,0.2,4.17,,6.2,40.4,1010.7,Thunderstorm Without Precipitation,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/11/2021,62.6,82.0,71.6,55.9,59.22,81.2,11.2,21.9,226.25,,0.23,8.33,,6.2,37.7,1012.0,"Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Decreasing, Sky Coverage Increasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/12/2021,62.6,79.1,70.6,58.8,67.31,,10.0,20.5,249.67,,0.67,8.33,,6.1,38.8,1013.8,"Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/13/2021,60.0,82.8,72.6,56.7,60.25,81.5,11.9,15.3,203.09,,0.0,0.0,,6.2,31.8,1013.3,"Rain, Light Rain",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/14/2021,63.7,76.0,70.2,54.3,58.14,,11.7,27.2,206.38,,0.14,8.33,0.0,6.2,63.1,1011.9,"Thunderstorm, Light Rain, Sky Coverage Increasing, Sky Unchanged",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/15/2021,59.3,75.5,67.0,51.4,60.3,,14.9,20.7,181.48,,0.44,8.33,0.0,6.2,52.3,1013.3,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,"Rain, Partially cloudy"
Athens,06/16/2021,62.0,82.8,72.7,51.7,50.65,81.1,11.4,20.8,207.25,,0.0,0.0,,6.2,21.8,1012.7,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/17/2021,62.9,85.3,75.0,53.1,48.82,83.4,14.5,18.0,129.26,,0.0,0.0,,6.2,17.1,1016.3,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/18/2021,63.8,85.0,75.3,56.5,53.76,83.9,11.6,14.7,225.86,,0.0,0.0,,6.2,23.9,1014.9,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Decreasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/19/2021,68.8,87.3,78.0,59.8,55.03,86.4,10.2,15.0,158.55,,0.0,0.0,,6.2,28.9,1011.5,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/20/2021,68.9,87.7,78.2,61.5,57.92,87.1,10.3,23.5,138.23,,0.0,0.0,,6.2,25.2,1010.4,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Partially cloudy
Athens,06/21/2021,68.9,86.6,78.3,62.9,60.87,87.4,11.2,15.7,173.3,,0.01,4.17,,6.2,19.5,1011.1,"Light Drizzle, Light Rain, Sky Coverage Increasing",37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Rain
Athens,06/22/2021,70.5,88.5,80.3,64.7,60.33,90.8,9.6,13.9,200.57,,0.0,0.0,,6.2,12.1,1012.0,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/23/2021,71.5,93.4,83.0,65.1,57.06,94.5,9.4,12.4,127.29,,0.0,0.0,,6.2,2.9,1013.2,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/24/2021,73.2,96.2,85.3,64.7,52.15,97.5,11.9,25.3,203.09,,0.0,0.0,,6.2,2.5,1014.8,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/25/2021,75.6,96.6,86.5,61.9,46.14,96.8,10.4,13.4,163.96,,0.0,0.0,,6.2,2.8,1013.4,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/26/2021,76.1,102.6,88.1,61.2,43.29,100.5,15.2,33.2,202.55,,0.0,0.0,,6.2,2.8,1011.0,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/27/2021,77.3,94.0,86.2,63.8,48.52,96.5,13.6,22.4,97.79,,0.0,0.0,,6.2,7.5,1011.2,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/28/2021,75.6,94.8,85.7,62.3,47.29,95.1,14.0,24.6,142.04,,0.0,0.0,,6.2,13.0,1014.1,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/29/2021,73.0,93.9,85.0,60.5,45.27,93.7,14.1,8.7,141.7,,0.0,0.0,,6.2,21.4,1013.8,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,06/30/2021,75.9,95.7,86.0,60.2,43.6,95.2,12.9,,140.21,,0.0,0.0,,6.2,,1012.4,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
Athens,07/01/2021,74.0,100.6,88.4,61.0,41.79,101.1,15.2,,142.0,,0.0,0.0,,6.2,25.0,1009.2,,37.9761,23.7364,"Αθήνα, Αττική, Ελληνικη Δημοκρατια","Αθήνα, Αττική, Ελληνικη Δημοκρατια",,Clear
