Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Zagreb,05/16/2021,52.5,64.6,59.8,52.5,77.6,,5.2,20.5,242.38,,0.29,12.5,0.0,22.4,87.9,1007.9,"Drizzle, Light Drizzle, Thunderstorm, Heavy Drizzle/Rain, Mist, Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/17/2021,49.1,60.4,56.3,50.2,80.55,,8.9,19.4,256.33,,0.91,16.67,0.0,14.1,77.3,1006.4,"Drizzle, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/18/2021,43.8,72.4,58.7,44.9,64.67,,6.7,16.2,197.88,41.6,0.05,8.33,0.0,25.0,33.9,1012.0,"Mist, Thunderstorm, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Partially cloudy"
Zagreb,05/19/2021,50.1,55.4,52.5,48.7,86.95,,8.8,13.6,150.04,,1.1,12.5,0.4,9.2,93.1,1012.7,"Mist, Rain, Light Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/20/2021,47.0,66.3,56.8,44.4,66.66,,8.9,20.0,236.14,44.4,0.28,18.18,0.0,22.2,64.2,1016.8,"Hail Showers, Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Partially cloudy"
Zagreb,05/21/2021,42.2,73.4,59.7,41.7,56.1,,9.2,28.2,215.17,41.0,0.0,4.35,0.0,22.2,52.3,1017.3,Fog,45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,Partially cloudy
Zagreb,05/22/2021,54.7,72.4,63.1,43.1,48.79,,9.1,27.5,225.92,,0.0,0.0,,26.3,83.2,1012.8,"Light Drizzle, Light Rain",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,Overcast
Zagreb,05/23/2021,53.2,75.2,59.7,50.2,72.74,,11.4,27.8,213.46,,0.17,8.33,0.0,20.0,81.1,1015.9,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/24/2021,44.5,59.0,53.8,48.9,84.12,,6.7,12.1,127.57,46.9,0.38,17.39,0.0,12.2,83.9,1020.3,"Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/25/2021,50.8,65.4,56.5,49.4,77.89,,13.2,21.8,133.78,,0.05,8.7,0.0,11.4,85.6,1017.7,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
