Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Zagreb,05/16/2020,48.1,60.9,55.2,45.6,71.64,,7.0,15.2,212.96,46.0,0.39,8.33,0.01,8.2,94.9,1022.9,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/17/2020,51.2,67.3,59.7,52.5,78.23,,6.6,11.0,212.21,,0.1,12.5,0.0,7.7,90.2,1020.5,"Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/18/2020,51.4,75.1,64.7,51.4,64.63,,6.6,11.2,136.58,,0.0,0.0,,14.6,60.0,1021.8,"Mist, Light Rain",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,Partially cloudy
Zagreb,05/19/2020,57.6,67.7,63.3,55.1,75.31,,8.7,10.6,173.75,,0.05,8.33,0.0,11.5,90.9,1017.9,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/20/2020,52.8,66.3,59.9,53.9,81.73,,10.8,17.9,136.25,,0.74,12.5,0.39,6.8,82.9,1015.2,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/21/2020,47.4,70.9,61.4,41.8,51.51,,13.1,18.1,139.79,46.1,0.0,0.0,0.0,25.8,24.3,1019.8,"Mist, Fog",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,Clear
Zagreb,05/22/2020,45.8,72.5,60.9,44.5,57.23,,4.5,11.3,232.25,,0.0,0.0,,22.8,47.9,1023.6,,45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,Partially cloudy
Zagreb,05/23/2020,57.4,77.3,67.5,54.5,64.79,,6.6,13.7,227.48,,0.02,4.35,0.0,16.7,82.3,1021.7,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Overcast"
Zagreb,05/24/2020,54.5,69.4,61.9,47.4,62.94,,8.8,16.4,171.67,,0.88,8.33,0.79,17.8,64.7,1025.7,"Rain, Heavy Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Partially cloudy"
Zagreb,05/25/2020,48.9,70.9,58.4,47.9,69.76,,15.4,21.6,166.58,47.5,0.16,8.33,,21.2,72.8,1026.5,"Drizzle, Precipitation In Vicinity, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain",45.8072,15.9676,"Zagreb, Hrvatska","Zagreb, Hrvatska",,"Rain, Partially cloudy"
