Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Budapest,05/16/2021,51.8,66.8,57.5,50.0,78.83,,8.7,15.7,184.33,,0.21,12.5,,25.9,1.6,1007.7,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/17/2021,51.9,58.3,54.5,50.9,88.0,,11.2,24.6,170.0,,0.65,12.5,,6.5,2.4,1004.7,"Rain, Light Rain, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/18/2021,52.7,66.0,57.9,46.4,66.32,,16.7,33.4,289.13,,0.06,8.33,0.0,24.8,1.2,1009.2,"Rain Showers, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/19/2021,45.0,64.6,54.0,47.3,79.64,,6.7,,262.92,49.0,0.17,8.33,,17.1,2.5,1011.6,"Rain Showers, Light Rain, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/20/2021,50.3,62.5,54.3,49.2,83.96,,11.3,24.6,293.13,,0.89,16.67,,26.5,1.6,1013.7,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/21/2021,45.8,69.2,59.3,46.5,65.22,,9.2,17.9,223.17,46.3,0.0,0.0,,26.5,1.5,1016.4,,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/22/2021,52.7,62.5,57.3,47.0,68.99,,8.8,17.9,197.54,,0.03,8.33,,16.9,2.3,1013.1,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/23/2021,50.4,57.3,53.3,50.8,91.46,,9.2,26.8,160.67,,1.1,12.5,0.0,11.8,2.1,1016.2,"Rain, Light Rain, Sky Coverage Decreasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/24/2021,43.6,63.2,55.2,49.2,81.17,,7.1,15.7,132.79,44.4,0.02,4.17,,21.7,2.3,1021.9,"Rain, Light Rain",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/25/2021,52.8,63.3,57.7,49.3,74.57,,10.7,24.6,260.42,,0.03,12.5,,25.8,2.3,1016.5,"Rain, Rain Showers, Sky Coverage Increasing, Sky Unchanged",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
