Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Budapest,05/16/2020,44.1,66.3,56.7,40.8,58.56,,6.9,,239.92,46.0,0.0,0.0,,16.5,1.9,1022.1,Fog,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/17/2020,51.9,68.5,58.1,49.2,74.16,,6.5,20.1,211.5,,0.12,8.33,,16.7,1.2,1020.8,Sky Coverage Increasing,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/18/2020,47.8,76.7,63.9,48.7,62.73,,6.4,15.7,215.21,,0.0,0.0,,17.2,0.4,1022.4,,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/19/2020,52.3,75.9,65.0,50.7,62.15,,9.9,,185.67,,0.0,4.17,,18.5,2.0,1018.7,Rain,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/20/2020,59.9,68.7,64.0,50.7,62.81,,6.5,26.8,157.58,,0.03,4.17,,19.6,1.5,1015.0,Sky Coverage Increasing,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/21/2020,45.5,68.1,59.9,36.3,43.97,,9.3,26.8,236.0,48.5,0.0,0.0,,29.4,0.5,1019.5,,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/22/2020,41.7,70.4,58.4,29.3,35.63,,6.8,,221.0,,0.0,0.0,,30.1,0.7,1023.4,,47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Clear
Budapest,05/23/2020,54.2,67.5,62.0,36.6,39.41,,6.6,,160.42,,0.01,4.17,,24.3,2.3,1023.0,"Rain, Light Rain, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/24/2020,53.7,66.7,60.2,46.0,61.74,,15.1,35.8,296.21,,0.25,12.5,,24.3,1.8,1022.9,"Precipitation In Vicinity, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
Budapest,05/25/2020,47.9,64.0,57.4,44.8,63.49,,12.5,24.6,285.71,,0.16,12.5,,20.1,1.8,1024.6,"Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Increasing",47.4997,19.0551,"Budapest, Magyarország","Budapest, Magyarország",,Rain
