Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Dublin,05/16/2021,39.1,55.7,49.3,45.0,85.72,,10.1,,120.0,35.9,0.03,8.33,0.0,10.1,64.3,996.3,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/17/2021,40.4,56.3,48.7,42.1,79.17,,13.1,20.8,272.25,34.9,0.05,8.33,0.0,14.1,64.7,1006.6,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/18/2021,41.9,55.9,48.9,42.3,78.65,,11.8,,217.33,38.1,0.11,8.33,0.0,14.6,55.9,1011.8,"Precipitation In Vicinity, Thunderstorm, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/19/2021,40.8,60.0,51.1,41.5,71.72,,11.4,,254.42,35.9,0.04,4.17,0.0,15.9,41.3,1017.7,"Drizzle, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/20/2021,48.1,56.4,51.2,46.5,84.26,,25.3,46.6,168.71,40.6,0.27,12.5,0.0,7.8,89.2,997.1,"Drizzle, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,05/21/2021,46.5,51.6,49.2,46.2,89.61,,21.2,26.4,296.88,38.8,0.46,12.5,0.39,7.1,94.4,991.2,"Drizzle, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,05/22/2021,37.5,54.1,46.7,38.5,73.68,,15.4,,285.25,30.2,0.01,4.17,0.0,14.9,72.7,1005.2,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/23/2021,43.3,54.4,46.5,39.9,78.01,,19.6,34.4,204.42,38.0,0.29,16.67,0.0,12.4,82.7,998.9,"Drizzle, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,05/24/2021,36.1,57.2,47.5,39.6,75.82,,21.3,,279.29,32.0,0.07,12.5,0.0,15.1,57.0,1002.5,"Hail Showers, Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/25/2021,44.0,56.3,50.1,43.4,78.56,,16.3,,244.21,37.7,0.26,12.5,0.0,11.2,57.5,1014.9,"Hail Showers, Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/26/2021,41.8,60.7,51.2,42.6,73.65,,9.5,,228.58,37.0,0.0,0.0,0.0,13.4,58.6,1017.0,,53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,Partially cloudy
Dublin,05/27/2021,45.3,60.1,53.2,44.9,74.61,,13.1,24.2,169.83,42.6,0.02,4.17,0.0,14.7,64.4,1018.4,"Drizzle, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Light Rain",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,05/28/2021,50.9,54.8,52.8,50.9,93.32,,12.4,,144.58,,0.4,12.5,0.39,7.4,92.9,1021.3,"Drizzle, Mist, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,05/29/2021,49.3,62.7,55.6,49.6,81.13,,8.6,,142.42,,0.03,4.17,0.0,12.7,76.4,1026.5,"Drizzle, Mist, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,05/30/2021,43.9,68.2,57.9,48.3,73.17,,12.0,,115.63,41.9,0.0,0.0,0.0,12.3,22.7,1026.8,"Mist, Fog",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,Clear
Dublin,05/31/2021,44.2,66.7,57.3,46.7,69.54,,15.9,,138.75,42.4,0.0,0.0,0.0,13.9,50.3,1018.8,"Mist, Fog, Sky Unchanged",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,Partially cloudy
Dublin,06/01/2021,51.5,66.7,59.8,50.1,71.56,,13.7,,91.21,,0.0,0.0,0.0,13.3,62.2,1013.8,"Mist, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,Partially cloudy
Dublin,06/02/2021,51.6,64.6,58.5,51.9,79.49,,11.5,,76.79,,0.16,8.33,,11.7,81.2,1011.6,"Drizzle, Mist, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Overcast"
Dublin,06/03/2021,51.7,64.6,59.0,49.3,72.04,,17.2,,170.54,,0.02,4.17,0.0,14.8,59.7,1014.6,"Mist, Rain Showers, Sky Coverage Increasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
Dublin,06/04/2021,48.4,64.7,56.7,44.6,65.0,,12.2,,190.17,44.3,0.04,4.17,0.0,17.7,58.3,1021.0,"Rain Showers, Sky Coverage Decreasing",53.3481,-6.24827,"Dublin, Ireland","Dublin, Ireland",,"Rain, Partially cloudy"
