Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Rome,05/16/2021,55.9,66.6,62.1,53.2,72.87,,12.2,,184.75,,0.2,8.33,,6.2,20.4,,"Light Drizzle, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/17/2021,58.0,70.3,64.2,53.9,69.77,,13.8,,197.42,,0.0,0.0,,6.2,19.9,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/18/2021,50.5,69.9,60.5,47.9,64.18,,13.0,,195.29,,0.0,0.0,,6.2,1.9,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/19/2021,56.6,68.8,62.4,54.0,74.26,,13.1,,210.75,,0.02,4.17,,6.1,38.7,,"Mist, Light Drizzle, Thunderstorm, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/20/2021,50.1,72.3,61.2,44.2,56.57,,14.7,,160.33,,0.17,12.5,,6.2,13.6,,"Precipitation In Vicinity, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/21/2021,50.3,72.7,62.1,46.1,57.23,,11.5,,188.17,,0.0,0.0,,6.2,2.8,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/22/2021,56.8,70.5,64.7,46.1,51.06,,18.7,,179.67,,0.01,4.17,,6.2,17.2,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/23/2021,61.1,71.9,66.5,55.9,69.57,,15.3,,180.5,,0.02,4.17,,6.2,26.9,,Light Rain,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/24/2021,60.7,83.1,69.2,56.3,69.23,81.6,20.0,,166.46,,0.06,12.5,,5.8,30.0,,"Drizzle, Mist, Precipitation In Vicinity, Fog, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/25/2021,57.3,72.8,65.0,56.3,75.35,,9.9,,238.54,,0.02,8.33,,5.6,29.0,,"Mist, Fog",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/26/2021,52.6,72.9,64.3,50.4,62.21,,10.0,,164.21,,0.0,0.0,,6.2,10.9,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/27/2021,52.1,73.8,63.9,49.0,60.38,,12.5,,182.17,,0.0,0.0,,6.2,3.3,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/28/2021,51.8,78.4,66.2,50.7,59.43,,9.9,,173.33,,0.0,0.0,,6.2,2.2,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/29/2021,57.1,77.7,67.4,51.5,58.89,,10.7,,206.71,,0.01,4.17,,6.2,2.3,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/30/2021,59.0,74.2,66.2,56.9,73.43,,11.0,,178.5,,0.05,8.33,,6.2,18.1,,"Light Drizzle, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/31/2021,56.2,75.3,66.1,49.9,57.66,,13.1,,190.83,,0.0,0.0,,6.2,17.1,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/01/2021,55.2,78.3,67.2,49.7,56.41,,12.6,,164.92,,0.0,0.0,,6.2,2.4,1016.3,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/02/2021,56.8,78.2,68.1,50.1,55.14,,10.2,,166.75,,0.0,0.0,,6.2,2.1,1018.7,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/03/2021,57.4,84.0,70.9,47.4,46.62,81.6,11.4,,194.58,,0.0,0.0,,6.2,0.8,1022.3,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/04/2021,58.2,85.7,72.1,47.9,45.44,82.8,12.4,,146.13,,0.0,0.0,,6.2,0.0,1023.2,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/05/2021,64.6,77.0,70.8,55.8,59.47,,6.1,,196.79,,0.0,0.0,,6.2,30.8,1022.0,Light Rain,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Partially cloudy
Rome,06/06/2021,63.1,80.3,69.8,56.2,65.5,79.5,14.6,,153.33,,0.12,4.17,,6.1,33.5,1017.8,"Light Drizzle, Rain, Heavy Rain, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/07/2021,60.9,80.1,69.1,61.2,77.8,81.0,13.4,,162.54,,0.5,8.33,,5.8,47.2,1015.9,"Rain, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/08/2021,62.9,78.0,67.5,62.6,85.11,,13.3,,197.92,,0.55,8.33,,5.6,37.6,1015.9,"Lightning Without Thunder, Mist, Precipitation In Vicinity, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/09/2021,58.8,83.4,67.8,60.5,80.26,83.5,13.2,25.3,149.21,,0.26,4.17,,6.0,23.7,1015.2,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/10/2021,59.1,88.9,71.1,59.4,70.72,86.5,12.8,,128.21,,0.17,8.33,,6.1,14.9,1015.0,"Lightning Without Thunder, Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/11/2021,61.1,85.5,71.8,59.8,68.85,85.4,17.8,,152.92,,0.13,8.33,,6.2,16.9,1014.9,"Thunderstorm, Thunderstorm Without Precipitation",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/12/2021,61.5,85.4,73.8,58.4,61.16,84.1,10.5,,176.29,,0.0,0.0,,6.2,7.0,1016.6,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/13/2021,63.7,88.7,76.1,59.8,60.0,89.2,12.4,,228.88,,0.0,0.0,,6.2,0.0,1017.4,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/14/2021,66.9,85.8,76.0,64.7,69.41,88.7,11.5,,201.63,,0.01,4.17,,6.2,8.4,1016.0,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/15/2021,67.3,81.9,74.3,62.2,67.74,82.5,11.2,,200.04,,0.0,0.0,,6.2,2.4,1016.9,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/16/2021,64.3,83.7,73.7,64.3,73.49,85.3,10.0,,176.14,,0.0,0.0,,6.2,9.5,1016.2,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
