Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Rome,05/16/2020,61.3,83.2,70.9,52.6,54.32,81.9,16.5,,45.33,,0.04,4.17,,6.2,16.3,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/17/2020,66.0,78.0,73.1,58.0,59.74,,14.1,,182.29,,0.15,12.5,,6.1,4.8,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/18/2020,61.6,80.1,70.9,58.2,66.63,80.8,10.7,,132.04,,0.06,8.33,,6.2,17.8,,Light Rain,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/19/2020,61.2,74.6,67.8,58.7,73.94,,13.5,,205.88,,0.04,8.33,,6.2,39.6,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/20/2020,59.3,75.7,65.6,56.8,74.55,,15.1,,116.38,,0.49,16.67,,6.2,36.2,,"Thunderstorm, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/21/2020,61.5,80.0,70.2,48.3,47.8,,16.4,,85.29,,0.12,12.5,,6.2,8.1,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/22/2020,57.9,81.2,68.6,45.3,45.33,79.7,13.2,,150.63,,0.06,8.33,,6.2,0.0,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/23/2020,55.7,80.1,69.1,53.2,61.76,79.7,11.7,,193.67,,0.0,0.0,,6.2,0.0,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,05/24/2020,61.9,78.5,69.6,54.9,60.48,,12.4,,208.21,,0.02,4.17,,6.2,3.6,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/25/2020,60.0,78.4,69.8,54.3,60.95,,13.2,,188.58,,0.01,4.17,,6.2,10.3,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/26/2020,56.8,76.6,67.7,45.3,47.89,,16.3,,151.96,,0.04,8.33,,6.2,11.5,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/27/2020,54.8,75.4,66.4,40.7,39.83,,13.2,,117.92,,0.35,12.5,,6.2,14.3,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/28/2020,54.7,74.9,65.5,44.5,48.21,,10.5,,160.79,,0.07,8.33,,6.2,11.5,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,05/29/2020,56.3,69.8,61.0,52.7,75.44,,12.0,,149.75,,0.82,12.5,,5.9,35.5,,"Lightning Without Thunder, Light Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Funnel Cloud/Tornado",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/30/2020,51.5,66.5,59.3,51.2,76.02,,9.6,,159.29,,0.6,12.5,,6.1,28.7,,"Precipitation In Vicinity, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,05/31/2020,52.0,72.8,63.1,51.0,67.02,,13.4,,156.58,,0.18,12.5,,6.2,11.3,,Fog,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/01/2020,56.1,75.5,66.7,51.3,59.86,,10.5,,159.96,,0.04,4.17,,6.2,13.8,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/02/2020,59.0,75.3,67.2,53.7,63.22,,11.5,,176.42,,0.01,4.17,,6.2,19.1,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/03/2020,57.7,77.4,67.9,54.9,65.98,,11.1,,202.71,,0.17,8.33,,6.2,8.7,,"Drizzle, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/04/2020,63.1,75.9,68.7,57.1,68.04,,21.9,,163.5,,0.05,9.09,,6.2,34.5,,"Mist, Thunderstorm, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/05/2020,62.0,71.3,67.6,60.0,77.61,,18.3,,202.08,,0.72,16.67,,5.8,52.3,,"Lightning Without Thunder, Mist, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/06/2020,57.9,78.6,67.9,56.4,69.37,,13.7,,186.92,,0.05,8.33,,6.2,1.7,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/07/2020,61.7,77.3,69.1,58.1,69.71,,15.2,,169.96,,0.0,0.0,,6.2,19.2,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Clear
Rome,06/08/2020,65.3,74.3,70.1,59.9,70.88,,15.8,,183.0,,0.27,12.5,,6.2,39.7,,"Thunderstorm, Rain Showers",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/09/2020,62.6,72.9,67.2,56.1,68.61,,11.4,,201.25,,0.08,4.17,,6.2,30.1,,Mist,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/10/2020,62.3,69.5,65.6,55.2,69.45,,16.4,,219.92,,0.09,12.5,,6.2,53.2,,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/11/2020,58.6,66.4,62.3,56.6,81.97,,8.8,,181.29,,1.01,16.67,,5.9,46.8,,"Mist, Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
Rome,06/12/2020,54.3,75.5,65.5,53.8,67.94,,11.2,,168.58,,0.02,8.33,,6.2,6.2,,Fog,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/13/2020,58.2,78.8,67.6,58.5,74.89,,15.4,,163.63,,0.04,8.33,,6.1,8.4,,Light Rain,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,Rain
Rome,06/14/2020,62.8,72.9,68.0,60.9,78.73,,15.3,,219.08,,0.04,4.17,,6.2,45.0,,,41.9032,12.4957,"Roma, Lazio, Italia","Roma, Lazio, Italia",,"Rain, Partially cloudy"
