Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Astana,05/16/2021,55.4,84.6,70.6,45.3,44.08,81.9,17.9,,263.17,,0.0,0.0,,6.2,34.8,1020.2,"Lightning Without Thunder, Thunderstorm",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/17/2021,58.1,87.8,74.0,47.5,41.92,84.4,11.2,,162.0,,0.04,4.17,,6.2,19.3,1018.3,Sky Coverage Increasing,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Rain
Astana,05/18/2021,57.2,87.8,72.4,49.9,47.26,84.7,17.9,29.1,205.67,,0.0,0.0,,6.2,34.8,1013.8,"Lightning Without Thunder, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/19/2021,51.8,66.8,62.2,48.6,61.33,,22.4,33.6,94.14,,0.0,4.17,,6.2,62.4,1012.8,"Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/20/2021,45.5,68.0,57.8,38.2,51.24,,13.4,17.9,126.91,44.4,0.0,0.0,,6.2,18.4,1020.8,Mist,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/21/2021,46.4,78.8,65.5,39.7,42.5,,14.3,,252.13,44.2,0.0,0.0,,6.2,12.1,1022.0,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/22/2021,55.4,86.0,71.7,43.4,39.48,82.9,11.9,,275.79,,0.0,0.0,,6.2,21.8,1023.2,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/23/2021,55.4,86.5,73.8,45.3,40.54,83.2,8.9,,179.35,,0.0,0.0,,6.2,11.5,1022.5,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/24/2021,55.4,93.2,76.9,49.6,42.72,89.6,6.7,,166.45,,0.0,0.0,,6.2,18.6,1020.5,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/25/2021,62.6,95.0,81.2,50.5,39.58,91.1,11.2,15.7,201.26,,0.0,0.0,,6.2,5.1,1017.9,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/26/2021,62.6,93.2,77.8,52.6,45.26,89.8,17.9,,179.67,,0.0,0.0,,6.1,28.3,1011.3,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/27/2021,59.0,77.0,68.2,46.8,49.79,,20.1,,56.5,,0.18,8.33,,6.2,26.2,1011.1,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,"Rain, Partially cloudy"
Astana,05/28/2021,46.9,71.6,59.9,39.2,48.75,,13.4,22.4,69.63,42.8,0.0,0.0,,6.2,1.2,1020.6,Mist,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/29/2021,44.6,80.6,65.0,36.4,39.64,78.9,15.7,,98.63,39.8,0.0,0.0,,6.2,0.0,1017.6,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
