Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Astana,05/16/2020,46.4,77.0,63.3,48.9,64.37,,17.9,24.6,220.75,42.0,0.02,4.17,,6.2,41.7,1012.6,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,"Rain, Partially cloudy"
Astana,05/17/2020,50.0,80.6,66.2,48.7,58.42,79.4,17.9,,200.42,,0.0,0.0,,6.2,36.5,1012.4,"Lightning Without Thunder, Rain Showers",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/18/2020,57.2,73.4,65.4,53.5,66.7,,17.9,35.8,139.25,,0.02,4.17,,6.1,57.4,1007.9,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,"Rain, Partially cloudy"
Astana,05/19/2020,51.8,62.6,57.5,47.8,72.05,,24.6,35.8,206.83,,0.47,8.33,,6.2,52.5,1009.8,Sky Coverage Increasing,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,"Rain, Partially cloudy"
Astana,05/20/2020,44.6,70.5,58.8,43.2,59.21,,24.6,35.8,184.96,40.8,0.0,0.0,,6.1,51.5,1014.5,"Lightning Without Thunder, Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/21/2020,47.0,64.4,56.1,37.5,54.75,,20.1,35.8,227.25,42.8,0.0,4.17,,6.2,42.4,1017.2,"Precipitation In Vicinity, Rain Showers, Sky Coverage Increasing",51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/22/2020,51.8,66.2,59.9,44.6,57.47,,24.6,,185.46,,0.0,0.0,,6.2,65.5,1020.7,Rain Showers,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Partially cloudy
Astana,05/23/2020,53.1,86.0,69.4,47.6,50.03,83.2,13.4,,212.64,,0.0,0.0,,6.2,19.2,1020.9,Sky Coverage Increasing,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/24/2020,57.2,91.4,77.0,52.8,46.23,89.0,11.2,17.9,183.87,,0.0,0.0,,6.2,20.5,1023.1,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/25/2020,59.0,93.9,79.9,51.6,43.63,90.0,6.7,,126.13,,0.0,0.0,,6.2,3.9,1024.8,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/26/2020,64.4,95.0,80.1,51.3,40.64,91.9,15.7,24.6,201.52,,0.0,0.0,,6.2,3.1,1020.6,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/27/2020,51.8,72.1,61.7,43.3,53.53,,22.4,33.6,56.29,,0.0,0.0,,6.2,21.8,1025.6,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/28/2020,42.8,76.1,62.6,38.3,45.73,,8.9,,103.13,38.7,0.0,0.0,,6.2,1.3,1023.4,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/29/2020,44.6,85.4,69.4,38.0,37.82,82.2,8.9,20.1,191.64,44.4,0.0,0.0,,6.2,13.5,1016.5,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/30/2020,57.2,80.7,69.8,44.6,44.3,79.1,13.4,,124.04,,0.0,0.0,,6.2,15.9,1014.3,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
Astana,05/31/2020,48.1,95.0,76.0,42.7,36.62,90.7,22.4,,189.96,,0.0,0.0,,6.2,12.5,1011.6,,51.1277,71.4283,"Нұр-Сұлтан, Қазақстан","Нұр-Сұлтан, Қазақстан",,Clear
