Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Vaduz,05/16/2020,43.1,63.5,52.2,45.9,80.57,,6.9,11.4,240.46,,0.02,50.0,0.0,9.5,24.4,1020.9,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,05/17/2020,52.9,70.9,60.5,46.2,63.36,,10.3,21.9,279.21,,0.0,0.0,0.0,9.4,17.8,1020.1,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/18/2020,45.6,74.9,60.2,46.1,63.17,,11.4,24.2,235.33,,0.0,4.17,104.33,6.8,9.9,1022.0,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/19/2020,48.4,74.3,62.7,47.4,60.7,,11.4,26.4,247.63,,0.0,0.0,103.94,7.3,15.7,1019.2,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/20/2020,56.5,73.4,65.7,46.8,51.41,,11.4,23.0,242.54,,0.0,0.0,106.3,9.3,17.0,1018.3,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/21/2020,48.8,77.0,63.3,46.2,57.4,,10.3,19.7,230.38,,0.0,0.0,0.0,10.3,1.2,1020.5,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/22/2020,56.0,80.3,68.5,47.1,47.52,79.5,6.9,16.4,191.13,,0.0,0.0,0.0,9.6,16.1,1021.8,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/23/2020,51.5,77.2,63.7,48.5,60.83,,17.3,49.5,181.87,,0.34,37.5,0.39,5.6,26.5,1023.6,"Mist, Thunderstorm, Rain, Heavy Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,05/24/2020,44.8,64.6,54.6,41.8,66.7,,4.7,18.4,225.75,43.5,0.01,12.5,0.0,5.5,17.0,1032.1,"Mist, Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,05/25/2020,45.2,66.2,56.8,42.8,61.2,,11.4,21.9,244.42,44.8,0.0,0.0,102.36,6.4,24.0,1031.9,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/26/2020,45.6,68.9,59.0,42.7,57.6,,11.4,26.4,245.33,,0.0,0.0,98.43,9.7,13.2,1031.5,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/27/2020,44.9,72.7,59.1,39.9,53.38,,10.3,24.2,250.46,,0.0,0.0,0.0,10.5,4.1,1030.5,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/28/2020,48.4,71.8,59.8,42.2,54.28,,11.4,26.4,211.79,,0.0,16.67,0.0,6.2,19.0,1027.2,"Mist, Precipitation In Vicinity, Light Drizzle, Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/29/2020,47.0,69.1,58.4,41.5,57.24,,13.9,30.0,261.71,45.9,0.0,0.0,0.0,10.9,8.3,1022.5,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/30/2020,45.5,67.6,56.9,41.1,58.63,,11.4,25.3,267.79,,0.0,0.0,0.0,8.1,12.8,1018.9,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,05/31/2020,43.4,70.3,57.5,40.5,56.83,,11.4,24.2,269.96,,0.0,0.0,0.0,11.5,12.4,1017.9,Mist,47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/01/2020,46.5,77.5,63.5,42.6,48.72,,11.4,26.4,222.38,,0.0,0.0,0.0,6.8,6.2,1017.4,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/02/2020,51.5,78.4,65.7,45.3,50.97,,10.3,23.0,236.38,,0.0,0.0,70.87,7.4,5.4,1015.0,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/03/2020,57.4,79.4,66.2,46.4,52.16,,13.8,27.8,218.04,,0.14,12.5,68.9,7.2,19.0,1007.0,"Mist, Rain, Thunderstorm, Rain Showers, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/04/2020,53.3,65.0,58.4,53.4,83.92,,8.1,13.9,228.86,,0.52,68.18,66.93,5.4,30.2,999.9,"Mist, Rain, Rain Showers, Light Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/05/2020,51.5,64.4,57.0,48.7,75.26,,7.0,14.0,187.13,,0.12,62.5,0.39,5.0,26.1,1002.0,"Mist, Light Drizzle, Rain, Rain Showers, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/06/2020,55.6,70.4,61.6,51.5,70.72,,8.1,23.1,240.67,,0.29,33.33,49.56,7.9,24.4,1005.0,"Mist, Rain, Fog, Heavy Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/07/2020,47.0,58.7,52.2,48.3,86.76,,6.9,15.0,233.96,44.7,1.89,75.0,49.66,5.3,28.1,1010.5,"Mist, Light Snow, Light Drizzle, Rain, Rain Showers, Heavy Rain, Smoke Or Haze, Snow",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/08/2020,46.4,61.4,53.4,46.0,76.73,,5.8,15.3,201.46,44.9,0.17,25.0,51.02,7.1,23.2,1012.5,"Mist, Rain, Fog, Light Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/09/2020,50.6,65.5,56.6,48.4,75.08,,11.4,27.7,211.96,,0.1,54.17,68.9,7.3,22.8,1012.4,"Mist, Rain, Heavy Rain And Snow, Fog, Rain Showers, Heavy Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/10/2020,52.4,57.2,54.9,52.3,91.02,,5.8,13.9,182.5,,1.43,100.0,51.22,5.4,33.1,1012.4,"Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Rain And Snow, Rain Showers, Fog, Heavy Rain, Light Rain",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/11/2020,52.4,67.3,57.9,51.3,80.03,,8.0,16.1,204.63,,0.18,62.5,50.83,6.1,24.0,1009.3,"Drizzle, Mist, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/12/2020,52.1,77.9,68.8,42.5,42.08,,24.1,47.2,196.29,,0.0,0.0,0.0,9.0,0.4,1005.7,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/13/2020,57.8,78.1,68.7,48.6,50.05,,16.1,40.2,198.67,,0.27,20.83,64.96,12.1,14.1,1009.3,"Rain, Fog, Heavy Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/14/2020,55.1,59.0,57.0,54.3,90.93,,3.4,28.9,246.75,,0.28,95.83,46.65,3.6,16.6,1017.1,"Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/15/2020,56.0,64.6,59.3,54.9,85.85,,5.8,11.4,284.29,,0.02,79.17,62.99,5.7,33.1,1018.8,"Mist, Rain, Rain Showers, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/16/2020,56.3,68.2,60.6,54.9,82.49,,8.1,16.1,227.0,,0.13,62.5,45.19,6.4,28.5,1016.5,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Fog, Light Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/17/2020,57.4,61.9,59.5,55.0,85.35,,4.7,11.4,187.71,,0.06,75.0,59.06,4.4,29.0,1012.3,"Drizzle, Mist, Light Drizzle, Rain, Fog",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/18/2020,52.0,72.5,61.1,50.6,71.6,,11.4,20.8,181.83,,0.04,37.5,40.81,6.8,24.4,1014.1,"Mist, Precipitation In Vicinity, Rain, Fog, Light Rain, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Rain
Vaduz,06/19/2020,54.7,61.9,57.3,52.6,84.57,,7.0,15.0,259.58,,0.08,66.67,37.9,6.8,30.6,1019.0,"Drizzle, Mist, Light Drizzle, Rain, Heavy Rain And Snow, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze, Snow",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,"Rain, Partially cloudy"
Vaduz,06/20/2020,51.5,72.1,60.0,50.8,73.84,,10.3,27.7,226.42,,0.0,8.33,36.44,8.3,19.9,1021.5,"Mist, Rain, Fog, Sky Coverage Increasing, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/21/2020,53.8,72.7,61.8,52.8,74.08,,4.7,12.8,196.58,,0.0,16.67,46.06,15.5,20.3,1021.7,"Mist, Light Drizzle, Rain, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/22/2020,56.0,76.6,64.9,55.0,72.2,,6.9,15.0,225.08,,0.0,8.33,32.07,5.2,30.2,1023.6,"Mist, Rain, Fog, Sky Coverage Decreasing, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Partially cloudy
Vaduz,06/23/2020,55.1,80.8,68.4,54.5,63.39,81.1,11.4,25.3,240.42,,0.0,0.0,39.37,8.2,8.7,1021.7,"Mist, Fog, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
Vaduz,06/24/2020,57.5,81.7,69.5,53.3,60.06,80.6,12.7,23.1,252.46,,0.0,0.0,37.4,13.2,0.0,1019.0,"Mist, Smoke Or Haze",47.1388,9.52164,"Vaduz, Liechtenstein","Vaduz, Liechtenstein",,Clear
