Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Vilnius,05/16/2021,50.0,68.9,59.8,49.2,71.48,,13.3,23.8,174.61,,0.59,16.67,,5.2,49.0,1007.9,"Mist, Rain Showers, Fog, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/17/2021,53.6,62.6,58.6,54.2,85.73,,9.7,16.9,160.38,,0.71,25.0,,6.2,83.3,1005.3,"Precipitation In Vicinity, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Overcast"
Vilnius,05/18/2021,50.0,57.2,54.5,52.7,93.86,,12.7,18.5,253.63,,1.07,37.5,,5.9,95.5,1001.9,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Overcast"
Vilnius,05/19/2021,48.2,57.2,52.3,47.9,85.46,,14.9,23.9,278.92,42.7,0.05,20.83,,5.6,94.3,1004.1,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Overcast"
Vilnius,05/20/2021,48.2,60.8,53.5,46.4,78.9,,19.0,23.9,310.21,43.9,0.21,20.83,,6.1,74.7,1007.7,"Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Light Rain",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/21/2021,41.8,57.2,50.3,41.8,74.0,,16.1,24.3,231.17,36.6,0.46,25.0,0.79,6.2,61.5,1009.5,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/22/2021,45.5,64.4,54.5,47.0,76.75,,15.0,21.4,161.54,41.6,1.1,33.33,,5.9,60.3,1005.7,"Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/23/2021,46.4,59.0,51.9,48.2,87.95,,15.0,25.3,243.17,43.9,1.1,41.67,,5.8,90.6,1007.5,"Mist, Light Drizzle, Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Overcast"
Vilnius,05/24/2021,44.6,62.6,53.6,42.2,68.6,,10.3,20.1,264.3,42.1,0.11,12.5,,5.3,41.8,1019.3,"Mist, Precipitation In Vicinity, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/25/2021,50.0,60.8,55.5,47.2,74.24,,10.9,22.4,130.04,49.3,0.21,16.67,,6.2,47.8,1017.2,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
Vilnius,05/26/2021,46.4,59.1,54.4,46.6,76.69,,20.4,24.9,199.21,40.8,1.97,50.0,,5.9,77.5,1013.1,"Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Overcast"
Vilnius,05/27/2021,45.5,63.4,54.4,47.1,77.06,,14.7,22.4,193.57,42.4,0.37,37.5,,6.2,47.4,1013.7,"Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Increasing",54.6906,25.2698,"Vilnius, Vilniaus Apskritis, Lietuva","Vilnius, Vilniaus Apskritis, Lietuva",,"Rain, Partially cloudy"
