Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Luxembourg,05/16/2021,45.4,57.1,50.1,45.9,86.52,,21.7,24.6,211.71,41.4,0.48,79.17,,12.0,84.6,1003.7,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/17/2021,45.2,56.7,50.0,45.8,86.33,,23.9,27.7,237.96,40.6,0.64,100.0,,10.2,84.6,1006.4,Rain Showers,49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/18/2021,45.9,54.0,48.6,45.3,88.79,,13.3,20.1,250.04,40.7,0.59,66.67,,12.1,78.5,1014.5,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/19/2021,43.1,55.5,48.2,43.8,85.3,,21.6,29.3,253.08,39.1,0.19,50.0,,12.6,73.2,1018.2,"Mist, Fog, Rain Showers, Sky Coverage Increasing, Sky Unchanged",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Partially cloudy"
Luxembourg,05/20/2021,43.8,57.7,50.8,43.0,76.61,,13.4,21.7,240.0,39.9,0.02,12.5,,14.0,89.0,1020.5,"Rain Showers, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/21/2021,48.2,58.8,53.6,41.3,63.69,,24.6,37.9,218.04,42.8,0.08,8.33,,17.1,71.6,1008.8,Thunderstorm,49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Partially cloudy"
Luxembourg,05/22/2021,44.5,55.9,49.0,43.1,80.95,,24.4,37.6,222.46,37.7,0.43,75.0,,13.1,76.4,1008.2,"Precipitation In Vicinity, Thunderstorm, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/23/2021,44.3,57.8,50.2,41.5,73.94,,19.9,30.7,224.5,38.6,0.02,29.17,,15.9,62.9,1015.2,"Rain Showers, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Partially cloudy"
Luxembourg,05/24/2021,44.7,55.7,48.8,44.3,84.66,,15.8,42.5,189.67,39.2,0.46,45.83,,14.5,58.1,1012.0,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Partially cloudy"
Luxembourg,05/25/2021,42.6,54.8,46.5,42.2,85.73,,26.2,40.3,230.0,34.5,0.28,79.17,,11.7,90.7,1016.2,"Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/26/2021,44.3,53.3,48.3,45.0,88.96,,19.7,24.5,240.21,39.8,0.78,95.83,,9.9,81.6,1014.7,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/27/2021,39.3,57.9,49.4,43.8,82.05,,17.5,18.8,268.96,34.4,0.04,16.67,,15.6,57.7,1019.5,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Partially cloudy"
Luxembourg,05/28/2021,40.9,62.4,52.9,42.9,70.98,,11.1,20.1,54.08,36.4,0.0,0.0,,16.8,40.3,1022.9,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Partially cloudy
