Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Luxembourg,05/16/2020,42.6,66.2,54.3,33.5,46.78,,15.2,15.4,128.67,37.4,0.0,0.0,,20.9,11.3,1022.3,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/17/2020,43.2,65.8,54.8,36.5,52.5,,11.0,16.6,99.83,38.1,0.0,0.0,,20.7,6.4,1023.6,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/18/2020,43.3,72.2,60.4,41.9,52.54,,11.0,17.4,212.04,39.3,0.0,4.17,,21.6,11.3,1023.7,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/19/2020,50.4,76.6,64.6,39.0,41.82,,13.2,16.3,216.71,,0.0,0.0,,22.4,3.6,1021.7,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/20/2020,56.6,77.1,66.6,50.3,57.15,,13.1,22.0,33.67,,0.0,0.0,,23.2,15.0,1020.7,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/21/2020,54.8,78.5,67.4,51.3,58.51,,13.1,16.1,142.96,,0.0,0.0,,18.8,20.2,1020.6,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/22/2020,58.7,78.1,67.7,55.5,66.24,,15.6,23.3,216.58,,0.0,8.33,,19.4,70.3,1019.6,"Light Rain, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,Partially cloudy
Luxembourg,05/23/2020,47.7,61.5,53.7,47.3,79.51,,15.4,28.6,271.63,45.0,0.61,79.17,,14.9,87.0,1025.6,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",49.6096,6.129659999999999,Luxembourg,Luxembourg,,"Rain, Overcast"
Luxembourg,05/24/2020,42.9,60.4,52.3,44.3,75.71,,15.4,19.9,264.17,38.8,0.0,4.17,,15.7,57.3,1031.3,Sky Coverage Decreasing,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Partially cloudy
Luxembourg,05/25/2020,46.4,65.8,57.2,46.9,70.62,,13.1,18.8,222.46,43.1,0.0,0.0,,15.2,48.8,1033.4,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Partially cloudy
Luxembourg,05/26/2020,49.0,71.9,61.1,44.3,57.36,,13.1,22.3,52.29,45.3,0.0,0.0,,18.4,20.3,1033.7,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/27/2020,50.7,74.7,63.1,43.3,50.73,,11.0,17.2,58.83,,0.0,0.0,,21.4,21.4,1032.4,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/28/2020,54.9,71.8,63.1,41.2,47.98,,17.6,24.6,41.42,,0.0,0.0,,21.1,18.1,1029.4,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/29/2020,49.8,70.8,61.3,37.0,41.66,,13.3,25.3,57.83,45.4,0.0,0.0,,23.8,9.6,1025.6,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/30/2020,51.5,70.9,61.7,37.2,41.44,,13.3,21.9,60.63,,0.0,0.0,,24.4,16.4,1021.6,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,05/31/2020,49.8,69.4,60.5,38.1,44.44,,13.3,24.2,61.0,46.2,0.0,0.0,,24.7,21.4,1020.4,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,06/01/2020,52.3,77.5,65.6,43.1,46.02,,13.4,27.1,72.79,,0.0,4.17,,20.8,8.0,1019.5,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Clear
Luxembourg,06/02/2020,57.4,81.1,69.8,45.0,42.68,79.7,11.0,13.0,125.96,,0.0,0.0,,21.0,33.3,1015.9,,49.6096,6.129659999999999,Luxembourg,Luxembourg,,Partially cloudy
