Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"56.949650,24.105186",05/16/2021,41.1,69.9,57.3,47.7,73.21,,9.2,,150.0,39.2,0.0,0.0,,6.0,27.3,1007.0,Fog,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/17/2021,53.7,62.7,58.8,54.0,84.61,,10.3,8.9,130.95,,0.06,4.17,,6.2,47.7,1004.9,"Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,"Rain, Partially cloudy"
"56.949650,24.105186",05/18/2021,46.5,53.7,50.6,49.4,95.69,,11.4,15.9,342.17,,0.09,8.33,,5.8,51.1,1004.3,"Mist, Fog, Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,"Rain, Partially cloudy"
"56.949650,24.105186",05/19/2021,48.3,59.1,53.5,46.5,78.88,,16.1,15.7,326.67,43.4,0.47,4.17,,6.2,40.3,1004.0,"Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,"Rain, Partially cloudy"
"56.949650,24.105186",05/20/2021,48.2,55.5,52.0,43.9,74.5,,11.4,9.2,312.59,47.4,0.0,0.0,,6.2,4.9,1007.6,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/21/2021,42.9,59.1,51.1,40.5,69.38,,13.9,25.3,225.42,40.1,0.0,0.0,,6.2,34.3,1005.2,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/22/2021,44.7,66.3,55.5,45.9,72.46,,11.4,,188.64,43.3,0.0,0.0,,6.2,56.9,1003.3,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/23/2021,48.3,59.1,52.2,48.6,88.4,,6.9,12.9,247.62,45.1,0.27,4.17,,6.2,71.8,1005.3,"Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,"Rain, Partially cloudy"
"56.949650,24.105186",05/24/2021,42.9,62.7,52.5,41.6,70.16,,11.4,19.7,230.83,37.5,0.0,0.0,,6.2,29.0,1016.5,Rain Showers,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/25/2021,44.7,64.5,56.1,45.3,69.94,,12.8,17.8,106.19,,0.0,0.0,,6.0,28.3,1016.9,Light Rain,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
