Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"56.949650,24.105186",05/16/2020,42.9,50.1,45.6,42.1,87.72,,15.0,21.9,231.25,37.6,0.0,0.0,,6.2,76.5,1008.0,Rain Showers,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Overcast
"56.949650,24.105186",05/17/2020,41.1,50.1,46.2,38.7,76.19,,15.0,21.9,228.7,36.5,0.0,0.0,,6.2,38.9,1009.0,"Precipitation In Vicinity, Rain Showers",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/18/2020,39.3,51.9,46.2,35.7,68.8,,12.8,,277.73,35.8,0.0,0.0,,6.2,26.7,1011.4,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/19/2020,32.1,53.7,42.7,38.1,84.71,,10.3,,210.0,26.5,0.0,0.0,,6.2,24.4,1012.8,Rain Showers,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/20/2020,39.3,50.1,45.9,37.5,72.97,,23.0,,326.36,38.0,0.0,0.0,,6.2,31.2,1017.7,Rain Showers,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/21/2020,42.8,50.1,47.3,38.1,71.07,,20.8,35.8,321.67,38.0,0.0,0.0,,6.2,9.9,1019.9,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/22/2020,46.4,55.5,50.7,39.2,65.64,,15.0,,299.58,42.4,0.0,0.0,,6.2,4.2,1022.6,Rain Showers,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/23/2020,33.9,66.3,53.2,33.4,54.14,,9.2,,148.5,45.3,0.0,0.0,,6.1,0.0,1022.5,Fog,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/24/2020,46.5,55.5,51.8,44.5,77.41,,8.1,,171.73,,0.0,0.0,,6.0,33.5,1017.1,"Fog, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/25/2020,35.7,55.5,46.8,44.3,91.56,,9.2,,274.74,43.6,0.0,0.0,,4.7,49.2,1022.3,"Mist, Fog",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",05/26/2020,39.3,64.5,55.2,43.5,69.48,,14.9,,297.92,43.3,0.0,0.0,,4.4,11.0,1030.7,"Mist, Fog",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/27/2020,44.7,69.9,57.4,42.6,62.68,,9.1,20.8,275.56,45.3,0.0,0.0,,6.2,6.1,1028.1,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/28/2020,48.3,60.9,53.9,45.9,75.82,,16.1,,310.95,47.4,0.0,0.0,,6.2,19.8,1025.0,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/29/2020,46.5,59.1,53.1,43.2,70.29,,19.6,,339.58,42.0,0.0,0.0,,6.2,0.0,1025.4,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/30/2020,46.5,66.3,57.8,42.8,59.26,,23.0,,282.92,43.0,0.0,0.0,,6.2,0.0,1021.6,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",05/31/2020,53.7,68.1,60.8,39.2,45.94,,26.4,28.9,104.17,,0.0,0.0,,6.2,0.0,1021.1,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",06/01/2020,41.1,62.7,55.7,37.9,52.77,,19.7,31.1,259.17,39.2,0.0,0.0,,6.2,0.0,1022.7,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",06/02/2020,42.9,62.7,54.9,38.7,55.36,,19.7,,249.17,41.2,0.0,0.0,,6.2,0.0,1017.4,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",06/03/2020,46.5,60.9,55.7,41.7,60.08,,8.1,,142.38,45.3,0.0,0.0,,6.2,29.6,1010.3,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/04/2020,42.9,64.5,56.2,48.5,76.83,,10.3,,186.52,45.3,0.0,0.0,,6.2,26.7,1003.9,Fog,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/05/2020,50.1,73.5,62.6,48.8,67.08,,17.2,24.2,164.74,,0.0,0.0,,4.9,22.4,999.2,"Mist, Fog",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",06/06/2020,57.3,66.3,61.6,51.0,70.15,,16.1,25.3,192.08,,0.0,0.0,,6.2,51.3,1000.4,"Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/07/2020,50.1,71.7,61.2,54.7,80.61,,9.2,,131.43,,0.0,0.0,,6.2,26.5,1010.3,"Lightning Without Thunder, Rain Showers, Fog",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/08/2020,57.3,75.3,64.4,61.4,90.81,,9.2,,188.75,,0.0,0.0,,4.8,63.3,1009.3,"Lightning Without Thunder, Mist, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/09/2020,55.5,59.1,57.5,56.7,97.12,,8.1,,333.91,,0.0,0.0,,3.9,81.8,1015.1,"Mist, Fog, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Overcast
"56.949650,24.105186",06/10/2020,57.3,69.9,62.9,60.6,92.74,,11.4,,293.75,,0.0,0.0,,4.6,65.6,1015.6,"Mist, Fog, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/11/2020,64.5,73.5,67.5,63.3,86.96,,13.9,,87.08,,0.0,0.0,,5.9,53.0,1014.1,"Lightning Without Thunder, Thunderstorm, Rain Showers",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/12/2020,62.7,75.3,68.0,62.7,83.56,,12.8,,58.75,,0.0,0.0,,6.2,68.3,1015.8,"Lightning Without Thunder, Rain Showers",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/13/2020,57.3,73.5,66.3,48.9,56.91,,16.1,,60.0,,0.0,0.0,,6.2,3.7,1020.0,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Clear
"56.949650,24.105186",06/14/2020,57.2,68.1,62.2,45.8,55.78,,15.0,26.4,62.08,,0.0,0.0,,6.2,28.4,1020.0,,56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Partially cloudy
"56.949650,24.105186",06/15/2020,57.3,66.2,60.6,58.3,92.15,,9.2,,94.17,,0.0,0.0,,5.8,95.1,1014.2,"Mist, Light Rain",56.94965,24.105186,"56.949650,24.105186","56.949650,24.105186",,Overcast
