Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Monaco,05/16/2020,54.4,67.8,63.5,58.3,82.96,,14.3,20.3,106.04,,0.26,25.0,,9.5,68.3,1016.2,"Rain, Light Rain, Sky Coverage Increasing",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,05/17/2020,52.9,66.0,61.1,58.6,89.02,,9.7,14.6,259.75,,0.56,33.33,,14.8,68.9,1015.7,"Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,05/18/2020,58.6,74.9,67.2,57.0,70.59,,13.4,19.8,232.21,,0.0,0.0,,17.0,17.4,1016.8,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/19/2020,62.5,78.8,68.5,57.9,69.69,,10.9,17.5,244.21,,0.05,12.5,,16.3,61.3,1012.9,"Rain, Light Rain, Sky Unchanged",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,05/20/2020,63.8,75.7,69.6,57.4,65.84,,10.3,18.1,222.17,,0.0,0.0,,16.8,39.2,1012.8,"Light Rain, Sky Coverage Decreasing",43.7329,7.41754,Monaco,Monaco,,Partially cloudy
Monaco,05/21/2020,63.3,75.3,70.4,55.1,59.14,,8.8,14.9,209.21,,0.0,0.0,,17.9,6.5,1017.6,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/22/2020,63.7,72.3,68.9,60.2,74.06,,9.5,12.6,169.58,,0.0,0.0,,15.8,5.5,1023.2,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/23/2020,62.3,73.1,68.7,62.4,80.37,,17.4,25.0,188.63,,0.0,0.0,,11.2,20.5,1023.2,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/24/2020,63.9,75.0,69.6,61.1,75.01,,10.3,17.7,179.71,,0.0,0.0,,11.4,19.3,1022.8,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/25/2020,65.4,75.3,70.9,55.2,58.23,,9.6,13.9,229.0,,0.0,0.0,,18.7,12.2,1024.6,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/26/2020,64.8,76.5,71.0,54.8,56.7,,7.6,13.9,176.63,,0.0,0.0,,18.5,15.1,1024.2,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,05/27/2020,64.1,73.4,70.0,53.2,55.98,,17.0,24.7,116.17,,0.0,0.0,,18.6,67.6,1027.9,,43.7329,7.41754,Monaco,Monaco,,Partially cloudy
Monaco,05/28/2020,61.0,71.2,66.4,54.2,65.2,,8.5,11.9,182.25,,0.1,12.5,,16.5,17.9,1024.3,Light Rain,43.7329,7.41754,Monaco,Monaco,,Rain
Monaco,05/29/2020,60.3,67.4,63.9,57.3,79.35,,22.4,31.8,221.38,,0.03,12.5,,13.8,60.1,1019.0,"Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,05/30/2020,58.2,69.8,64.1,53.1,68.19,,11.3,24.2,268.88,,0.01,8.33,,16.9,39.0,1017.1,"Rain, Light Rain",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,05/31/2020,60.0,70.4,66.0,56.2,70.79,,11.4,15.2,212.88,,0.0,0.0,,17.3,24.2,1015.6,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,06/01/2020,60.2,72.3,67.4,57.5,70.97,,7.5,10.3,219.0,,0.0,0.0,,16.0,12.4,1017.0,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,06/02/2020,65.4,73.6,69.4,58.8,69.1,,12.6,17.0,228.29,,0.0,0.0,,15.4,45.7,1014.6,,43.7329,7.41754,Monaco,Monaco,,Partially cloudy
Monaco,06/03/2020,62.1,72.4,68.0,60.1,76.22,,19.6,25.7,235.75,,0.0,0.0,,13.9,21.6,1009.3,"Lightning Without Thunder, Light Rain",43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,06/04/2020,50.3,68.0,59.8,60.0,91.34,,10.6,15.2,250.61,,3.54,25.0,,9.5,64.8,1001.1,"Lightning Without Thunder, Mist, Rain, Heavy Rain, Light Rain",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,06/05/2020,58.6,72.5,66.6,57.5,73.05,,15.1,19.4,209.17,,0.0,0.0,,14.9,14.9,998.7,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,06/06/2020,59.7,72.0,67.3,57.9,72.15,,14.1,21.9,196.92,,0.0,0.0,,13.4,1.3,1006.4,,43.7329,7.41754,Monaco,Monaco,,Clear
Monaco,06/07/2020,51.7,69.5,63.4,61.2,88.58,,10.8,24.2,215.42,,0.72,20.83,,12.1,51.2,1006.0,"Lightning Without Thunder, Mist, Thunderstorm, Rain, Light Rain, Sky Coverage Increasing",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
Monaco,06/08/2020,60.7,72.0,66.8,59.6,78.14,,13.2,17.7,198.83,,0.0,0.0,0.0,16.1,40.5,1006.2,Lightning Without Thunder,43.7329,7.41754,Monaco,Monaco,,Partially cloudy
Monaco,06/09/2020,53.8,70.3,64.4,55.2,72.5,,14.1,20.6,215.71,,0.01,4.17,,16.0,48.5,1008.5,"Lightning Without Thunder, Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing",43.7329,7.41754,Monaco,Monaco,,"Rain, Partially cloudy"
