Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Chisinau,05/16/2021,50.9,73.4,63.2,50.8,66.85,,11.8,,115.39,,0.0,0.0,,7.0,17.3,1009.4,"Mist, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Clear
Chisinau,05/17/2021,53.3,73.4,59.6,53.6,81.46,,10.9,20.8,178.38,,1.15,4.17,,7.0,38.8,1004.4,"Lightning Without Thunder, Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/18/2021,54.7,66.1,59.2,53.9,83.59,,19.6,,218.92,,0.16,8.33,,6.5,59.2,1000.6,"Mist, Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/19/2021,50.9,67.1,58.9,51.4,77.83,,20.8,37.2,317.42,,1.01,8.33,,6.0,68.1,1004.6,"Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/20/2021,50.0,55.4,52.9,50.1,90.08,,8.6,,175.67,48.4,0.32,4.17,,6.2,57.6,1008.9,"Mist, Rain Showers, Light Rain",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/21/2021,51.7,66.2,57.7,50.9,79.88,,10.9,,212.75,,0.24,8.33,,6.6,39.6,1013.2,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/22/2021,44.6,73.4,61.2,48.6,67.12,,10.8,,198.3,45.4,0.0,0.0,,7.0,10.9,1016.5,"Mist, Fog",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Clear
Chisinau,05/23/2021,57.2,77.0,67.4,53.4,62.54,,10.3,,182.71,,0.25,4.17,,7.0,13.9,1015.0,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Rain
Chisinau,05/24/2021,55.4,66.2,63.0,51.5,66.78,,19.0,33.4,264.63,,0.2,4.17,,7.0,41.8,1019.2,"Lightning Without Thunder, Mist, Thunderstorm, Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/25/2021,49.1,72.5,62.2,50.4,68.26,,12.8,,161.83,47.4,0.0,0.0,,7.0,13.0,1021.3,"Mist, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Clear
Chisinau,05/26/2021,53.6,71.6,63.6,56.5,78.18,,9.7,,147.96,,0.13,8.33,,7.0,46.8,1018.2,"Mist, Thunderstorm, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/27/2021,58.3,72.5,64.2,57.3,79.86,,12.6,,176.82,,0.23,8.33,,6.4,30.0,1016.4,"Mist, Rain Showers, Fog, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,"Rain, Partially cloudy"
Chisinau,05/28/2021,52.7,74.3,65.0,57.3,77.47,,9.8,,183.35,,0.01,4.17,,6.6,25.0,1012.1,"Lightning Without Thunder, Mist, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Rain
Chisinau,05/29/2021,59.5,71.6,64.5,55.3,72.99,,16.7,26.8,302.96,,0.0,0.0,,7.0,65.3,1011.7,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Partially cloudy
Chisinau,05/30/2021,52.7,66.2,60.3,52.0,74.58,,7.8,,289.63,,0.0,0.0,,7.0,17.1,1013.7,"Mist, Rain Showers, Sky Coverage Increasing",47.0148,28.8566,"Chișinău, Moldova","Chișinău, Moldova",,Clear
