Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Podgorica,05/16/2021,55.5,69.7,62.5,55.2,78.69,,9.2,,173.39,,0.07,12.5,0.0,7.7,85.8,1012.6,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,"Rain, Overcast"
Podgorica,05/17/2021,60.5,70.4,64.9,56.4,74.78,,9.1,,210.7,,0.0,0.0,0.0,8.7,84.4,1010.5,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Overcast
Podgorica,05/18/2021,57.2,77.1,67.1,53.4,65.92,,14.8,,189.5,,0.02,4.17,0.0,8.7,37.2,1013.0,"Rain Showers, Sky Coverage Increasing",42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,"Rain, Partially cloudy"
Podgorica,05/19/2021,55.5,73.5,64.3,51.0,64.53,,13.8,24.6,166.71,,0.0,0.0,,8.6,54.6,1013.1,"Rain, Thunderstorm, Light Rain, Sky Coverage Increasing",42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Partially cloudy
Podgorica,05/20/2021,53.7,65.8,59.4,52.4,78.78,,12.6,29.1,172.7,,0.57,16.67,0.39,8.2,75.1,1012.3,"Lightning Without Thunder, Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,"Rain, Overcast"
Podgorica,05/21/2021,51.1,75.8,64.3,43.6,49.72,,14.9,33.6,200.13,,0.0,0.0,,8.7,17.5,1018.1,Sky Coverage Increasing,42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Clear
Podgorica,05/22/2021,53.7,76.1,64.4,48.0,58.15,,11.3,,216.63,,0.0,0.0,,8.7,29.2,1019.3,Sky Coverage Increasing,42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Partially cloudy
Podgorica,05/23/2021,53.7,79.3,67.3,46.4,50.61,,8.1,,179.29,,0.0,0.0,,8.7,17.6,1019.7,Sky Coverage Increasing,42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Clear
Podgorica,05/24/2021,59.1,88.3,73.4,52.3,49.79,87.3,7.9,,206.36,,0.0,0.0,,8.7,27.4,1019.2,Sky Coverage Increasing,42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Partially cloudy
Podgorica,05/25/2021,63.5,84.6,75.2,52.2,48.17,82.6,17.0,,181.68,,0.0,0.0,,8.7,13.1,1017.9,Sky Coverage Increasing,42.4355,19.2639,"Podgorica, Crna Gora","Podgorica, Crna Gora",,Clear
