Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Skopje,05/16/2020,59.1,82.0,70.6,52.5,54.29,81.5,7.9,,133.54,,0.0,0.0,,6.2,22.5,1017.9,"Mist, Smoke Or Haze",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Clear
Skopje,05/17/2020,55.3,89.5,72.4,58.4,65.72,87.6,5.1,24.6,180.75,,0.0,0.0,,6.8,17.0,1017.4,Mist,41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Clear
Skopje,05/18/2020,60.0,84.2,72.8,60.1,65.85,84.6,7.1,,142.5,,0.0,0.0,,7.0,27.2,1018.4,,41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Partially cloudy
Skopje,05/19/2020,63.4,85.7,74.3,60.6,65.26,85.8,7.6,,162.08,,0.0,0.0,,7.5,25.8,1015.5,"Thunderstorm, Thunderstorm Without Precipitation",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Partially cloudy
Skopje,05/20/2020,63.3,86.6,72.6,58.3,63.85,85.6,18.9,33.3,198.04,,0.2,8.33,,7.1,42.3,1006.5,"Lightning Without Thunder, Mist, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,"Rain, Partially cloudy"
Skopje,05/21/2020,55.3,64.1,59.5,52.1,76.67,,16.0,33.6,281.58,,0.4,16.67,,7.0,84.4,1012.6,"Drizzle, Mist, Light Drizzle, Light Rain, Sky Coverage Increasing",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,"Rain, Overcast"
Skopje,05/22/2020,49.4,71.3,61.4,39.4,47.45,,13.4,33.6,181.14,48.8,0.0,0.0,,7.1,32.8,1021.0,Mist,41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Partially cloudy
Skopje,05/23/2020,41.0,69.7,55.6,44.3,67.72,,8.6,,114.38,,0.0,0.0,,7.6,49.4,1024.8,Light Rain,41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,Partially cloudy
Skopje,05/24/2020,48.1,74.2,59.5,48.2,67.84,,25.5,38.0,134.83,,0.02,4.17,,7.0,34.0,1023.2,"Mist, Fog, Light Rain, Sky Coverage Decreasing",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,"Rain, Partially cloudy"
Skopje,05/25/2020,49.0,67.5,59.7,44.2,58.93,,15.8,24.6,142.75,,0.02,4.17,,7.0,51.8,1022.7,"Mist, Light Drizzle, Fog, Sky Coverage Decreasing",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,"Rain, Partially cloudy"
Skopje,05/26/2020,44.9,63.8,53.4,44.9,74.37,,14.7,,263.92,,0.1,12.5,,7.2,63.8,1022.2,"Light Drizzle, Rain Showers, Light Rain, Sky Coverage Decreasing",41.9947,21.4303,"Скопје, Северна Македонија","Скопје, Северна Македонија",,"Rain, Partially cloudy"
