Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Valletta,05/16/2021,58.9,77.1,67.4,51.7,60.92,,15.0,12.8,258.42,,0.0,0.0,,9.0,2.5,1015.9,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/17/2021,62.7,87.4,74.7,55.1,54.51,86.2,11.4,8.1,176.21,,0.0,0.0,,8.9,1.3,1014.1,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/18/2021,64.5,78.9,71.8,57.9,62.51,,15.6,13.9,264.78,,0.0,0.0,,8.7,0.1,1015.3,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/19/2021,62.7,84.3,72.4,50.8,48.94,82.6,18.3,16.1,320.83,,0.0,0.0,,8.5,0.0,1015.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/20/2021,64.3,75.3,68.2,55.0,63.73,,27.7,26.4,314.58,,0.0,0.0,,7.4,1.3,1015.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/21/2021,60.9,73.5,67.0,54.5,65.62,,12.8,11.4,99.08,,0.0,0.0,,8.3,12.4,1019.3,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/22/2021,62.2,72.0,66.9,58.4,74.49,,16.1,17.2,167.67,,0.0,0.0,,8.7,15.0,1018.5,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/23/2021,62.7,77.1,69.2,61.5,78.58,,13.9,12.8,147.38,,0.0,0.0,,8.1,33.1,1016.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Partially cloudy
Valletta,05/24/2021,62.8,77.1,69.7,62.2,78.6,,21.4,21.9,91.08,,0.0,0.0,,7.3,6.7,1016.9,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/25/2021,62.5,80.7,71.4,59.9,69.98,81.6,10.6,9.2,257.67,,0.04,4.17,,6.7,4.4,1017.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Rain
Valletta,05/26/2021,64.5,78.9,70.5,59.2,69.83,,13.9,9.2,174.39,,0.04,4.17,,7.9,9.4,1017.8,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Rain
Valletta,05/27/2021,64.5,80.8,72.3,56.6,59.95,80.1,9.8,10.3,221.58,,0.0,0.0,,8.5,0.0,1016.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
