Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Valletta,05/16/2020,67.9,89.7,75.7,61.0,64.02,87.1,20.8,19.7,100.5,,0.0,0.0,,7.1,0.1,1015.8,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/17/2020,71.6,85.8,78.2,55.8,47.44,83.5,21.9,20.8,102.09,,0.0,0.0,,6.8,0.1,1015.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/18/2020,66.9,77.1,70.4,64.6,82.03,,18.3,16.1,89.83,,0.01,4.17,,6.4,9.2,1016.1,Mist,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Rain
Valletta,05/19/2020,64.5,75.3,68.6,59.9,74.5,,25.1,21.9,314.92,,0.0,0.0,,7.0,8.8,1017.0,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/20/2020,63.0,73.5,68.4,58.7,72.94,,24.2,21.9,267.42,,0.0,0.0,,7.7,11.5,1014.3,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/21/2020,64.5,73.7,68.7,60.7,76.45,,24.2,21.9,284.63,,0.0,0.0,,7.2,18.1,1013.0,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/22/2020,62.7,77.3,70.7,57.3,65.81,,12.8,11.4,174.91,,0.0,0.0,,8.3,7.2,1020.0,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/23/2020,64.4,78.2,70.1,58.3,69.12,,11.5,10.3,248.92,,0.0,0.0,,8.1,2.6,1026.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/24/2020,60.9,80.7,70.8,53.3,57.26,79.9,12.8,12.8,289.42,,0.0,0.0,,9.6,1.3,1026.0,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/25/2020,62.5,78.9,70.6,58.0,66.72,,12.7,9.2,173.57,,0.0,0.0,,8.3,7.8,1022.3,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,05/26/2020,64.5,75.3,69.4,60.6,74.92,,11.4,10.3,114.24,,0.0,0.0,,8.5,30.3,1025.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Partially cloudy
Valletta,05/27/2020,60.9,71.7,65.0,57.4,77.15,,12.4,26.4,127.09,,1.04,16.67,,8.1,28.8,1023.9,"Thunderstorm, Rain Showers",35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,"Rain, Partially cloudy"
Valletta,05/28/2020,57.1,73.1,65.2,56.0,73.58,,12.8,12.8,242.91,,0.17,4.17,,9.3,20.6,1023.0,Rain Showers,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Rain
Valletta,05/29/2020,62.5,73.5,68.0,55.6,66.45,,10.9,10.3,213.04,,0.0,0.0,,10.0,33.8,1017.8,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Partially cloudy
Valletta,05/30/2020,62.7,72.2,68.0,60.1,75.93,,18.3,17.2,142.88,,0.03,4.17,,8.4,34.0,1014.8,Rain Showers,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,"Rain, Partially cloudy"
Valletta,05/31/2020,62.5,74.5,68.7,61.1,78.2,,9.2,8.1,172.26,,0.0,0.0,,8.2,22.3,1014.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/01/2020,60.9,74.6,68.5,59.8,74.69,,9.2,9.2,156.38,,0.0,0.0,,8.8,17.0,1015.5,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/02/2020,62.3,73.6,68.2,60.1,76.44,,11.4,10.3,178.0,,0.0,0.0,,8.9,35.0,1015.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Partially cloudy
Valletta,06/03/2020,62.5,76.7,69.4,58.7,70.45,,10.3,11.4,241.86,,0.0,0.0,,8.4,17.5,1012.5,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/04/2020,64.5,75.3,70.0,63.3,79.84,,20.8,19.7,157.62,,0.0,0.0,,8.1,21.6,1010.6,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/05/2020,68.0,82.3,71.9,64.1,77.06,91.0,33.3,30.0,181.83,,0.0,0.0,,6.6,13.3,1006.5,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/06/2020,66.1,75.3,70.3,59.5,69.14,,28.7,28.9,299.96,,0.0,0.0,,7.2,18.9,1012.0,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/07/2020,62.7,80.7,71.0,60.1,71.15,80.4,15.0,12.8,212.13,,0.0,0.0,,8.1,2.0,1012.5,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
Valletta,06/08/2020,66.3,77.1,71.6,64.8,80.0,,16.7,16.1,124.7,,0.0,0.0,,7.5,15.7,1011.7,,35.8935,14.5118,"Valletta, Malta","Valletta, Malta",,Clear
