Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Amsterdam,05/16/2021,48.3,57.8,52.6,47.3,82.94,,14.4,24.9,228.04,46.4,0.87,62.5,,13.4,69.2,999.7,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Thunderstorm, Fog, Lightning Without Thunder, Mist, Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/17/2021,47.9,57.3,52.1,48.0,86.03,,16.6,21.9,229.42,45.8,0.67,66.67,,16.7,70.7,1002.4,"Drizzle, Light Drizzle, Rain, Heavy Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/18/2021,46.1,57.8,52.5,46.1,79.43,,14.9,22.8,264.17,44.2,0.1,25.0,,17.6,48.6,1011.8,"Drizzle, Mist, Light Drizzle, Rain, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/19/2021,44.9,56.8,51.6,46.7,83.61,,11.8,20.3,243.21,42.5,0.31,41.67,,16.9,54.1,1015.9,"Light Drizzle, Thunderstorm, Light Drizzle/Rain, Fog, Lightning Without Thunder, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/20/2021,42.9,59.4,52.7,45.2,77.54,,18.1,22.4,202.29,40.5,0.01,8.33,,15.0,46.0,1017.1,"Mist, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/21/2021,50.9,59.4,55.0,43.7,66.49,,37.5,54.3,214.17,,0.09,54.17,,14.1,66.1,1001.0,"Drizzle, Light Drizzle, Rain, Heavy Drizzle/Rain, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/22/2021,48.8,53.3,51.1,46.3,83.89,,24.5,47.8,247.42,42.6,0.73,66.67,,11.3,73.9,1000.4,"Drizzle, Heavy Drizzle, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/23/2021,46.0,57.5,51.8,44.2,76.58,,20.0,31.7,211.67,44.1,0.17,33.33,,20.2,71.4,1010.6,"Drizzle, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/24/2021,48.8,57.3,52.5,47.7,83.95,,18.3,25.8,186.25,47.4,0.54,91.67,,21.0,72.0,1006.8,"Drizzle, Heavy Drizzle, Light Drizzle, Heavy Drizzle/Rain, Thunderstorm, Light Drizzle/Rain, Lightning Without Thunder, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
Amsterdam,05/25/2021,46.5,55.3,51.0,46.3,84.16,,19.8,30.4,239.92,42.4,0.3,66.67,,19.5,71.7,1010.1,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Thunderstorm, Light Drizzle/Rain, Lightning Without Thunder, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",52.3699,4.9078800000000005,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",,"Rain, Partially cloudy"
