Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Warsaw,05/16/2021,51.8,66.8,57.9,51.2,79.47,,8.6,40.3,163.38,,0.44,50.0,,10.0,64.2,1005.3,"Lightning Without Thunder, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/17/2021,46.5,66.8,58.1,48.5,73.58,,10.1,2.2,178.42,45.0,0.0,0.0,,8.8,35.3,1004.3,"Mist, Rain, Fog, Sky Coverage Increasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/18/2021,51.7,59.8,55.7,51.7,86.58,,17.3,29.1,283.33,,0.01,8.33,,9.0,73.4,1004.4,"Mist, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/19/2021,49.7,61.4,53.6,48.3,83.56,,16.0,24.6,291.67,45.3,1.47,54.17,,8.6,69.9,1010.0,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/20/2021,43.7,63.5,54.5,42.9,67.99,,16.9,29.1,293.92,41.1,0.0,0.0,,10.1,22.3,1013.6,"Mist, Fog",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Clear
Warsaw,05/21/2021,45.9,67.7,58.0,41.7,58.29,,10.5,24.6,213.46,45.7,0.0,0.0,,11.1,44.3,1011.3,Fog,52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/22/2021,48.3,59.7,55.0,48.3,79.09,,8.1,33.6,199.29,46.3,0.8,50.0,,10.8,63.3,1007.1,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/23/2021,46.8,64.8,56.2,44.9,67.55,,12.7,31.3,239.67,44.6,0.08,4.17,,11.6,46.2,1012.3,"Rain Showers, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/24/2021,45.3,66.8,58.4,45.1,64.02,,12.0,6.7,181.46,44.8,0.0,0.0,,11.5,33.4,1019.8,"Mist, Fog",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/25/2021,50.5,65.2,57.5,50.7,79.32,,12.5,,191.67,,0.64,58.33,,10.3,82.1,1013.3,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Overcast"
Warsaw,05/26/2021,46.8,65.5,57.1,41.8,59.18,,13.3,26.8,207.21,43.8,0.04,8.33,,11.6,43.3,1015.2,"Light Rain, Sky Coverage Decreasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/27/2021,51.4,64.7,58.2,44.7,62.32,,11.4,17.9,241.5,,0.0,4.17,,11.6,52.3,1014.1,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/28/2021,45.4,64.7,55.3,45.5,71.24,,10.6,6.7,249.96,43.4,0.0,0.0,,10.6,38.1,1017.0,"Fog, Rain Showers",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/29/2021,49.1,60.8,54.9,44.7,70.07,,11.1,18.3,285.63,47.0,0.16,8.33,,10.5,54.7,1018.1,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,"Rain, Partially cloudy"
Warsaw,05/30/2021,49.2,64.1,57.0,43.6,62.81,,14.6,22.4,274.17,45.6,0.0,4.17,,11.7,51.8,1020.6,"Precipitation In Vicinity, Rain, Rain Showers",52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
Warsaw,05/31/2021,47.1,64.8,56.9,36.9,49.19,,12.8,20.1,119.17,43.7,0.0,0.0,,11.5,22.1,1021.0,,52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Clear
Warsaw,06/01/2021,45.1,66.7,58.2,42.0,56.83,,6.2,6.7,208.42,,0.0,0.0,,10.8,41.6,1018.6,,52.2356,21.0104,"Warszawa, Woj. Mazowieckie, Polska","Warszawa, Woj. Mazowieckie, Polska",,Partially cloudy
