Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Lisbon,05/16/2021,62.0,69.8,65.7,58.5,77.69,,11.1,,301.21,,0.0,8.33,,6.8,10.5,1019.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/17/2021,57.3,76.3,65.1,48.4,57.41,,10.6,,215.88,,0.0,0.0,,7.4,8.7,1021.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/18/2021,58.0,73.9,64.6,55.5,73.07,,11.4,20.8,314.88,,0.0,0.0,,7.2,8.8,1022.5,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/19/2021,56.4,76.2,65.5,45.6,52.45,,15.4,21.9,213.42,,0.0,0.0,,7.3,5.0,1022.7,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/20/2021,60.0,81.6,69.5,46.1,43.93,80.9,17.5,,236.29,,0.0,0.0,,7.5,8.6,1020.9,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/21/2021,59.2,75.0,65.7,53.8,66.5,,13.4,,262.71,,0.0,0.0,,7.3,7.5,1019.3,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/22/2021,56.3,66.4,60.4,45.1,58.09,,13.6,26.4,224.63,,0.0,0.0,,6.9,5.1,1019.5,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/23/2021,54.6,67.9,60.3,44.0,56.47,,16.3,30.0,271.83,,0.0,0.0,,6.9,3.3,1021.8,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/24/2021,57.3,69.8,62.6,49.9,64.68,,15.5,24.2,286.21,,0.02,16.67,,7.3,10.6,1024.5,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing",38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Rain
Lisbon,05/25/2021,56.2,75.6,65.0,46.3,53.0,,15.4,31.1,143.5,,0.0,0.0,,7.0,1.3,1021.9,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/26/2021,58.9,81.4,68.4,51.1,55.64,80.7,14.9,,270.08,,0.0,0.0,,7.1,7.1,1017.5,"Mist, Smoke Or Haze",38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/27/2021,58.9,78.9,68.8,45.8,44.44,,13.3,,224.54,,0.0,0.0,,7.1,7.1,1015.2,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/28/2021,57.4,80.0,69.3,48.3,48.66,,15.5,,247.17,,0.0,0.0,,7.4,5.1,1016.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/29/2021,57.6,77.7,66.6,53.7,64.39,,17.9,26.4,318.71,,0.0,0.0,,6.5,1.7,1018.5,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
