Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Lisbon,05/16/2020,58.0,74.5,65.4,55.0,70.42,,11.7,16.1,215.96,,0.0,0.0,0.0,6.5,1.4,1016.9,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/17/2020,60.2,79.0,68.7,53.5,59.68,,12.2,,218.88,,0.0,0.0,0.0,6.5,0.5,1021.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/18/2020,61.0,80.6,70.5,55.4,59.08,81.3,12.3,,269.29,,0.0,0.0,0.0,6.5,0.5,1022.6,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/19/2020,61.1,84.0,70.3,56.2,61.37,85.2,12.7,,269.25,,0.0,0.0,0.0,6.5,0.5,1019.3,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/20/2020,61.0,79.7,68.2,56.6,66.84,,14.4,,323.79,,0.0,0.0,0.0,6.5,0.7,1018.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/21/2020,59.1,82.2,67.6,55.5,66.12,82.3,12.1,,317.75,,0.0,0.0,0.0,6.5,0.6,1020.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/22/2020,60.1,81.4,68.9,59.5,73.32,82.4,17.3,,336.71,,0.0,0.0,0.0,6.5,1.7,1023.8,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/23/2020,63.4,83.3,71.3,55.9,60.61,83.1,15.5,,277.33,,0.0,0.0,0.0,6.6,0.7,1025.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/24/2020,61.8,84.6,72.1,59.6,65.9,85.9,11.8,,335.63,,0.0,0.0,0.0,6.5,0.4,1022.9,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/25/2020,62.8,84.8,73.0,58.9,62.04,86.7,13.5,,332.92,,0.0,0.0,,6.5,1.2,1021.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/26/2020,64.4,88.0,75.7,61.1,61.2,90.7,11.4,,203.18,,0.0,0.0,0.0,6.5,1.6,1019.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/27/2020,67.9,89.5,78.4,61.2,57.01,91.7,14.8,,171.08,,0.0,0.0,0.0,6.5,0.0,1018.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/28/2020,67.9,90.3,77.4,60.7,58.02,91.4,12.0,,206.83,,0.0,0.0,0.0,6.5,0.0,1017.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/29/2020,71.9,86.2,78.4,60.1,53.93,85.5,11.5,18.3,204.54,,0.0,0.0,0.0,6.5,3.2,1013.7,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/30/2020,64.8,83.5,74.0,61.9,66.41,86.0,11.0,,298.38,,0.0,0.0,,6.5,0.9,1011.3,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,05/31/2020,60.8,81.6,71.0,59.9,69.51,83.2,11.9,,262.58,,0.0,0.0,,6.5,5.9,1010.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/01/2020,64.6,76.7,70.1,60.1,71.18,,9.3,20.8,220.0,,0.0,0.0,,6.5,18.7,1012.6,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/02/2020,65.7,76.0,69.7,60.8,74.14,,11.5,,250.96,,0.0,0.0,0.0,6.5,2.9,1014.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/03/2020,61.3,76.0,69.1,60.3,74.59,,13.3,,257.09,,0.0,0.0,0.0,6.5,2.5,1013.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/04/2020,62.6,75.1,69.0,58.8,71.21,,13.1,,312.25,,0.0,0.0,,6.5,11.2,1011.8,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/05/2020,60.0,78.2,67.6,55.6,66.6,,11.5,,312.88,,0.0,0.0,,6.5,5.6,1014.7,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/06/2020,56.7,75.0,65.6,53.6,66.39,,11.3,,298.38,,0.0,0.0,0.0,6.5,3.1,1012.8,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/07/2020,59.9,72.6,65.4,54.2,67.96,,14.5,,320.75,,0.0,0.0,0.0,6.5,3.4,1014.5,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/08/2020,57.5,72.1,64.7,49.8,59.22,,15.8,35.8,328.54,,0.0,0.0,0.0,6.5,3.4,1017.5,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/09/2020,60.1,76.8,66.8,53.5,63.61,,13.8,31.1,331.67,,0.0,0.0,0.0,7.1,1.9,1018.7,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/10/2020,59.1,75.5,65.5,53.3,66.04,,11.8,26.4,326.75,,0.0,0.0,,6.5,2.7,1018.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/11/2020,57.5,69.8,63.4,55.8,76.45,,12.0,,297.63,,0.02,16.67,,6.3,10.6,1014.7,"Precipitation In Vicinity, Rain, Light Drizzle/Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Rain
Lisbon,06/12/2020,58.5,68.7,62.0,53.7,74.63,,11.0,,274.67,,0.09,20.83,0.0,7.0,12.7,1012.5,"Precipitation In Vicinity, Rain Showers, Sky Coverage Increasing",38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Rain
Lisbon,06/13/2020,53.6,72.4,64.0,53.5,70.35,,13.2,,247.63,,0.0,0.0,,6.8,9.4,1017.8,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/14/2020,54.4,74.0,65.8,54.1,67.77,,10.6,,260.13,,0.0,0.0,0.0,7.1,3.4,1022.2,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/15/2020,58.9,76.8,66.7,55.1,68.34,,11.2,19.7,292.68,,0.0,0.0,0.0,7.2,5.9,1024.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/16/2020,61.7,79.6,68.8,59.4,73.42,,11.6,,278.33,,0.02,16.67,0.0,7.4,10.2,1022.4,"Precipitation In Vicinity, Rain, Light Drizzle/Rain, Light Rain, Sky Coverage Decreasing",38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Rain
Lisbon,06/17/2020,59.6,76.0,66.4,54.5,67.21,,12.1,,302.5,,0.0,0.0,0.0,7.7,8.8,1019.1,Precipitation In Vicinity,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/18/2020,58.7,74.3,65.8,53.7,66.22,,15.9,30.0,336.42,,0.0,0.0,,7.8,8.8,1017.0,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/19/2020,58.5,76.1,67.0,54.0,64.82,,14.1,,337.42,,0.0,0.0,0.0,7.1,3.7,1020.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/20/2020,61.1,81.3,69.6,58.1,68.56,81.4,16.1,,324.83,,0.0,0.0,,6.8,6.7,1023.1,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
Lisbon,06/21/2020,62.9,81.4,70.7,59.5,69.21,81.7,17.7,31.1,346.5,,0.0,0.0,,6.8,9.2,1024.4,,38.7264,-9.14949,"Lisboa, Portugal","Lisboa, Portugal",,Clear
