Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Bucharest,05/16/2021,56.6,71.8,61.1,58.1,90.65,,5.2,11.2,102.71,,1.16,45.83,0.0,6.2,91.0,1008.1,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast",
Bucharest,05/17/2021,52.4,75.3,62.7,52.8,73.46,,6.7,4.5,230.92,,0.0,4.17,0.0,6.2,33.8,1006.0,"Rain Showers, Sky Unchanged",44.4343,26.103,"București, România","București, România",,Partially cloudy,
Bucharest,05/18/2021,54.8,72.6,63.1,47.8,60.96,,11.2,29.1,246.25,,0.21,12.5,0.39,6.2,53.6,1005.1,"Rain Showers, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy",
Bucharest,05/19/2021,52.4,76.4,64.5,43.4,48.84,,6.7,17.9,243.29,,0.0,0.0,0.0,6.2,45.4,1009.1,,44.4343,26.103,"București, România","București, România",,Partially cloudy,
Bucharest,05/20/2021,50.3,58.7,55.3,54.3,96.66,,4.5,8.9,98.04,,2.46,83.33,0.54,6.2,76.6,1008.3,"Lightning Without Thunder, Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast",
Bucharest,05/21/2021,50.3,70.1,58.7,53.2,83.89,,7.4,6.7,243.67,,0.17,20.83,0.0,6.2,62.0,1014.5,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy",
Bucharest,05/22/2021,48.8,76.2,62.0,52.0,73.63,,4.5,4.5,240.29,,0.0,0.0,0.0,6.2,35.4,1017.2,,44.4343,26.103,"București, România","București, România",,Partially cloudy,
Bucharest,05/23/2021,53.9,82.1,68.7,52.3,59.51,81.0,4.5,4.5,219.75,,0.0,0.0,0.0,6.2,37.4,1015.5,,44.4343,26.103,"București, România","București, România",,Partially cloudy,
Bucharest,05/24/2021,60.5,80.3,69.7,55.8,62.97,80.4,4.5,11.2,162.5,,0.0,4.17,0.0,6.2,39.2,1019.0,"Lightning Without Thunder, Rain Showers, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,Partially cloudy,
Bucharest,05/25/2021,57.3,78.0,65.6,57.1,74.76,,4.5,13.4,79.75,,0.29,20.83,0.0,6.2,54.9,1020.5,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy",
Bucharest,05/26/2021,56.9,79.9,67.9,59.4,76.08,,4.5,4.5,46.88,,0.22,20.83,0.13,6.5,39.6,1016.1,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy",
